A, ﻿a
seleção, seleção
brasileira, brasileira
feminina, feminina
de, de
vôlei, vôlei
perdeu, perdeu
anteontem, anteontem
à, à
noite, noit
,, ,
na, na
cidade, cidad
norte-americana, norte-americana
de, de
Omaha, omaha
,, ,
Nebraska, nebraska
,, ,
o, o
primeiro, primeiro
de, de
uma, uma
série, série
de, de
cinco, cinco
amistosos, amistoso
contra, contra
os, os
EUA, eua
., .

, 

As, as
brasileiras, brasileira
,, ,
atuais, atuai
vice-campeãs, vice-campeã
mundiais, mundiai
,, ,
foram, foram
derrotadas, derrotada
por, por
3, 3
sets, set
a, a
2, 2
(, (
4/15, 4/15
,, ,
15/9, 15/9
,, ,
15/6, 15/6
,, ,
11/15, 11/15
e, e
15/11, 15/11
), )
após, apó
uma, uma
hora, hora
e, e
46, 46
minutos, minuto
de, de
jogo, jogo
., .

, 

O, o
time, time
volta, volta
hoje, hoje
à, à
quadra, quadra
para, para
o, o
segundo, segundo
amistoso, amistoso
contra, contra
a, a
seleção, seleção
dos, do
EUA, eua
., .
O, o
jogo, jogo
acontece, acontec
em, em
St, st
., .
Louis, loui
,, ,
no, no
Missouri, missouri
., .

, 

Ao, ao
comentar, comentar
o, o
resultado, resultado
,, ,
o, o
técnico, técnico
Bernardo, bernardo
Rezende, rezend
,, ,
o, o
Bernardinho, bernardinho
,, ,
disse, diss
que, que
três, trê
fatores, fator
foram, foram
responsáveis, responsávei
pela, pela
derrota, derrota
:, :
a, a
falta, falta
de, de
entrosamento, entrosamento
,, ,
concentração, concentração
e, e
fragilidade, fragilidad
do, do
passe, pass
da, da
equipe, equip
., .

, 

Já, já
a, a
seleção, seleção
masculina, masculina
treinou, treinou
ontem, ontem
em, em
Barcelona, barcelona
,, ,
Espanha, espanha
., .
O, o
time, time
comandado, comandado
pelo, pelo
técnico, técnico
José, josé
Roberto, roberto
Guimarães, guimarã
estréia, estréia
amanhã, amanhã
contra, contra
os, os
espanhóis, espanhói
na, na
Liga, liga
Mundial, mundial
da, da
temporada, temporada
95, 95
., .

, 

