Por, ﻿por
problemas, problema
técnicos, técnico
,, ,
o, o
serviço, serviço
Folha, folha
Informações, informaçõ
Esporte, esport
ficou, ficou
ontem, ontem
fora, fora
do, do
ar, ar
., .

, 

Houve, houv
falha, falha
no, no
sistema, sistema
de, de
voz, voz
que, que
permite, permit
acessar, acessar
por, por
telefone, telefon
os, os
boletins, boletin
esportivos, esportivo
., .
Até, até
o, o
horário, horário
de, de
fechamento, fechamento
desta, desta
edição, edição
,, ,
o, o
sistema, sistema
continuava, continuava
fora, fora
do, do
ar, ar
., .

, 

A, a
falha, falha
foi, foi
detectada, detectada
ontem, ontem
às, às
12h, 12h
., .
Técnicos, técnico
da, da
Telesis, telesi
,, ,
empresa, empresa
responsável, responsável
pela, pela
tecnologia, tecnologia
do, do
serviço, serviço
,, ,
trabalharam, trabalharam
desde, desd
então, então
para, para
solucionar, solucionar
o, o
problema, problema
., .

, 

O, o
atendimento, atendimento
ao, ao
público, público
é, é
feito, feito
pelo, pelo
tel., tel.
(, (
011, 011
), )
224-3317, 224-3317
,, ,
das, da
10h, 10h
às, às
19h, 19h
., .
O, o
Folha, folha
Informações, informaçõ
Esporte, esport
fornece, fornec
boletins, boletin
atualizados, atualizado
do, do
Esporte, esport
e, e
da, da
liga, liga
profissional, profission
de, de
basquete, basquet
dos, do
EUA, eua
,, ,
NBA, nba
., .

, 

O, o
Folha, folha
Informações, informaçõ
Datacasa, datacasa
também, também
ficou, ficou
fora, fora
do, do
ar, ar
., .
Ele, ele
dá, dá
informações, informaçõ
sobre, sobr
os, os
preços, preço
de, de
mercado, mercado
de, de
serviços, serviço
domésticos, doméstico
., .

, 

Os, os
serviços, serviço
Folha, folha
Informações, informaçõ
Dólar, dólar
e, e
Real, real
continuam, continuam
em, em
funcionamento, funcionamento
normal, normal
., .

, 

