Transportar, ﻿transportar
malas, mala
pesadas, pesada
em, em
viagem, viagem
internacional, internacion
pode, pode
trazer, trazer
dores, dore
na, na
coluna, coluna
e, e
no, no
bolso, bolso
., .
Para, para
não, não
exceder, exced
o, o
limite, limit
de, de
bagagem, bagagem
estabelecido, estabelecido
por, por
cada, cada
companhia, companhia
aérea, aérea
saiba, saiba
antes, ant
de, de
viajar, viajar
quanto, quanto
cada, cada
uma, uma
delas, dela
permite, permit
levar, levar
., .

, 

O, o
passageiro, passageiro
que, que
deseja, deseja
embarcar, embarcar
ou, ou
desembarcar, desembarcar
nos, no
Estados, estado
Unidos, unido
tem, tem
direito, direito
a, a
apenas, apena
dois, doi
volumes, volum
de, de
32, 32
kg, kg
cada, cada
., .

, 

As, as
dimensões, dimensõ
das, da
malas, mala
não, não
podem, podem
ultrapassar, ultrapassar
158, 158
cm, cm
(, (
soma, soma
da, da
altura, altura
,, ,
largura, largura
e, e
comprimento, comprimento
), )
na, na
primeira, primeira
classe, class
e, e
executiva, executiva
., .
Na, na
classe, class
econômica, econômica
,, ,
a, a
segunda, segunda
mala, mala
deve, deve
medir, medir
até, até
115, 115
cm, cm
., .

, 

A, a
maioria, maioria
das, da
companhias, companhia
aéreas, aérea
define, defin
o, o
limite, limit
de, de
bagagem, bagagem
por, por
classe, class
quando, quando
o, o
destino, destino
é, é
a, a
Europa, europa
., .

, 

É, é
o, o
que, que
ocorre, ocorr
com, com
a, a
Aeroflot, aeroflot
,, ,
Air, air
France, franc
,, ,
Alitalia, alitalia
,, ,
Iberia, iberia
,, ,
KLM, klm
,, ,
TAP, tap
,, ,
Vasp, vasp
e, e
Varig, varig
., .

, 

Os, os
passageiros, passageiro
da, da
classe, class
econômica, econômica
só, só
podem, podem
levar, levar
até, até
20, 20
kg, kg
., .
Na, na
British, british
Airways, airway
o, o
limite, limit
é, é
maior, maior
:, :
23, 23
kg, kg
por, por
passageiro, passageiro
., .

, 

Na, na
classe, class
executiva, executiva
há, há
tolerância, tolerância
até, até
30, 30
kg, kg
e, e
,, ,
na, na
primeira, primeira
classe, class
,, ,
o, o
máximo, máximo
é, é
de, de
40, 40
kg, kg
., .

, 

Para, para
a, a
América, américa
do, do
Sul, sul
,, ,
as, as
companhias, companhia
variam, variam
., .
As, as
Aerolineas, aerolinea
Argentinas, argentina
,, ,
a, a
Ladeco, ladeco
e, e
a, a
Viasa, viasa
permitem, permitem
20, 20
kg, kg
para, para
a, a
classe, class
econômica, econômica
,, ,
30, 30
kg, kg
para, para
a, a
classe, class
executiva, executiva
e, e
40, 40
kg, kg
na, na
primeira, primeira
classe, class
., .

, 

Pluna, pluna
,, ,
Lanchile, lanchil
e, e
Air, air
Vias, via
permitem, permitem
apenas, apena
20, 20
kg, kg
de, de
bagagem, bagagem
por, por
cada, cada
passageiro, passageiro
., .

, 

Para, para
cada, cada
quilo, quilo
a, a
mais, mai
transportado, transportado
costuma-se, costuma-s
cobrar, cobrar
1, 1
%, %
do, do
valor, valor
da, da
passagem, passagem
aérea, aérea
,, ,
em, em
alguns, algun
casos, caso
sem, sem
os, os
descontos, desconto
., .

, 

As, as
companhias, companhia
que, que
usam, usam
o, o
padrão, padrão
americano, americano
(, (
duas, dua
peças, peça
de, de
32, 32
kg, kg
cada, cada
), )
cobram, cobram
por, por
volume, volum
transportado, transportado
a, a
mais, mai
., .

, 

A, a
tarifa, tarifa
cobrada, cobrada
em, em
vôos, vôo
para, para
os, os
Estados, estado
Unidos, unido
varia, varia
entre, entr
US$, us$
75, 75
(, (
Miami, miami
e, e
Orlando, orlando
), )
e, e
US$, us$
85, 85
(, (
Nova, nova
York, york
,, ,
Los, lo
Angeles, angel
e, e
Washington, washington
), )
., .

, 

