Os, ﻿o
jogadores, jogador
do, do
Palmeiras, palmeira
isentaram, isentaram
a, a
Parmalat, parmalat
_, _
patrocinadora, patrocinadora
do, do
clube, clube
_, _
de, de
qualquer, qualquer
culpa, culpa
no, no
atraso, atraso
do, do
pagamento, pagamento
dos, do
prêmios, prêmio
., .

, 

`, `
`, `
A, a
Parmalat, parmalat
não, não
é, é
responsável, responsável
pelo, pelo
pagamento, pagamento
dos, do
bichos, bicho
e, e
nunca, nunca
esteve, estev
em, em
dívida, dívida
conosco, conosco
., .
Pelo, pelo
contrário, contrário
:, :
eles, ele
pagam, pagam
em, em
dia, dia
as, as
premiações, premiaçõ
extras, extra
,, ,
em, em
caso, caso
de, de
título, título
,, ,
por, por
exemplo, exemplo
'', ''
,, ,
explicou, explic
o, o
zagueiro, zagueiro
Antônio, antônio
Carlos, carlo
., .

, 

O, o
diretor, diretor
de, de
esportes, esport
da, da
Parmalat, parmalat
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
viajou, viajou
ontem, ontem
para, para
o, o
Rio, rio
Grande, grand
do, do
Sul, sul
e, e
não, não
foi, foi
encontrado, encontrado
pela, pela
Folha, folha
., .

, 

Ele, ele
trabalhará, trabalhará
até, até
o, o
próximo, próximo
dia, dia
15, 15
no, no
Juventude, juventud
_, _
outro, outro
clube, clube
patrocinado, patrocinado
pela, pela
Parmalat, parmalat
., .

, 

O, o
contrato, contrato
entre, entr
Palmeiras, palmeira
e, e
Parmalat, parmalat
venceu, venceu
no, no
mês, mê
passado, passado
e, e
ainda, ainda
não, não
está, está
renovado, renovado
., .
Ele, ele
foi, foi
prolongado, prolongado
automaticamente, automaticament
até, até
o, o
final, final
do, do
Paulista, paulista
e, e
da, da
Libertadores, libertador
,, ,
em, em
julho, julho
., .

, 

Recentemente, recentement
a, a
empresa, empresa
decidiu, decidiu
não, não
renovar, renovar
o, o
patrocínio, patrocínio
aos, ao
esportes, esport
amadores, amador
do, do
clube, clube
., .

, 

O, o
ex-coordenador, ex-coordenador
de, de
futebol, futebol
do, do
Palmeiras, palmeira
(, (
cargo, cargo
vinculado, vinculado
à, à
Parmalat, parmalat
), )
,, ,
Edvar, edvar
Simões, simõ
,, ,
deixou, deixou
o, o
clube, clube
na, na
terça-feira, terça-feira
passada, passada
,, ,
aceitando, aceitando
oferta, oferta
do, do
XV, xv
de, de
Piracicaba, piracicaba
., .

, 

O, o
Palmeiras, palmeira
volta, volta
a, a
jogar, jogar
pelo, pelo
Paulista, paulista
amanhã, amanhã
,, ,
contra, contra
o, o
Novorizontino, novorizontino
,, ,
em, em
Novo, novo
Horizonte, horizont
., .

, 

Pela, pela
Libertadores, libertador
,, ,
a, a
equipe, equip
faz, faz
sua, sua
primeira, primeira
partida, partida
pelas, pela
quartas-de-final, quartas-de-fin
,, ,
contra, contra
o, o
Grêmio, grêmio
,, ,
no, no
dia, dia
26, 26
de, de
julho, julho
., .

, 

(, (
AR, ar
), )

, 

