Um, ﻿um
doce, doce
para, para
quem, quem
disser, disser
,, ,
assim, assim
de, de
estalo, estalo
,, ,
o, o
nome, nome
do, do
presidente, president
do, do
Palmeiras, palmeira
., .
Viu, viu
?, ?
Pois, poi
aí, aí
está, está
um, um
dos, do
segredos, segredo
do, do
sucesso, sucesso
desse, dess
time, time
que, que
não, não
ganhava, ganhava
um, um
título, título
há, há
17, 17
anos, ano
,, ,
até, até
promover, promov
uma, uma
mudança, mudança
radical, radic
no, no
seu, seu
perfil, perfil
administrativo, administrativo
,, ,
associando-se, associando-s
à, à
Parmalat, parmalat
., .
Em, em
um, um
ano, ano
,, ,
papou, papou
todos, todo
os, os
títulos, título
que, que
disputou, disput
., .
Pelo, pelo
menos, meno
,, ,
os, os
mais, mai
significativos, significativo
,, ,
como, como
o, o
Paulista, paulista
e, e
o, o
Brasileiro, brasileiro
., .

, 

Nesse, ness
período, período
não, não
me, me
recordo, recordo
de, de
uma, uma
entrevista, entrevista
de, de
rádio, rádio
ou, ou
TV, tv
,, ,
nem, nem
mesmo, mesmo
uma, uma
declaração, declaração
nos, no
jornais, jornai
que, que
o, o
presidente, president
palestrino, palestrino
tenha, tenha
dado, dado
., .
Nem, nem
quando, quando
das, da
milionárias, milionária
contratações, contrataçõ
,, ,
nem, nem
quando, quando
das, da
crises, crise
vivida, vivida
pelo, pelo
clube, clube
com, com
a, a
troca, troca
de, de
treinadores, treinador
ou, ou
as, as
confusões, confusõ
armadas, armada
pela, pela
sua, sua
maior, maior
estrela, estrela
,, ,
Edmundo, edmundo
., .
Nem, nem
nos, no
momentos, momento
de, de
glória, glória
., .

, 

Ora, ora
,, ,
todo, todo
mundo, mundo
sabe, sabe
que, que
uma, uma
imensa, imensa
fogueira, fogueira
de, de
vaidades, vaidad
consumia, consumia
diariamente, diariament
todas, toda
as, as
esperanças, esperança
verdes, verd
nos, no
17, 17
anos, ano
de, de
estio, estio
., .
As, as
disputas, disputa
políticas, política
,, ,
no, no
Parque, parqu
Antarctica, antarctica
,, ,
chegavam, chegavam
ao, ao
paroxismo, paroxismo
,, ,
quase, quas
sempre, sempr
com, com
lances, lanc
tragicômicos, tragicômico
., .
E, e
o, o
presidente, president
do, do
clube, clube
,, ,
qualquer, qualquer
que, que
fosse, foss
,, ,
não, não
perdia, perdia
a, a
chance, chanc
de, de
exibir, exibir
pela, pela
mídia, mídia
seus, seu
poderes, poder
,, ,
ambições, ambiçõ
e, e
fraquezas, fraqueza
., .
A, a
exemplo, exemplo
,, ,
aliás, aliá
,, ,
dos, do
demais, demai
clubes, clube
grandes, grand
., .
Quem, quem
dissociaria, dissociaria
o, o
Palmeiras, palmeira
de, de
um, um
Facchina, facchina
,, ,
tio, tio
ou, ou
sobrinho, sobrinho
?, ?
Ou, ou
quem, quem
pensaria, pensaria
no, no
Corinthians, corinthian
sem, sem
Trindade, trindad
,, ,
Vadih, vadih
Helou, helou
ou, ou
Matheus, matheu
?, ?
Nesse, ness
aspecto, aspecto
,, ,
nem, nem
o, o
discreto, discreto
tricolor, tricolor
escapou, escap
da, da
regra, regra
geral, geral
,, ,
que, que
fazia, fazia
do, do
Santos, santo
o, o
clube, clube
de, de
Athiê, athiê
nos, no
momentos, momento
de, de
glória, glória
e, e
de, de
tal, tal
ou, ou
qual, qual
família, família
nestes, nest
tempos, tempo
inglórios, inglório
., .
E, e
a, a
Portuguesa, portuguesa
de, de
Isaias, isaia
a, a
Faria, faria
de, de
Sá, sá
,, ,
passando, passando
,, ,
claro, claro
,, ,
pelo, pelo
dr., dr.
Osvaldinho, osvaldinho
?, ?
Quase, quas
todos, todo
,, ,
de, de
uma, uma
forma, forma
ou, ou
de, de
outra, outra
,, ,
foram, foram
a, a
redenção, redenção
e, e
a, a
crucificação, crucificação
dos, do
anseios, anseio
de, de
suas, sua
coletividades, coletividad
., .

, 

A, a
frase, frase
é, é
velha, velha
e, e
gasta, gasta
,, ,
pois, poi
já, já
vai, vai
para, para
quase, quas
meio, meio
século, século
que, que
o, o
técnico, técnico
Flávio, flávio
Costa, costa
a, a
soltou, soltou
,, ,
desanimado, desanimado
:, :
", "
O, o
futebol, futebol
brasileiro, brasileiro
só, só
é, é
profissional, profission
da, da
boca, boca
do, do
túnel, túnel
prá, prá
dentro, dentro
do, do
campo, campo
., .
", "

, 

Finalmente, finalment
,, ,
no, no
limiar, limiar
do, do
século, século
21, 21
,, ,
a, a
frase, frase
começa, começa
a, a
cair, cair
em, em
desuso, desuso
,, ,
graças, graça
ao, ao
Palmeiras, palmeira
,, ,
que, que
,, ,
num, num
passe, pass
de, de
mágica, mágica
,, ,
reestruturou, reestrutur
seu, seu
departamento, departamento
de, de
futebol, futebol
,, ,
entregando-o, entregando-o
a, a
um, um
profissional, profission
altamente, altament
categorizado, categorizado
,, ,
funcional, funcion
,, ,
competente, competent
,, ,
como, como
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
apoiado, apoiado
num, num
dirigente, dirigent
discreto, discreto
e, e
aplicado, aplicado
,, ,
como, como
Seraphim, seraphim
del, del
Grande, grand
., .

, 

Este, est
,, ,
pois, poi
,, ,
é, é
o, o
caminho, caminho
., .
E, e
haverá, haverá
de, de
acompanhá-lo, acompanhá-lo
quem, quem
tiver, tiver
juízo, juízo
., .

, 

A, a
propósito, propósito
,, ,
o, o
nome, nome
do, do
presidente, president
do, do
Palmeiras, palmeira
é, é
Mustafá, mustafá
Contursi, contursi
,, ,
a, a
quem, quem
reverencio, reverencio
pelo, pelo
abençoado, abençoado
anonimato, anonimato
., .

, 

*, *

, 

Fez, fez
muito, muito
bem, bem
o, o
Vitinho, vitinho
Malzoni, malzoni
ao, ao
conferir, conferir
ao, ao
etíope, etíop
Bayesa, bayesa
o, o
mesmo, mesmo
prêmio, prêmio
do, do
vencedor, vencedor
queniano, queniano
da, da
São, são
Silvestre, silvestr
., .
Afinal, afin
,, ,
Bayesa, bayesa
deu, deu
um, um
show, show
de, de
resistência, resistência
,, ,
velocidade, velocidad
e, e
inteligência, inteligência
numa, numa
das, da
mais, mai
emocionantes, emocionant
provas, prova
da, da
história, história
dessa, dessa
tradicional, tradicion
competição, competição
., .
Mesmo, mesmo
porque, porqu
o, o
etíope, etíop
chegou, chegou
na, na
frente, frent
,, ,
foi, foi
o, o
verdadeiro, verdadeiro
vencedor, vencedor
., .
Pelo, pelo
menos, meno
no, no
coração, coração
do, do
torcedor, torcedor
., .

, 

