O, ﻿o
diretor, diretor
de, de
esportes, esport
da, da
Parmalat, parmalat
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
disse, diss
que, que
espera, espera
definir, definir
até, até
amanhã, amanhã
a, a
situação, situação
do, do
atacante, atacant
Edmundo, edmundo
,, ,
suspenso, suspenso
do, do
clube, clube
por, por
indisciplina, indisciplina
até, até
este, est
fim-de-semana, fim-de-semana
., .

, 

", "
Vamos, vamo
decidir, decidir
se, se
ele, ele
continua, continua
até, até
o, o
final, final
de, de
seu, seu
contrato, contrato
,, ,
em, em
julho, julho
,, ,
ou, ou
se, se
será, será
negociado, negociado
., .
Quanto, quanto
antes, ant
resolvermos, resolvermo
isso, isso
,, ,
melhor, melhor
., .
É, é
menos, meno
um, um
problema, problema
., .
'', ''

, 

Segundo, segundo
o, o
dirigente, dirigent
,, ,
Edmundo, edmundo
recebeu, recebeu
propostas, proposta
oficiais, oficiai
do, do
Flamengo, flamengo
,, ,
do, do
Botafogo, botafogo
e, e
de, de
dois, doi
times, time
europeus, europeu
,, ,
além, além
do, do
Parma, parma
_, _
clube, clube
italiano, italiano
patrocinado, patrocinado
pela, pela
Parmalat, parmalat
., .

, 

Os, os
clubes, clube
do, do
exterior, exterior
têm, têm
preferência, preferência
,, ,
apesar, apesar
de, de
Edmundo, edmundo
querer, querer
voltar, voltar
ao, ao
Rio, rio
de, de
Janeiro, janeiro
., .

, 

Brunoro, brunoro
afirmou, afirm
que, que
o, o
novo, novo
treinador, treinador
do, do
Palmeiras, palmeira
não, não
terá, terá
interferência, interferência
na, na
definição, definição
do, do
caso, caso
Edmundo, edmundo
., .

, 

Segundo, segundo
Brunoro, brunoro
,, ,
o, o
Palmeiras, palmeira
mantém, mantém
o, o
interesse, interess
nas, na
contratações, contrataçõ
dos, do
atacantes, atacant
Renato, renato
Gaúcho, gaúcho
(, (
do, do
Fluminense, fluminens
), )
e, e
Caniggia, caniggia
(, (
da, da
Roma, roma
,, ,
da, da
Itália, itália
), )
e, e
do, do
meia-lateral, meia-later
Cafu, cafu
(, (
do, do
Zaragoza, zaragoza
,, ,
da, da
Espanha, espanha
), )
., .

, 

", "
Resta, resta
saber, saber
se, se
o, o
Renato, renato
,, ,
que, que
é, é
grande, grand
amigo, amigo
do, do
Espinosa, espinosa
,, ,
ainda, ainda
quer, quer
vir, vir
., .
Quanto, quanto
ao, ao
Caniggia, caniggia
,, ,
estamos, estamo
tentando, tentando
trazê-lo, trazê-lo
por, por
empréstimo, empréstimo
e, e
praticamente, praticament
já, já
conseguimos, conseguimo
a, a
prioridade, prioridad
junto, junto
ao, ao
Zaragoza, zaragoza
para, para
contratar, contratar
o, o
Cafu, cafu
., .
'', ''

, 

Edílson, edílson
e, e
Rincón, rincón
devem, devem
voltar, voltar
ao, ao
Palmeiras, palmeira
em, em
agosto, agosto
., .

, 

(, (
AR, ar
), )

, 

