Ao, ﻿ao
tomar, tomar
um, um
gol, gol
aos, ao
45min, 45min
do, do
segundo, segundo
tempo, tempo
,, ,
o, o
Palmeiras, palmeira
empatou, empat
ontem, ontem
com, com
a, a
Ferroviária, ferroviária
por, por
1, 1
a, a
1, 1
,, ,
em, em
Araraquara, araraquara
., .

, 

A, a
equipe, equip
soma, soma
agora, agora
40, 40
pontos, ponto
e, e
divide, divid
a, a
quarta, quarta
colocação, colocação
do, do
campeonato, campeonato
com, com
o, o
Guarani, guarani
., .

, 

Márcio, márcio
Araújo, araújo
,, ,
que, que
dirigiu, dirigiu
o, o
Palmeiras, palmeira
pela, pela
última, última
vez, vez
(, (
o, o
novo, novo
técnico, técnico
já, já
é, é
Carlos, carlo
Alberto, alberto
Silva, silva
), )
,, ,
montou, montou
um, um
esquema, esquema
defensivo, defensivo
., .

, 

Com, com
o, o
colombiano, colombiano
Losano, losano
no, no
lugar, lugar
de, de
Magrão, magrão
,, ,
a, a
equipe, equip
jogou, jogou
praticamente, praticament
com, com
cinco, cinco
homens, homen
no, no
meio-campo, meio-campo
e, e
apenas, apena
um, um
atacante, atacant
,, ,
Maurílio, maurílio
., .

, 

Mas, ma
foi, foi
o, o
suficiente, suficient
para, para
dominar, dominar
a, a
Ferroviária, ferroviária
,, ,
que, que
em, em
nenhum, nenhum
momento, momento
ameaçou, ameaç
Velloso, velloso
., .

, 

O, o
gol, gol
palmeirense, palmeirens
saiu, saiu
aos, ao
25min, 25min
do, do
primeiro, primeiro
tempo, tempo
., .
Índio, índio
cobrou, cobrou
falta, falta
pela, pela
direita, direita
., .
Cléber, cléber
,, ,
na, na
pequena, pequena
área, área
,, ,
chutou, chutou
e, e
marcou, marcou
., .

, 

O, o
Palmeiras, palmeira
então, então
desperdiçou, desperdiç
várias, vária
chances, chanc
de, de
gol, gol
,, ,
especialmente, especialment
em, em
cruzamentos, cruzamento
na, na
área, área
e, e
em, em
contra-ataques, contra-ataqu
., .
A, a
equipe, equip
teve, teve
ainda, ainda
quatro, quatro
bolas, bola
na, na
trave, trave
., .

, 

Aos, ao
45min, 45min
do, do
segundo, segundo
tempo, tempo
,, ,
a, a
Ferroviária, ferroviária
empatou, empat
com, com
Marquinhos, marquinho
,, ,
que, que
cobrou, cobrou
falta, falta
no, no
canto, canto
direito, direito
baixo, baixo
de, de
Velloso, velloso
., .

, 

