Uma, ﻿uma
missa, missa
será, será
realizada, realizada
hoje, hoje
,, ,
no, no
circuito, circuito
de, de
Imola, imola
,, ,
Itália, itália
,, ,
em, em
memória, memória
a, a
Ayrton, ayrton
Senna, senna
,, ,
que, que
morreu, morreu
há, há
um, um
ano, ano
nesta, nesta
pista, pista
,, ,
durante, durant
o, o
GP, gp
de, de
San, san
Marino, marino
de, de
94, 94
., .

, 

A, a
celebração, celebração
será, será
feita, feita
no, no
local, local
em, em
que, que
o, o
tricampeão, tricampeão
mundial, mundial
sofreu, sofreu
o, o
acidente, acident
fatal, fatal
,, ,
a, a
curva, curva
Tamburello, tamburello
., .

, 

O, o
trecho, trecho
se, se
tornou, tornou
uma, uma
espécie, espéci
de, de
santuário, santuário
graças, graça
aos, ao
fãs, fã
do, do
piloto, piloto
brasileiro, brasileiro
,, ,
que, que
elegeram, elegeram
o, o
ponto, ponto
onde, ond
Senna, senna
bateu, bateu
contra, contra
o, o
muro, muro
de, de
proteção, proteção
para, para
deixar, deixar
recordações, recordaçõ
e, e
homenagens, homenagen
., .

, 

De, de
uma, uma
camisa, camisa
da, da
seleção, seleção
brasileira, brasileira
de, de
futebol, futebol
,, ,
até, até
cartas, carta
seladas, selada
,, ,
passando, passando
por, por
grafites, grafit
estilizados, estilizado
nas, na
formas, forma
e, e
nas, na
cores, core
do, do
capacete, capacet
de, de
Senna, senna
,, ,
há, há
de, de
tudo, tudo
., .

, 

Mensagens, mensagen
em, em
japonês, japonê
,, ,
inglês, inglê
,, ,
italiano, italiano
,, ,
português, portuguê
,, ,
entre, entr
outros, outro
idiomas, idioma
,, ,
foram, foram
deixadas, deixada
em, em
papéis, papéi
e, e
na, na
própria, própria
superfície, superfíci
do, do
muro, muro
onde, ond
Senna, senna
bateu, bateu
., .

, 

Mas, ma
a, a
forma, forma
preferida, preferida
de, de
homenagem, homenagem
parece, parec
mesmo, mesmo
as, as
flores, flore
,, ,
que, que
são, são
presas, presa
à, à
cerca, cerca
e, e
podem, podem
ser, ser
percebidas, percebida
por, por
quem, quem
passa, passa
pelo, pelo
lado, lado
de, de
dentro, dentro
da, da
pista, pista
., .

, 

Durante, durant
este, est
último, último
fim-de-semana, fim-de-semana
,, ,
quando, quando
aconteceu, aconteceu
o, o
GP, gp
de, de
San, san
Marino, marino
,, ,
o, o
local, local
foi, foi
bastante, bastant
visitado, visitado
pelo, pelo
público, público
que, que
se, se
encontrava, encontrava
em, em
Imola, imola
para, para
a, a
corrida, corrida
., .

, 

Nenhuma, nenhuma
cerimônia, cerimônia
oficial, ofici
foi, foi
promovida, promovida
pelos, pelo
organizadores, organizador
da, da
prova, prova
., .
Mas, ma
,, ,
antes, ant
da, da
largada, largada
,, ,
alguns, algun
pilotos, piloto
se, se
reuniram, reuniram
na, na
pista, pista
para, para
um, um
minuto, minuto
de, de
silêncio, silêncio
por, por
Senna, senna
e, e
pelo, pelo
austríaco, austríaco
Roland, roland
Ratzenberger, ratzenberg
,, ,
que, que
também, também
morreu, morreu
em, em
Imola, imola
no, no
ano, ano
passado, passado
., .

, 

Michael, michael
Schumacher, schumach
foi, foi
um, um
dos, do
que, que
participaram, participaram
do, do
grupo, grupo
., .
A, a
sua, sua
frente, frent
,, ,
pendurada, pendurada
numa, numa
cerca, cerca
da, da
arquibancada, arquibancada
localizada, localizada
em, em
frente, frent
aos, ao
boxes, box
,, ,
uma, uma
faixa, faixa
em, em
inglês, inglê
chamava, chamava
a, a
atenção, atenção
., .

, 

`, `
`, `
Michael, michael
,, ,
tenha, tenha
cuidado, cuidado
., .
Ayrton, ayrton
está, está
de, de
olho, olho
em, em
você, você
., .
'', ''

, 

Outras, outra
quatro, quatro
missas, missa
serão, serão
realizadas, realizada
em, em
cidades, cidad
italianas, italiana
., .

, 

(, (
JHM, jhm
), )

, 

