A, ﻿a
TV, tv
Globo, globo
,, ,
a, a
TVA, tva
/, /
ESPN, espn
e, e
a, a
Globosat, globosat
/, /
Sportv, sportv
transmitem, transmitem
hoje, hoje
(, (
ao, ao
vivo, vivo
), )
,, ,
às, às
15h30, 15h30
,, ,
a, a
final, final
da, da
Recopa, recopa
européia, européia
(, (
segundo, segundo
torneio, torneio
interclubes, interclub
mais, mai
importante, important
do, do
continente, continent
), )
entre, entr
o, o
Zaragoza, zaragoza
,, ,
de, de
Cafu, cafu
(, (
foto, foto
), )
,, ,
e, e
o, o
Arsenal, arsen
., .

, 

LEIA, leia
MAIS, mai

, 

sobre, sobr
o, o
jogo, jogo
na, na
pág., pág.
4, 4

, 

