O, ﻿o
jogador, jogador
japonês, japonê
Kazuyoshi, kazuyoshi
Miura, miura
,, ,
o, o
Kazu, kazu
,, ,
26, 26
,, ,
chega, chega
amanhã, amanhã
a, a
São, são
Paulo, paulo
,, ,
acompanhado, acompanhado
da, da
mãe, mãe
e, e
da, da
modelo, modelo
Risako, risako
Miura, miura
,, ,
com, com
quem, quem
se, se
casou, casou
em, em
agosto, agosto
., .
Sua, sua
estadia, estadia
no, no
Brasil, brasil
será, será
acompanhada, acompanhada
pela, pela
equipe, equip
de, de
TV, tv
que, que
prepara, prepara
uma, uma
série, série
sobre, sobr
o, o
jogador, jogador
,, ,
em, em
desenho, desenho
animado, animado
., .

, 

Há, há
quatro, quatro
dias, dia
foi, foi
anunciada, anunciada
sua, sua
renovação, renovação
com, com
o, o
Yomiuri, yomiuri
Verdy, verdi
,, ,
clube, clube
que, que
lhe, lhe
pagará, pagará
cerca, cerca
de, de
US$, us$
2, 2
milhões, milhõ
para, para
jogar, jogar
a, a
temporada, temporada
que, que
se, se
inicia, inicia
em, em
12, 12
de, de
março, março
., .
Kazu, kazu
retorna, retorna
ao, ao
Brasil, brasil
com, com
uma, uma
agenda, agenda
digna, digna
do, do
título, título
de, de
rei, rei
., .
Em, em
sete, sete
dias, dia
no, no
Brasil, brasil
,, ,
visita, visita
quatro, quatro
Estados, estado
e, e
recebe, receb
o, o
título, título
de, de
cidadão, cidadão
jauense, jauens
., .
Na, na
ocasião, ocasião
deverá, deverá
fazer, fazer
uma, uma
doação, doação
de, de
US$, us$
100, 100
mil, mil
para, para
o, o
XV, xv
de, de
Jaú, jaú
e, e
inaugurar, inaugurar
o, o
Centro, centro
de, de
Treinamento, treinamento
do, do
clube, clube
., .

, 

Campeão, campeão
do, do
primeiro, primeiro
torneio, torneio
profissional, profission
do, do
Japão, japão
,, ,
a, a
J-League, j-leagu
,, ,
artilheiro, artilheiro
da, da
competição, competição
com, com
20, 20
gols, gol
-marcando, -marcando
um, um
gol, gol
em, em
cada, cada
uma, uma
das, da
finais, finai
e, e
sendo, sendo
eleito, eleito
o, o
jogador, jogador
mais, mai
importante, important
da, da
liga, liga
,, ,
só, só
não, não
teve, teve
seu, seu
ano, ano
completo, completo
de, de
glórias, glória
porque, porqu
não, não
conseguiu, conseguiu
levar, levar
a, a
seleção, seleção
japonesa, japonesa
à, à
Copa, copa
dos, do
EUA, eua
., .

, 

A, a
história, história
do, do
jogador, jogador
se, se
iniciou, inici
aqui, aqui
em, em
1983, 1983
., .
Passou, passou
pelo, pelo
Santos, santo
,, ,
CRB, crb
de, de
Alagoas, alagoa
e, e
XV, xv
de, de
Jaú, jaú
., .
No, no
Paraná, paraná
,, ,
em, em
89, 89
,, ,
conquistou, conquist
o, o
título, título
estadual, estadu
no, no
Coritiba, coritiba
., .
Em, em
São, são
Paulo, paulo
,, ,
só, só
conseguiu, conseguiu
destaque, destaqu
em, em
90, 90
,, ,
após, apó
uma, uma
vitória, vitória
do, do
Santos, santo
sobre, sobr
o, o
Palmeiras, palmeira
,, ,
por, por
2, 2
a, a
1, 1
,, ,
quando, quando
marcou, marcou
um, um
gol, gol
,, ,
fez, fez
o, o
lançamento, lançamento
para, para
o, o
outro, outro
e, e
acabou, acab
com, com
o, o
apelido, apelido
de, de
", "
time-de-japoneses, time-de-japones
", "
do, do
clube, clube
., .

, 

Em, em
julho, julho
do, do
mesmo, mesmo
ano, ano
seu, seu
contrato, contrato
com, com
o, o
Santos, santo
se, se
encerrou, encerr
e, e
o, o
atacante, atacant
,, ,
que, que
escrevia, escrevia
duas, dua
páginas, página
na, na
revista, revista
mensal, mensal
", "
Striker, striker
", "
,, ,
voltou, voltou
ao, ao
seu, seu
país, paí
., .

, 

