Depois, ﻿depoi
do, do
jogo, jogo
isolado, isolado
de, de
abertura, abertura
de, de
ontem, ontem
,, ,
entre, entr
o, o
São, são
Paulo, paulo
e, e
o, o
Cerro, cerro
Porteno, porteno
,, ,
a, a
Copa, copa
São, são
Paulo, paulo
tem, tem
hoje, hoje
mais, mai
13, 13
jogos, jogo
., .

, 

Quem, quem
gosta, gosta
de, de
futebol, futebol
,, ,
mas, ma
não, não
pretende, pretend
ir, ir
a, a
um, um
estádio, estádio
lotado, lotado
pelas, pela
grandes, grand
torcidas, torcida
de, de
São, são
Paulo, paulo
,, ,
tem, tem
muitas, muita
outras, outra
opções, opçõ
., .
Pela, pela
Série, série
A, a
,, ,
o, o
Londrina, londrina
(, (
PR, pr
), )
joga, joga
com, com
o, o
Volta, volta
Redonda, redonda
(, (
RJ, rj
), )
,, ,
às, às
15h, 15h
,, ,
no, no
estádio, estádio
de, de
Embu, embu
., .
Na, na
B, b
,, ,
a, a
atração, atração
são, são
os, os
japoneses, japones
do, do
Nagoya, nagoya
,, ,
que, que
desafiam, desafiam
o, o
Guarani, guarani
de, de
Campinas, campina
,, ,
às, às
17h, 17h
,, ,
em, em
Guarulhos, guarulho
., .
Na, na
Série, série
C, c
,, ,
o, o
Santa, santa
Cruz, cruz
(, (
PE, pe
), )
enfrenta, enfrenta
o, o
Caxias, caxia
(, (
RS, rs
), )
,, ,
no, no
estádio, estádio
do, do
Sesi, sesi
,, ,
às, às
17h, 17h
., .
Na, na
D, d
,, ,
também, também
ocorre, ocorr
um, um
confronto, confronto
entre, entr
gaúchos, gaúcho
e, e
pernambucanos, pernambucano
:, :
o, o
Internacional, internacion
pega, pega
o, o
Sport, sport
,, ,
às, às
15h, 15h
,, ,
no, no
estádio, estádio
de, de
Campo, campo
Limpo, limpo
,, ,
mesmo, mesmo
local, local
do, do
jogo, jogo
entre, entr
Vitória, vitória
e, e
Fluminense, fluminens
,, ,
Série, série
F, f
,, ,
às, às
17h, 17h
., .

, 

Outras, outra
partidas, partida
:, :
Bahia, bahia
x, x
Ferroviária, ferroviária
e, e
Vasco, vasco
x, x
Nacional, nacion
(, (
Estádio, estádio
do, do
Nacional, nacion
,, ,
15h, 15h
e, e
17h, 17h
), )
), )
;, ;
Juventus, juventu
x, x
Atlético-MG, atlético-mg
(, (
Estádio, estádio
do, do
Juventus, juventu
,, ,
17h, 17h
), )
;, ;
Juventude, juventud
x, x
Cruzeiro, cruzeiro
(, (
Alphaville, alphavil
,, ,
17h, 17h
), )
;, ;
Matsubara, matsubara
x, x
Grêmio, grêmio
(, (
Embu, embu
,, ,
17h, 17h
), )
e, e
Portuguesa, portuguesa
x, x
Mirassol, mirassol
(, (
Canindé, canindé
,, ,
17h, 17h
), )
., .

, 

