Além, ﻿além
de, de
Emerson, emerson
Fittipaldi, fittipaldi
,, ,
outros, outro
dois, doi
brasileiros, brasileiro
tentam, tentam
se, se
classificar, classificar
para, para
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
neste, nest
final, final
de, de
semana, semana
:, :
Christian, christian
Fittipaldi, fittipaldi
e, e
Marco, marco
Greco, greco
., .

, 

Na, na
sessão, sessão
livre, livr
de, de
ontem, ontem
,, ,
Christian, christian
tinha, tinha
como, como
melhor, melhor
média, média
horária, horária
as, as
227,998, 227,998
mph, mph
(, (
366,848, 366,848
km/h, km/h
), )
,, ,
obtidas, obtida
com, com
o, o
carro, carro
reserva, reserva
de, de
seu, seu
companheiro, companheiro
de, de
equipe, equip
,, ,
Robby, robbi
Gordon, gordon
., .

, 

Para, para
o, o
treino, treino
classificatório, classificatório
de, de
hoje, hoje
,, ,
o, o
brasileiro, brasileiro
vai, vai
copiar, copiar
o, o
acerto, acerto
do, do
carro, carro
de, de
Gordon, gordon
., .
Inclusive, inclus
algumas, alguma
peças, peça
do, do
carro, carro
do, do
norte-americano, norte-americano
seriam, seriam
usadas, usada
no, no
de, de
Christian, christian
., .

, 

`, `
`, `
Os, os
próprios, próprio
mecânicos, mecânico
dele, dele
vão, vão
fazer, fazer
o, o
acerto, acerto
,, ,
para, para
que, que
os, os
carros, carro
fiquem, fiquem
idênticos, idêntico
'', ''
,, ,
falou, falou
o, o
brasileiro, brasileiro
,, ,
que, que
não, não
conseguiu, conseguiu
acertar, acertar
seu, seu
carro, carro
nesta, nesta
semana, semana
., .

, 

Já, já
Marco, marco
Greco, greco
obteve, obtev
ontem, ontem
a, a
média, média
de, de
226,843, 226,843
mph, mph
(, (
364,990, 364,990
km/h, km/h
), )
., .

, 

`, `
`, `
Gostei, gostei
do, do
carro, carro
., .
Se, se
o, o
tempo, tempo
estiver, estiv
bom, bom
amanhã, amanhã
(, (
hoje, hoje
), )
de, de
manhã, manhã
,, ,
já, já
vou, vou
tentar, tentar
a, a
classificação, classificação
cedo, cedo
'', ''
,, ,
afirmou, afirm
., .

, 

Com, com
uma, uma
vaga, vaga
no, no
grid, grid
provisório, provisório
,, ,
mas, ma
com, com
o, o
segundo, segundo
pior, pior
tempo, tempo
entre, entr
os, os
25, 25
carros, carro
já, já
alinhados, alinhado
,, ,
o, o
brasileiro, brasileiro
Gil, gil
de, de
Ferran, ferran
disse, diss
ontem, ontem
não, não
acreditar, acreditar
que, que
sua, sua
classificação, classificação
esteja, esteja
ameaçada, ameaçada
., .

, 

`, `
`, `
Não, não
acho, acho
que, que
haja, haja
gente, gent
suficiente, suficient
para, para
nos, no
tirar, tirar
., .
E, e
,, ,
se, se
houver, houver
,, ,
estamos, estamo
rápidos, rápido
o, o
bastante, bastant
para, para
dar, dar
a, a
resposta, resposta
'', ''
,, ,
afirmou, afirm
., .

, 

Maurício, maurício
Gugelmin, gugelmin
,, ,
Raul, raul
Boesel, boesel
e, e
André, andré
Ribeiro, ribeiro
,, ,
todos, todo
já, já
classificados, classificado
,, ,
aproveitaram, aproveitaram
a, a
sessão, sessão
livre, livr
de, de
ontem, ontem
para, para
ajustar, ajustar
seus, seu
carros, carro
para, para
a, a
corrida, corrida
., .

, 

Os, os
dois, doi
últimos, último
,, ,
aliás, aliá
,, ,
terminaram, terminaram
seus, seu
trabalhos, trabalho
ontem, ontem
à, à
tarde, tard
., .
`, `
`, `
Agora, agora
,, ,
vou, vou
aproveitar, aproveitar
o, o
tempo, tempo
livre, livr
para, para
curtir, curtir
um, um
pouco, pouco
e, e
cumprir, cumprir
alguns, algun
compromissos, compromisso
com, com
patrocinadores, patrocinador
'', ''
,, ,
disse, diss
Ribeiro, ribeiro
., .

, 

(, (
MT, mt
), )

, 

