As, ﻿a
alterações, alteraçõ
climáticas, climática
deixaram, deixaram
a, a
pista, pista
do, do
Indianápolis, indianápoli
Motor, motor
Speedway, speedway
mais, mai
lenta, lenta
no, no
quarto, quarto
dia, dia
de, de
treinos, treino
livres, livr
para, para
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
(, (
EUA, eua
), )
,, ,
prova, prova
da, da
Indy, indi
que, que
acontece, acontec
no, no
dia, dia
28, 28
., .

, 

A, a
chuva, chuva
que, que
atingiu, atingiu
o, o
circuito, circuito
na, na
madrugada, madrugada
de, de
ontem, ontem
desfez, desfez
parte, part
da, da
trilha, trilha
de, de
borracha, borracha
deixada, deixada
pelos, pelo
pneus, pneu
dos, do
carros, carro
no, no
asfalto, asfalto
., .

, 

Essa, essa
trilha, trilha
ajuda, ajuda
a, a
impedir, impedir
que, que
os, os
carros, carro
derrapem, derrapem
,, ,
o, o
que, que
os, os
torna, torna
mais, mai
rápidos, rápido
., .

, 

Depois, depoi
,, ,
a, a
temperatura, temperatura
aumentou, aument
e, e
a, a
pressão, pressão
atmosférica, atmosférica
diminuiu, diminuiu
., .
Com, com
isso, isso
,, ,
os, os
carros, carro
perderam, perderam
potência, potência
,, ,
pois, poi
caiu, caiu
a, a
quantidade, quantidad
de, de
oxigênio, oxigênio
,, ,
necessário, necessário
para, para
a, a
combustão, combustão
nos, no
motores, motor
,, ,
no, no
ar, ar
., .

, 

Com, com
isso, isso
,, ,
na, na
sessão, sessão
da, da
manhã, manhã
,, ,
o, o
holandês, holandê
Arie, ari
Luyendyk, luyendyk
,, ,
da, da
Menard, menard
,, ,
fez, fez
média, média
de, de
370,150, 370,150
km/h, km/h
,, ,
inferior, inferior
aos, ao
seus, seu
376,678, 376,678
km/h, km/h
de, de
anteontem, anteontem
,, ,
a, a
maior, maior
média, média
já, já
alcançada, alcançada
em, em
Indianápolis, indianápoli
., .

, 

Na, na
mesma, mesma
sessão, sessão
,, ,
o, o
mais, mai
veloz, veloz
foi, foi
Scott, scott
Brayton, brayton
(, (
372,339, 372,339
km/h, km/h
), )
., .
Mauricio, mauricio
Gugelmin, gugelmin
foi, foi
o, o
mais, mai
rápido, rápido
entre, entr
os, os
brasileiros, brasileiro
e, e
a, a
oitava, oitava
média, média
da, da
sessão, sessão
(, (
361,853, 361,853
km/h, km/h
), )
., .

, 

`, `
`, `
Estou, estou
preocupado, preocupado
com, com
o, o
acerto, acerto
aerodinâmico, aerodinâmico
do, do
carro, carro
'', ''
,, ,
disse, diss
Gugelmin, gugelmin
,, ,
que, que
detinha, detinha
a, a
quarta, quarta
melhor, melhor
média, média
de, de
todos, todo
os, os
treinos, treino
(, (
369,234, 369,234
km/h, km/h
), )
,, ,
obtida, obtida
anteontem, anteontem
., .

, 

Na, na
sessão, sessão
da, da
tarde, tard
(, (
após, apó
o, o
fechamento, fechamento
desta, desta
edição, edição
), )
,, ,
com, com
a, a
esperada, esperada
queda, queda
da, da
temperatura, temperatura
,, ,
as, as
velocidades, velocidad
tendiam, tendiam
a, a
aumentar, aumentar
., .

, 

(, (
Mauro, mauro
Tagliaferri, tagliaferri
), )

, 

