Um, ﻿um
garoto, garoto
negro, negro
que, que
fará, fará
19, 19
anos, ano
no, no
dia, dia
1º, 1º
de, de
julho, julho
e, e
outro, outro
garoto, garoto
negro, negro
que, que
fará, fará
19, 19
anos, ano
no, no
dia, dia
1º, 1º
de, de
agosto, agosto
ganharam, ganharam
a, a
Copa, copa
dos, do
Campeões, campeõ
da, da
Europa, europa
de, de
1995, 1995
., .

, 

Os, os
dois, doi
entraram, entraram
na, na
etapa, etapa
final, final
no, no
time, time
do, do
Ajax, ajax
,, ,
de, de
Amsterdã, amsterdã
., .
O, o
primeiro, primeiro
,, ,
Patrick, patrick
Kluivert, kluivert
,, ,
entrou, entrou
aos, ao
25min, 25min
,, ,
no, no
lugar, lugar
do, do
principal, princip
artilheiro, artilheiro
do, do
time, time
,, ,
Litmanen, litmanen
., .

, 

Quatorze, quatorz
minutos, minuto
depois, depoi
,, ,
a, a
seis, sei
do, do
fim, fim
da, da
partida, partida
,, ,
ele, ele
marcou, marcou
o, o
gol, gol
que, que
fez, fez
a, a
final, final
,, ,
a, a
14ª, 14ª
(, (
em, em
40, 40
), )
,, ,
terminar, terminar
com, com
vitória, vitória
de, de
1, 1
a, a
0, 0
., .

, 

O, o
outro, outro
,, ,
o, o
gigante, gigant
nigeriano, nigeriano
de, de
1m97, 1m97
,, ,
Nwankwo, nwankwo
Kanu, kanu
,, ,
entrou, entrou
logo, logo
aos, ao
3min, 3min
,, ,
no, no
lugar, lugar
de, de
Seedor, seedor
., .

, 

Kanu, kanu
mudou, mudou
o, o
panorama, panorama
de, de
um, um
jogo, jogo
que, que
,, ,
a, a
prevalecer, prevalec
o, o
1º, 1º
tempo, tempo
,, ,
estava, estava
fadado, fadado
a, a
ser, ser
vencido, vencido
pelo, pelo
adversário, adversário
do, do
Ajax, ajax
,, ,
o, o
Milan, milan
., .

, 

Com, com
a, a
sua, sua
entrada, entrada
,, ,
o, o
técnico, técnico
do, do
Ajax, ajax
,, ,
Louis, loui
Van, van
Gaal, gaal
,, ,
recuou, recuou
o, o
eficiente, eficient
Ronald, ronald
de, de
Boer, boer
para, para
o, o
meio-de-campo, meio-de-campo
e, e
reverteu, reverteu
a, a
hegemonia, hegemonia
do, do
Milan, milan
no, no
setor, setor
., .

, 

Em, em
busca, busca
do, do
santo, santo
Gaal, gaal
:, :
com, com
o, o
jogo, jogo
empatado, empatado
sem, sem
gols, gol
,, ,
e, e
sentindo, sentindo
o, o
Milan, milan
cansado, cansado
,, ,
ele, ele
fez, fez
