Uma, ﻿uma
vitória, vitória
,, ,
hoje, hoje
,, ,
contra, contra
a, a
Ferroviária, ferroviária
,, ,
em, em
Araraquara, araraquara
,, ,
classifica, classifica
a, a
Portuguesa, portuguesa
para, para
o, o
octogonal, octogon
final, final
do, do
Campeonato, campeonato
Paulista, paulista
., .

, 

Este, est
é, é
o, o
cálculo, cálculo
do, do
técnico, técnico
Candinho, candinho
., .
`, `
`, `
Com, com
41, 41
pontos, ponto
ganhos, ganho
,, ,
asseguramos, asseguramo
uma, uma
das, da
sete, sete
vagas, vaga
'', ''
,, ,
disse, diss
o, o
treinador, treinador
., .

, 

As, as
sete, sete
primeiras, primeira
equipes, equip
da, da
Série, série
A-1, a-1
e, e
a, a
primeira, primeira
colocada, colocada
da, da
Série, série
A-2, a-2
disputam, disputam
a, a
segunda, segunda
fase, fase
do, do
campeonato, campeonato
., .

, 

A, a
Portuguesa, portuguesa
é, é
a, a
atual, atual
vice-líder, vice-líd
do, do
campeonato, campeonato
,, ,
com, com
38, 38
pontos, ponto
., .
O, o
São, são
Paulo, paulo
é, é
o, o
primeiro, primeiro
,, ,
com, com
41, 41
pontos, ponto
., .

, 

As, as
equipes, equip
da, da
Ferroviária, ferroviária
e, e
do, do
Rio, rio
Branco, branco
,, ,
que, que
ocupam, ocupam
a, a
oitava, oitava
posição, posição
,, ,
somam, somam
26, 26
pontos, ponto
., .
Faltam, faltam
nove, nove
rodadas, rodada
para, para
o, o
final, final
da, da
primeira, primeira
fase, fase
e, e
cada, cada
time, time
pode, pode
somar, somar
mais, mai
27, 27
pontos, ponto
., .

, 

Com, com
exceção, exceção
de, de
Palmeiras, palmeira
e, e
Araçatuba, araçatuba
,, ,
que, que
ainda, ainda
têm, têm
dez, dez
jogos, jogo
(, (
30, 30
pontos, ponto
), )
para, para
disputar, disputar
., .

, 

`, `
`, `
Na, na
disputa, disputa
das, da
partidas, partida
as, as
equipes, equip
vão, vão
perder, perder
muitos, muito
pontos, ponto
'', ''
,, ,
disse, diss
Candinho, candinho
., .

, 

O, o
treinador, treinador
não, não
poderá, poderá
escalar, escalar
o, o
atacante, atacant
Flávio, flávio
,, ,
vice-artilheiro, vice-artilheiro
da, da
equipe, equip
com, com
nove, nove
gols, gol
., .
O, o
jogador, jogador
sente, sent
fortes, fort
dores, dore
na, na
coxa, coxa
esquerda, esquerda
., .

, 

Jorge, jorg
Andrade, andrad
será, será
o, o
titular, titular
., .
Esta, esta
será, será
a, a
primeira, primeira
partida, partida
em, em
que, que
o, o
jogador, jogador
atuará, atuará
desde, desd
o, o
início, início
., .

, 

`, `
`, `
Ainda, ainda
sinto, sinto
falta, falta
de, de
entrosamento, entrosamento
com, com
o, o
Paulinho, paulinho
'', ''
,, ,
disse, diss
o, o
jogador, jogador
referindo-se, referindo-s
ao, ao
companheiro, companheiro
de, de
ataque, ataqu
., .

, 

(, (
WBJr, wbjr
., .
), )

, 

FERROVIÁRIA, ferroviária

, 

Paulo, paulo
Sérgio, sérgio
;, ;
Marquinhos, marquinho
Capixaba, capixaba
,, ,
Ronaldo, ronaldo
,, ,
Laércio, laércio
e, e
Bezerra, bezerra
;, ;
Sílvio, sílvio
Donizete, donizet
,, ,
Gilmar, gilmar
,, ,
Vilmar, vilmar
;, ;
Catatau, catatau
,, ,
Adalberto, adalberto
e, e
Carlinhos, carlinho
., .
Técnico, técnico
-, -
Vail, vail
Mota, mota

, 

PORTUGUESA, portuguesa
Paulo, paulo
César, césar
;, ;
Edinho, edinho
,, ,
Jorginho, jorginho
,, ,
Gilmar, gilmar
e, e
Zé, zé
Roberto, roberto
;, ;
Norberto, norberto
,, ,
Capitão, capitão
,, ,
Caio, caio
e, e
Zinho, zinho
;, ;
Jorge, jorg
Andrade, andrad
e, e
Paulinho, paulinho
., .
Técnico, técnico
-, -
Candinho, candinho

, 

Local, local
-, -
Araraquara, araraquara

, 

Horário, horário
-, -
20h30, 20h30

, 

Juiz, juiz
 ,  
-, -
Dalmo, dalmo
Bozzano, bozzano

, 

NA, na
TV, tv

, 

Gols, gol
nos, no
telejornais, telejornai
noturno, noturno

, 

