Mesmo, ﻿mesmo
desfalcado, desfalcado
do, do
cestinha, cestinha
Ricky, ricki
Pierce, pierc
,, ,
o, o
Seattle, seattl
Supersonics, superson
derrotou, derrot
com, com
facilidade, facilidad
o, o
Los, lo
Angeles, angel
Lakers, laker
por, por
103, 103
a, a
88, 88
,, ,
em, em
casa, casa
,, ,
e, e
melhorou, melhor
ainda, ainda
mais, mai
sua, sua
campanha, campanha
na, na
NBA, nba
,, ,
a, a
liga, liga
profissional, profission
de, de
basquete, basquet
dos, do
EUA, eua
., .
O, o
time, time
lidera, lidera
a, a
temporada, temporada
com, com
28, 28
vitórias, vitória
e, e
cinco, cinco
derrotas, derrota
,, ,
aparecendo, aparecendo
a, a
seguir, seguir
o, o
Houston, houston
Rockets, rocket
com, com
28, 28
vitórias, vitória
e, e
oito, oito
derrotas, derrota
., .

, 

O, o
Seattle, seattl
é, é
o, o
primeiro, primeiro
colocado, colocado
na, na
divisão, divisão
Pacífico, pacífico
e, e
o, o
Los, lo
Angeles, angel
Lakers, laker
,, ,
o, o
pior, pior
,, ,
com, com
11, 11
vitórias, vitória
e, e
25, 25
derrotas, derrota
., .
Foi, foi
a, a
quarta, quarta
derrota, derrota
consecutiva, consecutiva
dos, do
Lakers, laker
., .

, 

Outros, outro
resultados, resultado
:, :
Miami, miami
124, 124
x, x
126, 126
L.A.Clippers, l.a.clipp
,, ,
Milwaukee, milwauke
123, 123
x, x
91, 91
Detroit, detroit
,, ,
Houston, houston
83, 83
x, x
95, 95
Boston, boston
,, ,
Denver, denver
103, 103
x, x
104, 104
Portland, portland
e, e
Phoenix, phoenix
113, 113
x, x
103, 103
Dallas, dalla
., .

, 

A, a
direção, direção
da, da
NBA, nba
anunciou, anunci
ontem, ontem
que, que
colocará, colocará
música, música
de, de
fundo, fundo
durante, durant
a, a
apresentação, apresentação
dos, do
seis, sei
jogadores, jogador
no, no
concurso, concurso
de, de
enterradas, enterrada
,, ,
programado, programado
para, para
o, o
próximo, próximo
dia, dia
12, 12
,, ,
em, em
Minneapolis, minneapoli
., .
O, o
concurso, concurso
integra, integra
o, o
fim-de-semana, fim-de-semana
do, do
Jogo, jogo
das, da
Estrelas, estrela
,, ,
que, que
reúne, reún
as, as
seleções, seleçõ
do, do
Leste, lest
e, e
do, do
Oeste, oest
da, da
NBA, nba
., .
O, o
objetivo, objetivo
é, é
animar, animar
a, a
disputa, disputa
., .
Estão, estão
selecionados, selecionado
seis, sei
jogadores, jogador
para, para
o, o
concurso, concurso
:, :
Shaw, shaw
Kemp, kemp
(, (
Seattle, seattl
), )
,, ,
Harold, harold
Miner, miner
(, (
Miami, miami
), )
,, ,
Robert, robert
Pack, pack
(, (
Denver, denver
), )
,, ,
Isaiah, isaiah
Rider, rider
(, (
Minnesota, minnesota
), )
,, ,
James, jame
Robinson, robinson
(, (
Portland, portland
), )
e, e
Doug, doug
Christie, christi
(, (
Lakers, laker
), )
., .

, 

