As, ﻿a
TVs, tv
Bandeirantes, bandeirant
e, e
Globo, globo
transmitem, transmitem
hoje, hoje
(, (
ao, ao
vivo, vivo
), )
,, ,
às, às
18h, 18h
,, ,
o, o
clássico, clássico
entre, entr
o, o
Santos, santo
,, ,
de, de
Edinho, edinho
(, (
foto, foto
), )
,, ,
e, e
o, o
Palmeiras, palmeira
., .
O, o
Santos, santo
é, é
o, o
vice-líder, vice-líd
da, da
competição, competição
,, ,
com, com
39, 39
pontos, ponto
,, ,
e, e
o, o
Palmeiras, palmeira
está, está
em, em
sexto, sexto
,, ,
com, com
33, 33
., .

, 

LEIA, leia
MAIS, mai

, 

sobre, sobr
o, o
jogo, jogo
nas, na
págs, pág
., .
1, 1
e, e
3, 3

, 

