Uma, ﻿uma
despedida, despedida
inesquecível, inesquecível
., .
Foi, foi
tal, tal
motivo, motivo
que, que
incentivou, incentiv
o, o
meia, meia
Catê, catê
a, a
se, se
destacar, destacar
no, no
time, time
de, de
juniores, junior
do, do
São, são
Paulo, paulo
–, –
descartado, descartado
por, por
Telê, telê
Santana, santana
da, da
equipe, equip
de, de
profissionais, profissionai
que, que
vai, vai
disputar, disputar
o, o
Campeonato, campeonato
Paulista, paulista
,, ,
Catê, catê
teve, teve
seu, seu
passe, pass
emprestado, emprestado
ao, ao
Cruzeiro, cruzeiro
., .
Antes, ant
,, ,
porém, porém
,, ,
disputa, disputa
a, a
Copa, copa
São, são
Paulo, paulo
., .
", "
Resolvi, resolvi
mostrar, mostrar
a, a
falta, falta
que, que
vou, vou
fazer, fazer
", "
,, ,
revelou, revel
., .

, 

Os, os
primeiros, primeiro
indícios, indício
já, já
surgiram, surgiram
na, na
partida, partida
de, de
estréia, estréia
do, do
time, time
,, ,
contra, contra
o, o
Cerro, cerro
Porteno, porteno
do, do
Paraguai, paraguai
,, ,
na, na
sexta-feira, sexta-feira
passada, passada
,, ,
quando, quando
o, o
São, são
Paulo, paulo
goleou, goleou
por, por
4, 4
a, a
0, 0
., .
Catê, catê
marcou, marcou
o, o
terceiro, terceiro
e, e
mais, mai
bonito, bonito
gol, gol
:, :
depois, depoi
de, de
tabelar, tabelar
com, com
Jamelli, jamelli
,, ,
o, o
jogador, jogador
esperou, esper
a, a
saída, saída
do, do
goleiro, goleiro
para, para
chutar, chutar
forte, fort
., .

, 

A, a
jogada, jogada
revelou, revel
também, também
um, um
dos, do
aspectos, aspecto
decisivos, decisivo
da, da
tática, tática
elaborada, elaborada
pelo, pelo
técnico, técnico
Murici, murici
., .
Com, com
a, a
equipe, equip
formada, formada
por, por
jogadores, jogador
que, que
foram, foram
campeões, campeõ
no, no
ano, ano
passado, passado
,, ,
o, o
treinador, treinador
apostou, apost
no, no
entrosamento, entrosamento
já, já
elaborado, elaborado
entre, entr
os, os
jogadores, jogador
., .
A, a
história, história
confirma, confirma
o, o
sucesso, sucesso
da, da
empreitada, empreitada
:, :
na, na
final, final
do, do
ano, ano
passado, passado
,, ,
quando, quando
o, o
São, são
Paulo, paulo
venceu, venceu
o, o
Corinthians, corinthian
(, (
4, 4
a, a
3, 3
), )
,, ,
Catê, catê
fez, fez
um, um
gol, gol
e, e
Jamelli, jamelli
os, os
outros, outro
três, trê
., .

, 

Catê, catê
colecionou, colecion
depois, depoi
outro, outro
título, título
importante, important
,, ,
o, o
de, de
campeão, campeão
mundial, mundial
de, de
juniores, junior
,, ,
pela, pela
seleção, seleção
brasileira, brasileira
,, ,
que, que
venceu, venceu
Gana, gana
,, ,
na, na
final, final
disputada, disputada
na, na
Austrália, austrália
., .
Conduzido, conduzido
ao, ao
time, time
profissional, profission
por, por
Telê, telê
Santana, santana
,, ,
Catê, catê
aumentou, aument
sua, sua
experiência, experiência
internacional, internacion
ao, ao
participar, participar
de, de
uma, uma
excursão, excursão
na, na
Espanha, espanha
,, ,
em, em
agosto, agosto
passado, passado
., .

, 

Ao, ao
lado, lado
de, de
Rogério, rogério
e, e
Jamelli, jamelli
,, ,
enfrentou, enfrent
a, a
Lazio, lazio
(, (
equipe, equip
italiana, italiana
dos, do
ingleses, ingles
Platt, platt
e, e
Gascoigne, gascoign
), )
,, ,
a, a
Sampdoria, sampdoria
e, e
o, o
Barcelona, barcelona
., .
Os, os
problemas, problema
começaram, começaram
,, ,
porém, porém
,, ,
no, no
Campeonato, campeonato
Brasileiro, brasileiro
., .
Um, um
atraso, atraso
na, na
apresentação, apresentação
para, para
a, a
concentração, concentração
o, o
afastou, afast
do, do
time, time
., .
Telê, telê
não, não
gostou, gostou
da, da
atitude, atitud
e, e
riscou, riscou
seu, seu
nome, nome
dos, do
planos, plano
para, para
94, 94
., .

, 

No, no
mês, mê
passado, passado
,, ,
o, o
São, são
Paulo, paulo
acertou, acert
o, o
empréstimo, empréstimo
de, de
seu, seu
passe, pass
ao, ao
Cruzeiro, cruzeiro
,, ,
por, por
US$, us$
100, 100
mil, mil
,, ,
durante, durant
um, um
ano, ano
,, ,
com, com
o, o
preço, preço
fixado, fixado
em, em
US$, us$
1, 1
milhão, milhão
., .
Consciente, conscient
da, da
necessidade, necessidad
de, de
sua, sua
função, função
na, na
equipe, equip
,, ,
o, o
técnico, técnico
Murici, murici
convenceu, convenceu
os, os
dirigentes, dirigent
a, a
manter, manter
o, o
jogador, jogador
durante, durant
a, a
Copa, copa
São, são
Paulo, paulo
., .
", "
Foi, foi
um, um
reconhecimento, reconhecimento
", "
,, ,
reconhece, reconhec
Catê, catê
., .
", "
Minha, minha
única, única
resposta, resposta
só, só
poderia, poderia
acontecer, acontec
dentro, dentro
de, de
campo, campo
., .
", "

, 

