O, ﻿o
brasileiro, brasileiro
Joaquim, joaquim
Cruz, cruz
,, ,
medalha, medalha
de, de
ouro, ouro
nos, no
800, 800
m, m
na, na
Olimpíada, olimpíada
de, de
84, 84
,, ,
em, em
Los, lo
Angeles, angel
,, ,
EUA, eua
,, ,
venceu, venceu
ontem, ontem
os, os
1.500, 1.500
m., m.

, 

Principal, princip
destaque, destaqu
do, do
Brasil, brasil
no, no
11º, 11º
Torneio, torneio
Internacional, internacion
de, de
Atletismo, atletismo
de, de
São, são
Paulo, paulo
,, ,
Cruz, cruz
obteve, obtev
a, a
marca, marca
de, de
3min40s49, 3min40s49
., .

, 

José, josé
Mauro, mauro
Valente, valent
,, ,
com, com
3min40s65, 3min40s65
,, ,
e, e
José, josé
Carlos, carlo
Dias, dia
,, ,
com, com
3m42s05, 3m42s05
,, ,
também, também
do, do
Brasil, brasil
,, ,
ficaram, ficaram
em, em
segundo, segundo
e, e
terceiro, terceiro
,, ,
respectivamente, respectivament
., .

, 

Dois, doi
estrangeiros, estrangeiro
disputaram, disputaram
os, os
1.500, 1.500
m, m
com, com
os, os
brasileiros, brasileiro
., .

, 

Foi, foi
a, a
primeira, primeira
corrida, corrida
de, de
Cruz, cruz
,, ,
que, que
considerou, consider
o, o
ritmo, ritmo
da, da
prova, prova
forte, fort
,, ,
depois, depoi
do, do
ouro, ouro
no, no
Pan-Americano, pan-americano
da, da
Argentina, argentina
,, ,
em, em
março, março
., .

, 

`, `
`, `
Como, como
tenho, tenho
alergia, alergia
nesta, nesta
época, época
do, do
ano, ano
,, ,
evito, evito
participar, participar
de, de
todas, toda
as, as
competições, competiçõ
., .
Se, se
eu, eu
perco, perco
alguma, alguma
prova, prova
,, ,
posso, posso
ficar, ficar
abalado, abalado
., .
'', ''
., .

, 

`, `
`, `
A, a
vitória, vitória
me, me
deu, deu
tranquilidade, tranquilidad
., .
Afinal, afin
,, ,
o, o
público, público
brasileiro, brasileiro
quer, quer
que, que
eu, eu
vença, vença
sempre, sempr
,, ,
o, o
que, que
aumenta, aumenta
minha, minha
responsabilidade, responsabilidad
., .
'', ''

, 

Já, já
os, os
atletas, atleta
Carmen, carmen
de, de
Oliveira, oliveira
e, e
Ronaldo, ronaldo
Costa, costa
,, ,
apesar, apesar
de, de
não, não
terem, terem
se, se
saído, saído
bem, bem
ontem, ontem
,, ,
estavam, estavam
conformados, conformado
., .

, 

Carmen, carmen
ficou, ficou
em, em
sexto, sexto
nos, no
3.000, 3.000
m, m
para, para
mulheres, mulher
,, ,
com, com
o, o
tempo, tempo
de, de
9min20s10, 9min20s10
., .
A, a
russa, russa
Olga, olga
Churbanova, churbanova
ganhou, ganhou
a, a
prova, prova
,, ,
tempo, tempo
de, de
9min0219, 9min0219
., .

, 

`, `
`, `
Não, não
esperava, esperava
que, que
o, o
ritmo, ritmo
fosse, foss
tão, tão
forte, fort
., .
Eu, eu
me, me
cansei, cansei
., .
A, a
russa, russa
flutuava, flutuava
na, na
pista, pista
,, ,
não, não
deu, deu
para, para
acompanhá-la, acompanhá-la
'', ''
,, ,
afirmou, afirm
., .

, 

Ronaldo, ronaldo
Costa, costa
,, ,
décimo, décimo
nos, no
3.000, 3.000
m, m
com, com
a, a
marca, marca
de, de
8min24s70, 8min24s70
,, ,
contra, contra
os, os
7min43s15, 7min43s15
do, do
vencedor, vencedor
Simon, simon
Chemwoyio, chemwoyio
,, ,
lembrou, lembrou
que, que
seu, seu
forte, fort
são, são
as, as
corridas, corrida
mais, mai
longas, longa
., .

, 

`, `
`, `
Hoje, hoje
não, não
deu, deu
nem, nem
para, para
acompanhar, acompanhar
o, o
pelotão, pelotão
da, da
frente, frent
., .
'', ''

, 

