Um, ﻿um
problema, problema
no, no
acelerador, acelerador
tirou, tirou
o, o
primeiro, primeiro
ponto, ponto
de, de
Rubens, ruben
Barrichello, barrichello
na, na
temporada, temporada
., .

, 

Na, na
última, última
volta, volta
do, do
GP, gp
da, da
Espanha, espanha
,, ,
o, o
piloto, piloto
da, da
Jordan, jordan
perdeu, perdeu
rendimento, rendimento
e, e
a, a
sexta, sexta
colocação, colocação
para, para
o, o
francês, francê
Olivier, olivi
Panis, pani
,, ,
da, da
Ligier, ligier
,, ,
que, que
vinha, vinha
em, em
sétimo, sétimo
., .

, 

Na, na
verdade, verdad
,, ,
houve, houv
uma, uma
pane, pane
no, no
sistema, sistema
eletrônico, eletrônico
acionado, acionado
pelo, pelo
acelerador, acelerador
,, ,
que, que
controla, controla
a, a
admissão, admissão
de, de
combustível, combustível
no, no
motor, motor
., .

, 

`, `
`, `
Faltou, faltou
um, um
pouco, pouco
de, de
sorte, sort
'', ''
,, ,
declarou, declar
o, o
brasileiro, brasileiro
,, ,
que, que
acabou, acab
se, se
classificando, classificando
na, na
sétima, sétima
posição, posição
., .

, 

Terminar, terminar
a, a
primeira, primeira
corrida, corrida
do, do
ano, ano
,, ,
porém, porém
,, ,
foi, foi
útil, útil
,, ,
segundo, segundo
o, o
piloto, piloto
., .
`, `
`, `
Deu, deu
para, para
fazer, fazer
uma, uma
boa, boa
análise, anális
do, do
carro, carro
e, e
perceber, perceb
o, o
que, que
precisa, precisa
ser, ser
melhorado, melhorado
'', ''
,, ,
afirmou, afirm
., .

, 

Segundo, segundo
Barrichello, barrichello
,, ,
os, os
principais, principai
problemas, problema
estão, estão
no, no
chassi, chassi
., .
`, `
`, `
Ainda, ainda
não, não
encontramos, encontramo
um, um
acerto, acerto
definitivo, definitivo
., .
Quanto, quanto
ao, ao
motor, motor
,, ,
o, o
consumo, consumo
está, está
muito, muito
alto, alto
'', ''
,, ,
disse, diss
., .

, 

Seu, seu
carro, carro
consumiu, consumiu
ontem, ontem
cerca, cerca
de, de
240, 240
litros, litro
de, de
gasolina, gasolina
para, para
percorrer, percorr
os, os
mais, mai
de, de
300, 300
quilômetros, quilômetro
da, da
prova, prova
catalã, catalã
., .

, 

Barrichello, barrichello
disse, diss
que, que
não, não
deu, deu
a, a
mínima, mínima
importância, importância
ao, ao
fato, fato
de, de
seu, seu
companheiro, companheiro
Eddie, eddi
Irvine, irvin
ter, ter
chegado, chegado
à, à
sua, sua
frente, frent
(, (
em, em
quinto, quinto
), )
., .
`, `
`, `
Não, não
estou, estou
preocupado, preocupado
com, com
isso, isso
'', ''
,, ,
declarou, declar
., .

, 

Mas, ma
deixou, deixou
escapar, escapar
que, que
teve, teve
problemas, problema
com, com
retardatários, retardatário
quando, quando
tentava, tentava
alcançar, alcançar
o, o
irlandês, irlandê
após, apó
sua, sua
primeira, primeira
parada, parada
nos, no
boxes, box
., .

, 

Reclamando, reclamando
do, do
terceiro, terceiro
jogo, jogo
de, de
pneus, pneu
que, que
utilizou, utiliz
e, e
também, também
dos, do
freios, freio
,, ,
o, o
piloto, piloto
estava, estava
,, ,
ao, ao
mesmo, mesmo
tempo, tempo
,, ,
aliviado, aliviado
e, e
decepcionado, decepcionado
., .

, 

Parecia, parecia
satisfeito, satisfeito
por, por
suas, sua
reclamações, reclamaçõ
de, de
sexta-feira, sexta-feira
terem, terem
repercutido, repercutido
no, no
time, time
_, _
do, do
cozinheiro, cozinheiro
ao, ao
chefe, chefe
da, da
equipe, equip
,, ,
quase, quas
todos, todo
dirigiam, dirigiam
palavras, palavra
de, de
apoio, apoio
ao, ao
piloto, piloto
após, apó
a, a
corrida, corrida
., .

, 

Mas, ma
as, as
suas, sua
denunciavam, denunciavam
que, que
ele, ele
não, não
confiava, confiava
que, que
sua, sua
fase, fase
de, de
`, `
`, `
azar, azar
'', ''
estaria, estaria
terminando, terminando
., .

, 

(, (
JHM, jhm
), )

, 

