A, ﻿a
falta, falta
de, de
entrosamento, entrosamento
é, é
o, o
maior, maior
problema, problema
da, da
nova, nova
equipe, equip
do, do
Corinthians, corinthian
na, na
estréia, estréia
do, do
Campeonato, campeonato
Paulista, paulista
,, ,
contra, contra
a, a
Portuguesa, portuguesa
,, ,
às, às
16h, 16h
., .
Como, como
o, o
adversário, adversário
,, ,
a, a
equipe, equip
voltou, voltou
das, da
férias, féria
há, há
menos, meno
de, de
15, 15
dias, dia
., .
O, o
problema, problema
é, é
o, o
número, número
de, de
jogadores, jogador
que, que
chegaram, chegaram
,, ,
voltaram, voltaram
ou, ou
saíram, saíram
desde, desd
o, o
fim, fim
do, do
Campeonato, campeonato
Brasileiro, brasileiro
,, ,
no, no
meio, meio
de, de
dezembro, dezembro
., .
Além, além
disso, disso
,, ,
é, é
possível, possível
que, que
Casagrande, casagrand
não, não
jogue, jogu
,, ,
devido, devido
a, a
uma, uma
contusão, contusão
., .

, 

Em, em
relação, relação
à, à
equipe, equip
que, que
disputou, disput
o, o
Campeonato, campeonato
Brasileiro, brasileiro
,, ,
saíram, saíram
13, 13
jogadores, jogador
., .
Cinco, cinco
estavam, estavam
emprestados, emprestado
e, e
foram, foram
devolvidos, devolvido
:, :
Rivaldo, rivaldo
e, e
Leto, leto
(, (
Mogi, mogi
Mirim, mirim
), )
,, ,
Simão, simão
e, e
Norton, norton
(, (
Internacional, internacion
), )
e, e
Mabília, mabília
(, (
Grêmio, grêmio
), )
., .
Dois, doi
não, não
renovaram, renovaram
o, o
aluguel, aluguel
de, de
seus, seu
passes, pass
:, :
Luís, luí
Carlos, carlo
Winck, winck
e, e
Hugo, hugo
., .
Sete, sete
foram, foram
emprestados, emprestado
ou, ou
vendidos, vendido
:, :
Válber, válber
(, (
Yokohama, yokohama
Flugels, flugel
), )
,, ,
Marcelo, marcelo
(, (
Lyon, lyon
), )
,, ,
Vladimir, vladimir
,, ,
Ergos, ergo
e, e
Baré, baré
(, (
Comercial, comerci
), )
,, ,
Admílson, admílson
(, (
Inter-RS, inter-r
), )
e, e
Felício, felício
(, (
Santo, santo
André, andré
), )
., .

, 

Em, em
contrapartida, contrapartida
,, ,
foram, foram
contratados, contratado
Moacir, moacir
,, ,
Marcelinho, marcelinho
Carioca, carioca
,, ,
Casagrande, casagrand
,, ,
Gralak, gralak
,, ,
Valdo, valdo
,, ,
Daniel, daniel
e, e
Wilson, wilson
Mano, mano
e, e
voltaram, voltaram
Adil, adil
,, ,
Fabinho, fabinho
e, e
Biro-Biro, biro-biro
., .
Dos, do
juniores, junior
,, ,
Fabinho, fabinho
e, e
Marques, marqu
já, já
foram, foram
promovidos, promovido
., .
As, as
contratações, contrataçõ
custaram, custaram
cerca, cerca
de, de
US$, us$
3, 3
milhões, milhõ
,, ,
uma, uma
das, da
maiores, maior
quantias, quantia
gastas, gasta
por, por
um, um
clube, clube
paulista, paulista
nesta, nesta
temporada, temporada
., .

, 

O, o
técnico, técnico
Afrânio, afrânio
Riul, riul
,, ,
contratado, contratado
no, no
dia, dia
10, 10
,, ,
ainda, ainda
não, não
conseguiu, conseguiu
implantar, implantar
totalmente, totalment
seu, seu
esquema, esquema
ofensivo, ofensivo
numa, numa
equipe, equip
treinada, treinada
em, em
1993, 1993
por, por
Nelsinho, nelsinho
e, e
depois, depoi
Mário, mário
Sérgio, sérgio
,, ,
que, que
se, se
destacaram, destacaram
por, por
marcação, marcação
forte, fort
e, e
esquema, esquema
tático, tático
detalhado, detalhado
., .
", "
Só, só
com, com
os, os
jogos, jogo
é, é
que, que
iremos, iremo
chegar, chegar
a, a
uma, uma
melhor, melhor
condição, condição
", "
,, ,
disse, diss
Riul, riul
após, apó
o, o
coletivo, coletivo
de, de
sexta-feira, sexta-feira
à, à
tarde, tard
,, ,
que, que
terminou, termin
1, 1
x, x
1, 1
., .

, 

Para, para
manter, manter
na, na
equipe, equip
os, os
11, 11
melhores, melhor
na, na
sua, sua
opinião, opinião
,, ,
Riul, riul
vai, vai
fazer, fazer
a, a
experiência, experiência
de, de
pôr, pôr
Zé, zé
Elias, elia
como, como
misto, misto
de, de
volante, volant
e, e
meia, meia
,, ,
com, com
a, a
camisa, camisa
11, 11
., .
", "
Ele, ele
tem, tem
muita, muita
força, força
e, e
muita, muita
vontade, vontad
., .
Tenho, tenho
que, que
aproveitar, aproveitar
isso, isso
", "
,, ,
disse, diss
., .
O, o
técnico, técnico
quer, quer
que, que
Zé, zé
Elias, elia
atue, atu
como, como
falso, falso
ponta, ponta
e, e
apareça, apareça
na, na
entrada, entrada
da, da
área, área
para, para
finalizar, finalizar
a, a
gol, gol
., .

, 

O, o
jogador, jogador
com, com
maior, maior
liberdade, liberdad
em, em
campo, campo
será, será
Marcelinho, marcelinho
., .
Riul, riul
quer, quer
aproveitar, aproveitar
sua, sua
mobilidade, mobilidad
e, e
transformá-lo, transformá-lo
no, no
", "
motor, motor
", "
do, do
ataque, ataqu
corintiano, corintiano
,, ,
como, como
no, no
tempo, tempo
de, de
Flamengo, flamengo
., .
Além, além
disso, disso
,, ,
Marcelinho, marcelinho
é, é
o, o
encarregado, encarregado
de, de
cobrar, cobrar
faltas, falta
e, e
escanteios, escanteio
., .

, 

Outra, outra
surpresa, surpresa
prometida, prometida
pelo, pelo
técnico, técnico
é, é
fazer, fazer
os, os
laterais, laterai
Leandro, leandro
Silva, silva
e, e
Elias, elia
,, ,
de, de
características, característica
defensivas, defensiva
,, ,
apoiarem, apoiarem
mais, mai
o, o
ataque, ataqu
., .
Ele, ele
não, não
diz, diz
abertamente, abertament
,, ,
mas, ma
espera, espera
que, que
os, os
recém-contratados, recém-contratado
Valdo, valdo
e, e
Daniel, daniel
,, ,
mais, mai
ofensivos, ofensivo
,, ,
se, se
entrosem, entrosem
rápido, rápido
para, para
reforçar, reforçar
a, a
equipe, equip
., .

, 

Na, na
frente, frent
,, ,
Casagrande, casagrand
,, ,
que, que
sentiu, sentiu
dores, dore
no, no
tendão, tendão
de, de
um, um
músculo, músculo
da, da
coxa, coxa
direita, direita
na, na
quinta-feira, quinta-feira
à, à
tarde, tard
,, ,
deve, deve
ficar, ficar
de, de
fora, fora
,, ,
dando, dando
lugar, lugar
a, a
