A, ﻿a
Liga, liga
Carioca, carioca
–, –
entidade, entidad
formada, formada
por, por
Flamengo, flamengo
,, ,
Fluminense, fluminens
e, e
Botafogo, botafogo
–, –
vai, vai
entrar, entrar
na, na
Justiça, justiça
comum, comum
contra, contra
a, a
CBF, cbf
se, se
for, for
recusado, recusado
o, o
pedido, pedido
de, de
filiação, filiação
dos, do
clubes, clube
à, à
entidade, entidad
., .
Isso, isso
pode, pode
prejudicar, prejudicar
o, o
futebol, futebol
brasileiro, brasileiro
,, ,
já, já
que, que
a, a
Fifa, fifa
proíbe, proíb
que, que
clubes, clube
filiados, filiado
entrem, entrem
com, com
ações, açõ
na, na
Justiça, justiça
comum, comum
., .

, 

Os, os
clubes, clube
recorreram, recorreram
o, o
Supremo, supremo
Tribunal, tribun
de, de
Justiça, justiça
Desportiva, desportiva
., .
Se, se
perderem, perderem
,, ,
vão, vão
à, à
Justiça, justiça
comum, comum
., .
O, o
presidente, president
da, da
CBF, cbf
,, ,
Ricardo, ricardo
Teixeira, teixeira
,, ,
em, em
férias, féria
,, ,
não, não
foi, foi
encontrado, encontrado
ontem, ontem
,, ,
quando, quando
terminou, termin
o, o
prazo, prazo
para, para
a, a
CBF, cbf
adaptar, adaptar
seu, seu
estatuto, estatuto
à, à
Lei, lei
Zico, zico
–, –
o, o
que, que
implicaria, implicaria
aceitar, aceitar
formação, formação
de, de
ligas, liga
., .

, 

