O, ﻿o
volante, volant
Alemão, alemão
,, ,
33, 33
,, ,
é, é
o, o
líder, líder
dos, do
`, `
`, `
teens, teen
'', ''
são-paulinos, são-paulino
., .

, 

Em, em
grande, grand
fase, fase
,, ,
elogiado, elogiado
por, por
Telê, telê
Santana, santana
e, e
pelos, pelo
companheiros, companheiro
,, ,
veterano, veterano
disse, diss
que, que
precisa, precisa
`, `
`, `
de, de
uma, uma
preparação, preparação
especial, especi
para, para
acompanhar, acompanhar
o, o
ritmo, ritmo
dos, do
garotos, garoto
'', ''
., .

, 

`, `
`, `
Procuro, procuro
descansar, descansar
bastante, bastant
e, e
não, não
exagerar, exagerar
nos, no
treinos, treino
., .
Só, só
posso, posso
cobrar, cobrar
deles, dele
se, se
estiver, estiv
correndo, correndo
da, da
mesma, mesma
maneira, maneira
'', ''
,, ,
justificou, justific
Alemão, alemão
., .

, 

Ele, ele
entende, entend
que, que
vive, vive
hoje, hoje
a, a
sua, sua
melhor, melhor
fase, fase
no, no
São, são
Paulo, paulo
,, ,
depois, depoi
de, de
superar, superar
a, a
`, `
`, `
sombra, sombra
'', ''
de, de
Toninho, toninho
Cerezo, cerezo
,, ,
que, que
deixou, deixou
o, o
clube, clube
no, no
final, final
de, de
1993, 1993
., .

, 

`, `
`, `
Foi, foi
difícil, difícil
., .
Quando, quando
cheguei, cheguei
,, ,
todos, todo
esperavam, esperavam
que, que
eu, eu
jogasse, jogass
como, como
o, o
Cerezo, cerezo
., .
Mas, ma
meu, meu
estilo, estilo
é, é
diferente, diferent
e, e
só, só
agora, agora
está, está
sendo, sendo
reconhecido, reconhecido
., .
'', ''

, 

Alemão, alemão
reconhece, reconhec
que, que
os, os
jovens, joven
`, `
`, `
dominam, dominam
o, o
futebol, futebol
'', ''
., .

, 

Para, para
ele, ele
,, ,
os, os
melhores, melhor
jogadores, jogador
brasileiros, brasileiro
da, da
sua, sua
posição, posição
são, são
Zé, zé
Elias, elia
,, ,
18, 18
,, ,
e, e
Doriva, doriva
,, ,
22, 22
., .

, 

`, `
`, `
Por, por
outro, outro
lado, lado
,, ,
o, o
fato, fato
de, de
jogadores, jogador
como, como
o, o
Cerezo, cerezo
e, e
o, o
Júnior, júnior
terem, terem
atuado, atuado
,, ,
e, e
bem, bem
,, ,
até, até
quase, quas
os, os
40, 40
anos, ano
,, ,
valoriza, valoriza
também, também
o, o
papel, papel
dos, do
veteranos, veterano
'', ''
,, ,
disse, diss
Alemão, alemão
., .

, 

(, (
AR, ar
), )

, 

