O, ﻿o
New, new
York, york
Knicks, knick
realizou, realiz
quinta-feira, quinta-feira
à, à
noite, noit
uma, uma
de, de
suas, sua
melhores, melhor
partidas, partida
defensivas, defensiva
e, e
deixou, deixou
a, a
quadra, quadra
do, do
Bradley, bradley
Center, center
,, ,
em, em
Milwaukee, milwauke
,, ,
com, com
uma, uma
vitória, vitória
de, de
92, 92
a, a
86, 86
sobre, sobr
os, os
Bucks, buck
., .
Os, os
Knicks, knick
não, não
puderam, puderam
contar, contar
com, com
o, o
armador, armador
Derek, derek
Harper, harper
,, ,
recém-adquirido, recém-adquirido
ao, ao
Dallas, dalla
Mavericks, maverick
,, ,
porque, porqu
o, o
jogador, jogador
terá, terá
de, de
passar, passar
por, por
exames, exam
médicos, médico
para, para
confirmar, confirmar
sua, sua
contratação, contratação
., .

, 

Charles, charl
Oakley, oakley
,, ,
com, com
21, 21
pontos, ponto
e, e
14, 14
rebotes, rebot
,, ,
foi, foi
a, a
grande, grand
estrela, estrela
do, do
time, time
da, da
", "
Big, big
Apple, appl
", "
,, ,
que, que
com, com
a, a
vitória, vitória
manteve, mantev
a, a
ponta, ponta
na, na
Divisão, divisão
do, do
Atlântico, atlântico
,, ,
agora, agora
com, com
20, 20
vitórias, vitória
e, e
8, 8
derrotas, derrota
., .

, 

Em, em
Charlotte, charlott
,, ,
os, os
Hornets, hornet
foram, foram
surpreendidos, surpreendido
ao, ao
serem, serem
derrotados, derrotado
diante, diant
de, de
sua, sua
própria, própria
torcida, torcida
pelo, pelo
Portland, portland
Trail, trail
Blazers, blazer
por, por
116, 116
a, a
110, 110
., .
Os, os
desfalques, desfalqu
,, ,
no, no
entanto, entanto
,, ,
pesaram, pesaram
muito, muito
:, :
o, o
time, time
da, da
Carolina, carolina
do, do
Norte, nort
não, não
pôde, pôde
contar, contar
mais, mai
uma, uma
vez, vez
com, com
Larry, larri
Johnson, johnson
e, e
Alonzo, alonzo
Mourning, mourn
,, ,
suas, sua
duas, dua
estrelas, estrela
., .
Em, em
contrapartida, contrapartida
,, ,
os, os
Blazers, blazer
jogaram, jogaram
sem, sem
seu, seu
", "
all-star, all-star
", "
Clyde, clyde
Drexler, drexler
e, e
o, o
pivô, pivô
Chris, chri
Dudley, dudley
., .

, 

No, no
outro, outro
jogo, jogo
da, da
rodada, rodada
,, ,
o, o
Golden, golden
State, state
Warriors, warrior
derrotou, derrot
o, o
San, san
Antonio, antonio
Spurs, spur
por, por
102, 102
a, a
98, 98
,, ,
em, em
Oakland, oakland
,, ,
Califórnia, califórnia
., .
Latrell, latrel
Sprewell, sprewel
anotou, anot
22, 22
pontos, ponto
e, e
Billy, billi
Owens, owen
,, ,
21, 21
., .

, 

