A, ﻿a
Venturas, ventura
e, e
Aventuras, aventura
,, ,
empresa, empresa
de, de
turismo, turismo
alternativo, alternativo
,, ,
está, está
oferecendo, oferecendo
um, um
pacote, pacot
para, para
os, os
interessados, interessado
em, em
conhecer, conhec
a, a
trilha, trilha
Inca, inca
,, ,
na, na
região, região
andina, andina
., .

, 

Durante, durant
15, 15
dias, dia
a, a
o, o
viajante, viajant
passará, passará
pela, pela
Bolívia, bolívia
e, e
Peru, peru
,, ,
ao, ao
preço, preço
de, de
R$, r$
140, 140
., .
Maiores, maior
informações, informaçõ
podem, podem
ser, ser
conseguidas, conseguida
através, atravé
dos, do
telefones, telefon
(, (
011), 011)
872-0362, 872-0362
/5328, /5328
., .

, 

