Após, ﻿apó
quatro, quatro
anos, ano
,, ,
seis, sei
meses, mese
e, e
cerca, cerca
de, de
25, 25
dias, dia
morando, morando
no, no
Centro, centro
de, de
Treinamento, treinamento
do, do
São, são
Paulo, paulo
,, ,
o, o
técnico, técnico
Telê, telê
Santana, santana
vai, vai
mudar, mudar
de, de
endereço, endereço
., .

, 

Nos, no
próximos, próximo
dias, dia
,, ,
o, o
técnico, técnico
deverá, deverá
ir, ir
morar, morar
num, num
flat, flat
na, na
zona, zona
oeste, oest
de, de
São, são
Paulo, paulo
,, ,
junto, junto
com, com
a, a
mulher, mulher
,, ,
Ivonete, ivonet
., .

, 

A, a
mudança, mudança
deve, deve
acontecer, acontec
no, no
final, final
desta, desta
semana, semana
ou, ou
na, na
próxima, próxima
., .

, 

O, o
novo, novo
apartamento, apartamento
de, de
Telê, telê
tem, tem
quatro, quatro
quartos, quarto
e, e
foi, foi
alugado, alugado
pelo, pelo
São, são
Paulo, paulo
., .

, 

Antes, ant
de, de
ser, ser
entregue, entregu
,, ,
foi, foi
submetido, submetido
a, a
uma, uma
reforma, reforma
,, ,
feita, feita
sob, sob
a, a
orientação, orientação
da, da
mulher, mulher
do, do
técnico, técnico
., .

, 

A, a
mobília, mobília
deverá, deverá
chegar, chegar
ainda, ainda
nesta, nesta
semana, semana
., .
A, a
Folha, folha
apurou, apur
que, que
o, o
técnico, técnico
vai, vai
receber, receb
os, os
móveis, móvei
da, da
loja, loja
Ilustre, ilustr
Móveis, móvei
e, e
Decorações, decoraçõ
,, ,
de, de
São, são
Paulo, paulo
,, ,
em, em
troca, troca
de, de
uma, uma
tarde, tard
de, de
autógrafos, autógrafo
., .

, 

O, o
apartamento, apartamento
do, do
casal, casal
no, no
Rio, rio
de, de
Janeiro, janeiro
deverá, deverá
permanecer, permanec
montado, montado
., .

, 

Telê, telê
conta, conta
que, que
,, ,
quando, quando
chegou, chegou
ao, ao
São, são
Paulo, paulo
,, ,
em, em
outubro, outubro
de, de
1990, 1990
,, ,
o, o
clube, clube
não, não
tinha, tinha
dinheiro, dinheiro
para, para
alugar, alugar
um, um
apartamento, apartamento
para, para
ele, ele
., .
`, `
`, `
Fui, fui
até, até
sem, sem
saber, saber
quanto, quanto
iria, iria
ganhar, ganhar
'', ''
,, ,
relembra, relembra
., .

, 

Na, na
época, época
,, ,
o, o
time, time
tinha, tinha
sido, sido
rebaixado, rebaixado
para, para
o, o
equivalente, equivalent
à, à
série, série
A-2, a-2
do, do
Campeonato, campeonato
Paulista, paulista
., .

, 

Ele, ele
ficou, ficou
morando, morando
num, num
quarto, quarto
do, do
Centro, centro
do, do
Treinamento, treinamento
,, ,
que, que
havia, havia
sido, sido
aprontado, aprontado
pouco, pouco
tempo, tempo
antes, ant
., .
O, o
quarto, quarto
é, é
o, o
mesmo, mesmo
até, até
hoje, hoje
., .
Pelo, pelo
tempo, tempo
em, em
que, que
mora, mora
lá, lá
,, ,
o, o
CT, ct
transformou-se, transformou-s
em, em
sua, sua
casa, casa
., .

, 

A, a
mudança, mudança
para, para
São, são
Paulo, paulo
é, é
um, um
antigo, antigo
desejo, desejo
de, de
Ivonete, ivonet
,, ,
somente, soment
agora, agora
realizado, realizado
., .

, 

A, a
ida, ida
de, de
Telê, telê
para, para
o, o
flat, flat
ficou, ficou
acertada, acertada
na, na
última, última
renovação, renovação
de, de
contrato, contrato
do, do
treinador, treinador
,, ,
no, no
final, final
do, do
ano, ano
passado, passado
., .
Todos, todo
os, os
contratos, contrato
de, de
Telê, telê
com, com
o, o
clube, clube
são, são
verbais, verbai
,, ,
segundo, segundo
ele, ele
., .

, 

No, no
meio, meio
do, do
ano, ano
passado, passado
,, ,
porém, porém
,, ,
nada, nada
indicava, indicava
que, que
isso, isso
aconteceria, aconteceria
., .

, 

Telê, telê
estava, estava
aborrecido, aborrecido
e, e
confidenciou, confidenci
que, que
era, era
mais, mai
provável, provável
a, a
sua, sua
saída, saída
do, do
clube, clube
do, do
que, que
a, a
vinda, vinda
de, de
sua, sua
mulher, mulher
para, para
São, são
Paulo, paulo
., .

, 

As, as
arestas, aresta
foram, foram
contornadas, contornada
,, ,
e, e
Telê, telê
ficou, ficou
., .
Neste, nest
ano, ano
,, ,
o, o
técnico, técnico
tem, tem
mostrado, mostrado
uma, uma
satisfação, satisfação
incomum, incomum
com, com
o, o
empenho, empenho
e, e
o, o
comportamento, comportamento
dos, do
jogadores, jogador
., .

, 

