Sem, ﻿sem
dúvida, dúvida
,, ,
a, a
esquina, esquina
das, da
avenidas, avenida
Brigadeiro, brigadeiro
Luís, luí
Antônio, antônio
e, e
Paulista, paulista
se, se
tornou, tornou
a, a
grande, grand
sensação, sensação
da, da
São, são
Silvestre, silvestr
em, em
suas, sua
duas, dua
últimas, última
edições, ediçõ
., .
E, e
lá, lá
que, que
as, as
duas, dua
corridas, corrida
foram, foram
decididas, decidida
., .
Em, em
92, 92
,, ,
quando, quando
Simon, simon
Chemwoyo, chemwoyo
deu, deu
um, um
impressionante, impressionant
sprint, sprint
e, e
superou, super
o, o
mexicano, mexicano
Arturo, arturo
Barrios, barrio
., .
Em, em
93, 93
,, ,
Simon, simon
recebeu, recebeu
o, o
troco, troco
de, de
Fita, fita
Bayesa, bayesa
,, ,
da, da
Etiópia, etiópia
,, ,
que, que
perdeu, perdeu
a, a
prova, prova
por, por
ter, ter
se, se
enganado, enganado
no, no
caminho, caminho
da, da
linha, linha
de, de
chegada, chegada
., .

, 

Para, para
Caroline, carolin
Faith, faith
,, ,
empresária, empresária
e, e
trienadora, trienadora
de, de
Bayesa, bayesa
,, ,
seu, seu
pupílo, pupílo
ganhou, ganhou
a, a
prova, prova
., .
", "
Sei, sei
que, que
oficialmente, oficialment
ele, ele
chegou, chegou
em, em
segundo, segundo
., .
Mas, ma
está, está
claro, claro
que, que
ele, ele
venceria, venceria
se, se
não, não
houvesse, houvess
acontecido, acontecido
tudo, tudo
isso, isso
", "
,, ,
afirmou, afirm
., .
Ela, ela
disse, diss
também, também
que, que
Bayesa, bayesa
isentou, isent
a, a
organização, organização
e, e
o, o
vencedor, vencedor
Chemwoyo, chemwoyo
de, de
qualquer, qualquer
responsabilidade, responsabilidad
., .
", "
A, a
culpa, culpa
foi, foi
dele, dele
mesmo, mesmo
., .
Havia, havia
muita, muita
gente, gent
no, no
trecho, trecho
e, e
ele, ele
se, se
assustou, assust
", "
., .

, 

Caroline, carolin
serviu, serviu
de, de
intérprete, intérpret
para, para
Bayesa, bayesa
., .
O, o
etíope, etíop
fala, fala
um, um
inglês, inglê
precário, precário
que, que
só, só
ela, ela
entende, entend
., .
Antes, ant
da, da
sua, sua
chegada, chegada
na, na
sala, sala
onde, ond
aconteciam, aconteciam
as, as
entrevista, entrevista
,, ,
Bayesa, bayesa
se, se
esforçava, esforçava
para, para
explicar, explicar
por, por
mímica, mímica
,, ,
o, o
que, que
tinha, tinha
acontecido, acontecido
., .

, 

Pelo, pelo
menos, meno
um, um
item, item
precisa, precisa
ainda, ainda
de, de
explicação, explicação
., .
Os, os
tempos, tempo
divulgados, divulgado
pela, pela
organização, organização
do, do
evento, evento
dão, dão
um, um
segundo, segundo
de, de
vantagem, vantagem
para, para
Chemwoyo, chemwoyo
em, em
relação, relação
a, a
Fita, fita
Bayesa, bayesa
., .
Este, est
,, ,
por, por
sua, sua
vez, vez
,, ,
teria, teria
chegado, chegado
dez, dez
segundos, segundo
à, à
frente, frent
do, do
terceiro, terceiro
colocado, colocado
,, ,
William, william
Sigei, sigei
., .
Na, na
imagem, imagem
da, da
TV, tv
,, ,
no, no
entanto, entanto
,, ,
Chemwoyo, chemwoyo
cruza, cruza
a, a
linha, linha
de, de
chegada, chegada
vários, vário
segundos, segundo
antes, ant
que, que
Bayesa, bayesa
., .
Já, já
Sigei, sigei
,, ,
chega, chega
junto, junto
com, com
o, o
etíope, etíop
à, à
linha, linha
., .

, 

Victor, victor
Malzoni, malzoni
,, ,
diretor, diretor
geral, geral
da, da
prova, prova
,, ,
após, apó
anunciar, anunciar
que, que
Bayesa, bayesa
receberia, receberia
o, o
mesmo, mesmo
prêmio, prêmio
de, de
Chemwoyo, chemwoyo
,, ,
afirmou, afirm
que, que
a, a
SS, ss
vive, vive
uma, uma
nova, nova
fase, fase
., .
", "
Pela, pela
segunda, segunda
vez, vez
consecutiva, consecutiva
,, ,
tivemos, tivemo
um, um
final, final
de, de
prova, prova
emocionante, emocionant
", "
,, ,
disse, diss
., .
Quanto, quanto
ao, ao
predomínio, predomínio
africano, africano
,, ,
Malzoni, malzoni
acha, acha
que, que
isso, isso
tende, tend
a, a
se, se
repetir, repetir
em, em
94, 94
., .
", "
Os, os
africanos, africano
descobriram, descobriram
a, a
SS, ss
", "
., .

, 

Ronaldo, ronaldo
Costa, costa
,, ,
que, que
acabou, acab
levando, levando
um, um
Fiat, fiat
por, por
ter, ter
sido, sido
o, o
brasileiro, brasileiro
melhor, melhor
colocado, colocado
na, na
prova, prova
(, (
sétimo, sétimo
), )
,, ,
estava, estava
contente, content
com, com
o, o
prêmio, prêmio
., .
", "
Vou, vou
comprar, comprar
uma, uma
casa, casa
em, em
Juiz, juiz
de, de
Fora, fora
", "
,, ,
disse, diss
o, o
mineiro, mineiro
de, de
23, 23
anos, ano
que, que
nasceu, nasceu
em, em
Descoberto, descoberto
., .

, 

