O, ﻿o
basquete, basquet
paulista, paulista
define, defin
os, os
seus, seu
dois, doi
campeões, campeõ
da, da
temporada, temporada
:, :
o, o
masculino, masculino
e, e
o, o
feminino, feminino
., .
A, a
decisão, decisão
do, do
masculino, masculino
começou, começ
sexta-feira, sexta-feira
., .
Hoje, hoje
tem, tem
as, as
suas, sua
semifinais, semifinai
e, e
na, na
terça, terça
,, ,
as, as
finais, finai
., .

, 

Na, na
vitória, vitória
do, do
Dharma-Yara, dharma-yara
sobre, sobr
o, o
Guaru, guaru
por, por
128, 128
a, a
111, 111
(, (
59, 59
a, a
51, 51
), )
,, ,
anteontem, anteontem
,, ,
os, os
principais, principai
cestinhas, cestinha
foram, foram
Gema, gema
,, ,
com, com
30, 30
pontos, ponto
,, ,
e, e
Cadum, cadum
,, ,
com, com
23, 23
,, ,
para, para
os, os
vencedores, vencedor
,, ,
enquanto, enquanto
no, no
time, time
perdedor, perdedor
Spellman, spellman
fez, fez
36, 36
pontos, ponto
e, e
Rolando, rolando
,, ,
23, 23
., .

, 

A, a
vitória, vitória
do, do
Palmeiras, palmeira
sobre, sobr
o, o
Banespa, banespa
por, por
85, 85
a, a
75, 75
(, (
41, 41
a, a
31, 31
), )
teve, teve
como, como
cestinhas, cestinha
Patterson, patterson
,, ,
com, com
20, 20
pontos, ponto
,, ,
e, e
Vanderlei, vanderlei
,, ,
com, com
17, 17
,, ,
enquanto, enquanto
Pipoca, pipoca
se, se
destacou, destac
com, com
13, 13
pontos, ponto
e, e
17, 17
rebotes, rebot
., .
No, no
time, time
perdedor, perdedor
,, ,
Zanon, zanon
obteve, obtev
21, 21
pontos, ponto
e, e
Robins, robin
Davis, davi
,, ,
17, 17
., .
A, a
programação, programação
do, do
feminino, feminino
é, é
diferente, diferent
., .
Tinha, tinha
as, as
semifinais, semifinai
previstas, prevista
para, para
ontem, ontem
(, (
Nossa, nossa
Caixa, caixa
/, /
Campinas, campina
x, x
Cesp-Unimep, cesp-unimep
/, /
Piracicaba, piracicaba
e, e
Lacta, lacta
/, /
Santo, santo
André, andré
x, x
Unimed, unim
Brasil, brasil
/, /
Araçatuba, araçatuba
), )
e, e
a, a
final, final
amanhã, amanhã
., .

, 

Todos, todo
os, os
jogos, jogo
são, são
no, no
ginásio, ginásio
do, do
Ibirapuera, ibirapuera
,, ,
com, com
os, os
ingressos, ingresso
,, ,
por, por
rodada, rodada
,, ,
aos, ao
seguintes, seguint
preços, preço
:, :
arquibancada, arquibancada
,, ,
CR$, cr$
700,00, 700,00
,, ,
e, e
numerada, numerada
,, ,
CR$, cr$
1.500,00, 1.500,00
., .

, 

