No, ﻿no
próximo, próximo
domingo, domingo
,, ,
em, em
Honolulu, honolulu
,, ,
no, no
Havaí, havaí
,, ,
as, as
seleções, seleçõ
da, da
Conferência, conferência
Nacional, nacion
e, e
da, da
Conferência, conferência
Americana, americana
vão, vão
disputar, disputar
o, o
", "
Pro, pro
Bowl, bowl
", "
do, do
futebol, futebol
americano, americano
,, ,
o, o
jogo, jogo
que, que
corresponde, correspond
ao, ao
", "
All, all
Star, star
Game, game
", "
da, da
modalidade, modalidad
., .
Dos, do
11, 11
titulares, titular
do, do
time, time
de, de
ataque, ataqu
da, da
Nacional, nacion
,, ,
6, 6
provêm, provêm
dos, do
Dallas, dalla
Cowboys, cowboy
:, :
o, o
quarterback, quarterback
Troy, troy
Aikman, aikman
(, (
número, número
8), 8)
,, ,
o, o
running, run
back, back
Emmitt, emmitt
Smith, smith
(, (
22, 22
), )
,, ,
o, o
tigh, tigh
end, end
Jay, jay
Novacek, novacek
(, (
84, 84
), )
,, ,
o, o
wide, wide
receiver, receiv
Michael, michael
Irvin, irvin
(, (
88, 88
), )
,, ,
mais, mai
os, os
bloqueadores, bloqueador
Erik, erik
Williams, william
(, (
79, 79
), )
e, e
Nate, nate
Newton, newton
(, (
61, 61
), )
., .
Trata-se, trata-s
de, de
mais, mai
da, da
metade, metad
do, do
potencial, potenci
ofensivo, ofensivo
do, do
elenco, elenco
da, da
mais, mai
forte, fort
das, da
duas, dua
sub-ligas, sub-liga
., .
Dallas, dalla
é, é
imbatível, imbatível
nesse, ness
departamento, departamento
., .

, 

Aliás, aliá
,, ,
Dallas, dalla
também, também
ostenta, ostenta
uma, uma
retaguarda, retaguarda
formidável, formidável
., .
Nenhum, nenhum
dos, do
seus, seu
astros, astro
recebeu, recebeu
convite, convit
para, para
atuar, atuar
no, no
primeiro, primeiro
time, time
da, da
Nacional, nacion
no, no
", "
Pro, pro
Bowl, bowl
", "
., .
Por, por
uma, uma
justa, justa
razão, razão
,, ,
no, no
entanto, entanto
., .
O, o
mister, mister
Jimmy, jimmi
Johnson, johnson
exige, exig
o, o
máximo, máximo
de, de
aguerrimento, aguerrimento
dos, do
seus, seu
atletas, atleta
., .
O, o
lema, lema
da, da
defesa, defesa
de, de
Dallas, dalla
é, é
", "
intimidação, intimidação
", "
., .
Quando, quando
o, o
inimigo, inimigo
tem, tem
a, a
posse, poss
da, da
pelota, pelota
,, ,
o, o
safety, safeti
Kenneth, kenneth
Gant, gant
,, ,
um, um
dos, do
líberos, líbero
dos, do
Cowboys, cowboy
,, ,
realiza, realiza
uma, uma
dança, dança
ritual, ritual
capaz, capaz
de, de
assustar, assustar
um, um
vampiro, vampiro
., .
Num, num
", "
Pro, pro
Bowl, bowl
", "
,, ,
festa, festa
de, de
confraternização, confraternização
,, ,
obviamente, obviament
não, não
há, há
lugar, lugar
para, para
esse, ess
comportamento, comportamento
., .

, 

Dallas, dalla
só, só
diminui, diminui
o, o
seu, seu
potencial, potenci
em, em
duas, dua
situações, situaçõ
limítrofes, limítrof
:, :
os, os
casos, caso
de, de
contusão, contusão
eventual, eventu
de, de
Troy, troy
Aikman, aikman
e, e
de, de
Emmitt, emmitt
Smith, smith
., .
Na, na
peleja, peleja
final, final
da, da
Nacional, nacion
,, ,
diante, diant
dos, do
49ers, 49er
,, ,
Aikman, aikman
sofreu, sofreu
uma, uma
pequena, pequena
concussão, concussão
ao, ao
receber, receb
uma, uma
joelhada, joelhada
involuntária, involuntária
na, na
cabeça, cabeça
,, ,
Smith, smith
sentiu, sentiu
uma, uma
pancada, pancada
no, no
ombro, ombro
esquerdo, esquerdo
,, ,
mal, mal
curado, curado
de, de
uma, uma
luxação, luxação
., .
Ambos, ambo
,, ,
todavia, todavia
,, ,
plenamente, plenament
se, se
recuperaram, recuperaram
no, no
correr, correr
da, da
semana, semana
., .
(, (
SL, sl
), )

, 

