Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
o, o
Renascimento, renascimento
do, do
futebol, futebol
brasileiro, brasileiro
já, já
tem, tem
o, o
seu, seu
Leonardo, leonardo
., .
O, o
Leonardo, leonardo
da, da
dez, dez
.., ..
O, o
Leonardo, leonardo
que, que
é, é
dez, dez
., .
Dez, dez
do, do
São, são
Paulo, paulo
., .

, 

Geeente, geeent
,, ,
o, o
Leonardo, leonardo
driblou, driblou
como, como
um, um
Canhoteiro, canhoteiro
pela, pela
ponta-esquerda, ponta-esquerda
., .
O, o
Leonardo, leonardo
recebeu, recebeu
um, um
Sócrates, sócrate
-, -
", "
o, o
calcanhar, calcanhar
de, de
Deus, deu
", "
,, ,
como, como
era, era
chamado, chamado
na, na
Itália, itália
-, -
rápido, rápido
e, e
serviu, serviu
de, de
calcanhar, calcanhar
., .

, 

O, o
Leonardo, leonardo
encarnou, encarn
um, um
Baltazar, baltazar
-, -
o, o
", "
cabecinha, cabecinha
de, de
ouro, ouro
", "
-, -
branco, branco
e, e
cabeceou, cabec
..., ...
na, na
trave, trave
., .
O, o
Leonardo, leonardo
incorporou, incorpor
um, um
Gérson, gérson
-, -
", "
o, o
canhotinha, canhotinha
de, de
ouro, ouro
", "
-, -
de, de
peruca, peruca
e, e
fez, fez
um, um
lançamento, lançamento
perfeito, perfeito
para, para
o, o
Palhinha, palhinha
assinar, assinar
o, o
seu, seu
gol, gol
contra, contra
o, o
Santo, santo
André, andré
., .

, 

O, o
Leonardo, leonardo
personificou, personific
os, os
matadores, matador
de, de
todos, todo
os, os
tempos, tempo
-, -
Amarildo, amarildo
,, ,
o, o
", "
possesso, possesso
", "
,, ,
", "
Toninho, toninho
,, ,
o, o
guerreiro, guerreiro
", "
,, ,
Dadá, dadá
,, ,
o, o
", "
maravlha, maravlha
", "
,, ,
o, o
", "
peito, peito
de, de
aço, aço
", "
-, -
e, e
fez, fez
um, um
golaço, golaço
de, de
fora, fora
da, da
área, área
., .

, 

O, o
Leonardo, leonardo
materializou, materializ
os, os
mestres, mestr
executores, executor
de, de
infrações, infraçõ
das, da
regras, regra
sagradas, sagrada
do, do
futebol, futebol
-, -
Rivelino, rivelino
,, ,
o, o
", "
reizinho, reizinho
do, do
Parque, parqu
,, ,
Zico, zico
,, ,
o, o
", "
galinho, galinho
de, de
Quintino, quintino
", "
,, ,
Neto, neto
,, ,
o, o
", "
eu, eu
sou, sou
foda, foda
", "
-, -
e, e
fez, fez
um, um
golaço, golaço
na, na
cobrança, cobrança
de, de
u, u
ma, ma
falta, falta
., .

, 

Leonardo, leonardo
matou, matou
a, a
pau, pau
., .
Leonardo, leonardo
está, está
criando, criando
um, um
problema, problema
imenso, imenso
para, para
o, o
Carlos, carlo
Alberto, alberto
Parreira, parreira
:, :
Leonardo, leonardo
será, será
reserva, reserva
de, de
Branco, branco
na, na
lateral, later
esquerda, esquerda
?, ?
Mas, ma
,, ,
com, com
o, o
futebol, futebol
que, que
ele, ele
está, está
jogando, jogando
,, ,
não, não
seria, seria
mais, mai
apropriado, apropriado
que, que
disputasse, disputass
a, a
camisa, camisa
ocupada, ocupada
pelo, pelo
Raí, raí
?, ?

, 

Consistência, consistência

, 

Consistência, consistência
nos, no
resultados, resultado
é, é
uma, uma
das, da
metas, meta
das, da
novas, nova
técnicas, técnica
de, de
administração, administração
de, de
empresas, empresa
., .
Resultados, resultado
consistentes, consistent
é, é
o, o
que, que
tem, tem
mostrado, mostrado
o, o
trabalho, trabalho
de, de
Telê, telê
Santana, santana
no, no
São, são
Paulo, paulo
., .
Mesmo, mesmo
quando, quando
ele, ele
está, está
ausente, ausent
., .

, 

Qualquer, qualquer
que, que
seja, seja
o, o
placar, placar
da, da
final, final
da, da
Copa, copa
São, são
Paulo, paulo
hoje, hoje
,, ,
no, no
Pacaembu, pacaembu
,, ,
a, a
teenbolada, teenbolada
do, do
tricolor, tricolor
mostrou, mostrou
o, o
que, que
é, é
o, o
futebol, futebol
moderno, moderno
que, que
joga, joga
para, para
ganhar, ganhar
(, (
8, 8
vitórias, vitória
em, em
8, 8
jogos, jogo
), )
., .
E, e
,, ,
embora, embora
a, a
participação, participação
do, do
Murici, murici
tenha, tenha
sido, sido
decisiva, decisiva
na, na
montagem, montagem
desta, desta
equipe, equip
time, time
,, ,
é, é
claro, claro
que, que
se, se
nota, nota
a, a
profunda, profunda
influência, influência
das, da
idéias, idéia
de, de
Telê, telê
no, no
carrossel, carrossel
são-paulino, são-paulino
., .

, 

Outro, outro
exemplo, exemplo
de, de
consistência, consistência
deu, deu
o, o
São, são
Paulo, paulo
no, no
belo, belo
estádio, estádio
de, de
Santo, santo
André, andré
., .
Com, com
um, um
time, time
voltando, voltando
das, da
férias, féria
e, e
desfalcado, desfalcado
de, de
alguns, algun
de, de
seus, seu
jogadores, jogador
mais, mai
importantes, important
,, ,
o, o
São, são
Paulo, paulo
,, ,
no, no
entanto, entanto
,, ,
deu, deu
uma, uma
aula, aula
encantadora, encantadora
de, de
futebol, futebol
contemporâneo, contemporâneo
,, ,
comandada, comandada
pela, pela
dupla, dupla
Murici, murici
e, e
Moracy, moraci
-, -
este, est
,, ,
um, um
dos, do
grandes, grand
engenheiros, engenheiro
da, da
modernidade, modernidad
futebolística, futebolística
no, no
Brasil, brasil
,, ,
um, um
homem, homem
a, a
quem, quem
o, o
esporte, esport
brasileiro, brasileiro
já, já
deve, deve
muito, muito
., .

, 

Três, trê
gols, gol
do, do
São, são
Paulo, paulo
(, (
o, o
quarto, quarto
foi, foi
de, de
falta, falta
), )
foram, foram
consequência, consequência
da, da
aplicação, aplicação
perfeita, perfeita
de, de
uma, uma
jogada, jogada
de, de
alta, alta
velocidade, velocidad
e, e
eficientíssima, eficientíssima
no, no
futebol, futebol
de, de
hoje, hoje
:, :
o, o
gol, gol
de, de
três, trê
lances, lanc
., .

, 

No, no
primeiro, primeiro
,, ,
Doriva, doriva
esticou, estic
um, um
passe, pass
de, de
50, 50
metros, metro
para, para
Neguitão, neguitão
(, (
o, o
estreante, estreant
,, ,
executor, executor
minucioso, minucioso
e, e
preciso, preciso
destas, desta
jogadas, jogada
), )
,, ,
que, que
corria, corria
em, em
direção, direção
à, à
linha, linha
de, de
fundo, fundo
adversária, adversária
,, ,
ele, ele
cruzou, cruzou
rasteiro, rasteiro
para, para
a, a
área, área
e, e
Valdeir, valdeir
faturou, fatur
., .

, 

No, no
segundo, segundo
,, ,
Juninho, juninho
,, ,
lançou, lançou
para, para
Neguitão, neguitão
,, ,
ele, ele
repetiu, repetiu
o, o
cruzamento, cruzamento
e, e
Leonardo, leonardo
marcou, marcou
., .
No, no
terceiro, terceiro
,, ,
a, a
falta, falta
é, é
cobrada, cobrada
para, para
o, o
Leonardo, leonardo
,, ,
ele, ele
enfia, enfia
para, para
Palhinha, palhinha
assinalar, assinalar
o, o
gol, gol
., .

, 

Ou, ou
seja, seja
,, ,
mudaram-se, mudaram-s
os, os
personagens, personagen
,, ,
mas, ma
o, o
futebol, futebol
do, do
São, são
Paulo, paulo
está, está
mantendo, mantendo
o, o
seu, seu
padrão, padrão
de, de
excelência, excelência
., .
Afinal, afin
,, ,
não, não
é, é
só, só
isto, isto
que, que
se, se
espera, espera
de, de
uma, uma
moderna, moderna
equipe, equip
de, de
futebol, futebol
?, ?

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado
., .

, 

