O, ﻿o
relator, relat
do, do
inquérito, inquérito
do, do
Tribunal, tribun
de, de
Justiça, justiça
Desportiva, desportiva
(, (
TJD, tjd
), )
sobre, sobr
o, o
escândalo, escândalo
da, da
arbitragem, arbitragem
,, ,
João, joão
José, josé
Galindo, galindo
,, ,
não, não
acredita, acredita
que, que
no, no
seu, seu
relatório, relatório
vá, vá
propor, propor
punição, punição
a, a
Wagner, wagner
Canazaro, canazaro
., .
", "
Denúncia, denúncia
sobre, sobr
suborno, suborno
de, de
árbitro, árbitro
é, é
como, como
adultério, adultério
:, :
às, às
vezes, veze
se, se
sabe, sabe
que, que
existe, exist
,, ,
mas, ma
não, não
há, há
como, como
provar, provar
", "
,, ,
disse, diss
Galindo, galindo
., .

, 

No, no
máximo, máximo
em, em
29, 29
dias, dia
ele, ele
vai, vai
apresentar, apresentar
seu, seu
relatório, relatório
., .
Se, se
sugerir, sugerir
punição, punição
–, –
restrita, restrita
à, à
área, área
desportiva, desportiva
–, –
a, a
Canazaro, canazaro
,, ,
os, os
11, 11
integrantes, integrant
do, do
TJD, tjd
decidem, decidem
., .
Todos, todo
são, são
ligados, ligado
ao, ao
presidente, president
da, da
federação, federação
,, ,
Eduardo, eduardo
Viana, viana
,, ,
aliado, aliado
de, de
Canazaro, canazaro
., .

, 

Hoje, hoje
os, os
juízes, juíz
Cláudio, cláudio
Cerdeira, cerdeira
e, e
Cláudio, cláudio
Garcia, garcia
–, –
que, que
denunciaram, denunciaram
a, a
orientação, orientação
para, para
influenciar, influenciar
resultados, resultado
de, de
jogos, jogo
–, –
vão, vão
depor, depor
na, na
Polícia, polícia
Interestadual, interestadu
., .

, 

Ontem, ontem
o, o
deputado, deputado
estadual, estadu
Sérgio, sérgio
Cabral, cabral
Filho, filho
(, (
PSDB, psdb
), )
afirmou, afirm
que, que
é, é
possível, possível
que, que
a, a
Assembléia, assembléia
Legislativa, legislativa
não, não
se, se
reúna, reúna
em, em
sessão, sessão
extraordinária, extraordinária
em, em
janeiro, janeiro
., .
Assim, assim
,, ,
ficaria, ficaria
adiada, adiada
pelo, pelo
menos, meno
até, até
fevereiro, fevereiro
a, a
votação, votação
sobre, sobr
a, a
criação, criação
da, da
", "
CPI, cpi
do, do
Apito, apito
", "
,, ,
também, também
sobre, sobr
suborno, suborno
de, de
juízes, juíz
., .
(, (
MM, mm
), )

, 

