Para, ﻿para
Telê, telê
Santana, santana
,, ,
seria, seria
melhor, melhor
o, o
São, são
Paulo, paulo
garantir, garantir
a, a
contratação, contratação
definitiva, definitiva
do, do
meia, meia
Aílton, aílton
que, que
investir, investir
na, na
volta, volta
de, de
Muller, muller
,, ,
do, do
Kashiwa, kashiwa
Reysol, reysol
,, ,
do, do
Japão, japão
., .

, 

Admirador, admirador
do, do
futebol, futebol
de, de
Aílton, aílton
,, ,
Telê, telê
disse, diss
que, que
vai, vai
insistir, insistir
na, na
permanência, permanência
do, do
jogador, jogador
,, ,
que, que
pertence, pertenc
ao, ao
Benfica, benfica
,, ,
de, de
Portugal, portug
., .

, 

Aílton, aílton
está, está
emprestado, emprestado
ao, ao
São, são
Paulo, paulo
até, até
o, o
dia, dia
31, 31
de, de
julho, julho
e, e
seu, seu
passe, pass
custa, custa
US$, us$
1, 1
milhão, milhão
., .

, 

Como, como
o, o
São, são
Paulo, paulo
já, já
pagou, pagou
US$, us$
200, 200
mil, mil
na, na
ocasião, ocasião
do, do
empréstimo, empréstimo
,, ,
restariam, restariam
US$, us$
800, 800
mil, mil
., .

, 

`, `
`, `
Os, os
diretores, diretor
me, me
disseram, disseram
que, que
o, o
clube, clube
não, não
tem, tem
,, ,
no, no
momento, momento
,, ,
o, o
dinheiro, dinheiro
disponível, disponível
'', ''
,, ,
disse, diss
Aílton, aílton
., .

, 

`, `
`, `
Não, não
é, é
um, um
valor, valor
alto, alto
para, para
um, um
grande, grand
jogador, jogador
como, como
o, o
Aílton, aílton
., .
Quando, quando
acabar, acabar
o, o
seu, seu
empréstimo, empréstimo
,, ,
vou, vou
pedir, pedir
sua, sua
contratação, contratação
., .
E, e
,, ,
se, se
tivesse, tivess
esse, ess
dinheiro, dinheiro
,, ,
eu, eu
mesmo, mesmo
compraria, compraria
o, o
passe, pass
'', ''
,, ,
disse, diss
Telê, telê
., .

, 

Quanto, quanto
ao, ao
interesse, interess
do, do
São, são
Paulo, paulo
na, na
volta, volta
de, de
Muller, muller
,, ,
Telê, telê
foi, foi
taxativo, taxativo
:, :
`, `
`, `
Hoje, hoje
,, ,
entre, entr
o, o
Muller, muller
e, e
o, o
Aílton, aílton
,, ,
eu, eu
prefiro, prefiro
o, o
Aílton, aílton
., .
'', ''

, 

O, o
Benfica, benfica
pediu, pediu
que, que
a, a
volta, volta
de, de
Aílton, aílton
fosse, foss
antecipada, antecipada
para, para
18, 18
de, de
junho, junho
., .
`, `
`, `
Sem, sem
chances, chanc
., .
Ficaremos, ficaremo
com, com
ele, ele
até, até
o, o
final, final
do, do
contrato, contrato
e, e
depois, depoi
nos, no
reuniremos, reuniremo
para, para
fazer, fazer
uma, uma
proposta, proposta
ao, ao
Benfica, benfica
'', ''
,, ,
disse, diss
o, o
diretor, diretor
de, de
futebol, futebol
,, ,
Márcio, márcio
Aranha, aranha
., .

, 

O, o
São, são
Paulo, paulo
ofereceu, ofereceu
US$, us$
700, 700
mil, mil
e, e
alguns, algun
amistosos, amistoso
ao, ao
Kashiwa, kashiwa
para, para
ter, ter
Muller, muller
de, de
volta, volta
., .
Os, os
japoneses, japones
ainda, ainda
não, não
responderam, responderam
., .

, 

(, (
AR, ar
), )

, 

