Os, ﻿o
jogadores, jogador
do, do
Corinthians, corinthian
não, não
deverão, deverão
sentir, sentir
muitas, muita
alterações, alteraçõ
com, com
a, a
chegada, chegada
do, do
técnico, técnico
Afrânio, afrânio
Riul, riul
., .
A, a
exemplo, exemplo
do, do
seu, seu
antecessor, antecessor
Mário, mário
Sérgio, sérgio
,, ,
Riul, riul
disse, diss
,, ,
em, em
entrevista, entrevista
à, à
Folha, folha
,, ,
que, que
a, a
forte, fort
marcação, marcação
de, de
meio-campo, meio-campo
é, é
a, a
base, base
do, do
seu, seu
sistema, sistema
tático, tático
., .
", "
No, no
futebol, futebol
atual, atual
todos, todo
devem, devem
defender, defend
e, e
atacar, atacar
., .
Ninguém, ninguém
possui, possui
posição, posição
fixa, fixa
", "
,, ,
prega, prega
o, o
ex-ponta-direita, ex-ponta-direita
da, da
Ponte, pont
Preta, preta
,, ,
que, que
esteve, estev
no, no
banco, banco
de, de
reservas, reserva
,, ,
durante, durant
a, a
histórica, histórica
final, final
do, do
Campeonato, campeonato
Paulista, paulista
,, ,
em, em
77, 77
., .
", "
Conheci, conheci
a, a
força, força
da, da
torcida, torcida
corintiana, corintiana
e, e
pretendo, pretendo
usá-la, usá-la
para, para
motivar, motivar
os, os
jogadores, jogador
", "
,, ,
disse.(WBJr, disse.(wbjr
), )

, 

*, *

, 

Folha, folha
-, -
Como, como
o, o
senhor, senhor
pretende, pretend
armar, armar
o, o
time, time
do, do
Corinthians, corinthian
?, ?

, 

Afrânio, afrânio
Riul, riul
-, -
Primeiro, primeiro
usarei, usarei
estes, est
dias, dia
de, de
pré-temporada, pré-temporada
para, para
conhecer, conhec
as, as
características, característica
dos, do
jogadores, jogador
., .
Não, não
irei, irei
impôr, impôr
um, um
sistema, sistema
para, para
o, o
time, time
,, ,
mas, ma
os, os
jogadores, jogador
–, –
com, com
suas, sua
próprias, própria
características, característica
–, –
que, que
me, me
proporcionarão, proporcionarão
um, um
sistema, sistema
a, a
ser, ser
adotado, adotado
., .

, 

Folha, folha
-, -
Mas, ma
o, o
senhor, senhor
tem, tem
preferência, preferência
por, por
algum, algum
esquema, esquema
tático, tático
?, ?

, 

