Os, ﻿o
`, `
`, `
rookies, rooki
'', ''
(, (
estreantes, estreant
), )
brasileiros, brasileiro
em, em
Indianápolis, indianápoli
(, (
EUA, eua
), )
ainda, ainda
temem, temem
acelerar, acelerar
ao, ao
máximo, máximo
seus, seu
carros, carro
nos, no
treinos, treino
livres, livr
para, para
as, as
500, 500
Milhas, milha
., .

, 

Christian, christian
Fittipaldi, fittipaldi
,, ,
da, da
Walker, walker
,, ,
André, andré
Ribeiro, ribeiro
,, ,
da, da
Tasman, tasman
,, ,
e, e
Gil, gil
de, de
Ferran, ferran
,, ,
da, da
Hall, hall
Racing, race
,, ,
participam, participam
pela, pela
primeira, primeira
vez, vez
da, da
prova, prova
mais, mai
tradicional, tradicion
do, do
automobilismo, automobilismo
mundial, mundial
,, ,
no, no
dia, dia
28, 28
., .

, 

`, `
`, `
É, é
preciso, preciso
ir, ir
aos, ao
poucos, pouco
,, ,
para, para
me, me
adaptar, adaptar
,, ,
mas, ma
já, já
deu, deu
para, para
sentir, sentir
que, que
a, a
pista, pista
é, é
muito, muito
boa, boa
'', ''
,, ,
contou, contou
Christian, christian
., .

, 

Para, para
o, o
brasileiro, brasileiro
,, ,
a, a
concentração, concentração
deve, deve
ser, ser
uma, uma
de, de
suas, sua
maiores, maior
preocupações, preocupaçõ
durante, durant
o, o
período, período
de, de
treinamentos, treinamento
para, para
a, a
prova, prova
., .

, 

`, `
`, `
É, é
uma, uma
corrida, corrida
de, de
três, trê
horas, hora
de, de
duração, duração
,, ,
por, por
isso, isso
é, é
importante, important
estar, estar
bem, bem
concentrado, concentrado
'', ''
disse, diss
o, o
corredor, corredor
., .

, 

`, `
`, `
Dormir, dormir
bem, bem
e, e
ter, ter
uma, uma
boa, boa
alimentação, alimentação
é, é
fundamental, fundament
,, ,
especialmente, especialment
na, na
semana, semana
que, que
antecede, anteced
a, a
corrida, corrida
'', ''
,, ,
completou, complet
., .

, 

Já, já
André, andré
Ribeiro, ribeiro
tem, tem
se, se
preocupado, preocupado
com, com
o, o
acúmulo, acúmulo
de, de
energia, energia
e, e
tensão, tensão
neste, nest
mês, mê
de, de
preparação, preparação
para, para
a, a
corrida, corrida
., .

, 

`, `
`, `
Faço, faço
ginástica, ginástica
todos, todo
os, os
dias, dia
de, de
manhã, manhã
,, ,
mais, mai
para, para
gastar, gastar
energia, energia
do, do
que, que
outra, outra
coisa, coisa
'', ''
,, ,
contou, contou
Ribeiro, ribeiro
., .

, 

`, `
`, `
Estamos, estamo
dando, dando
poucas, pouca
voltas, volta
na, na
pista, pista
., .
Saio, saio
dos, do
boxes, box
,, ,
faço, faço
alguns, algun
giros, giro
e, e
logo, logo
volto, volto
para, para
acertar, acertar
o, o
carro, carro
., .
Com, com
isso, isso
,, ,
parece, parec
que, que
toda, toda
a, a
energia, energia
fica, fica
represada, represada
'', ''
,, ,
disse, diss
., .

, 

Assim, assim
como, como
Christian, christian
,, ,
Ribeiro, ribeiro
não, não
conseguiu, conseguiu
acelerar, acelerar
seu, seu
carro, carro
até, até
o, o
limite, limit
., .
`, `
`, `
Estou, estou
a, a
uns, un
70, 70
%, %
do, do
que, que
