Um, ﻿um
treino, treino
de, de
repescagem, repescagem
deverá, deverá
definir, definir
hoje, hoje
o, o
grid, grid
provisório, provisório
para, para
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
,, ,
a, a
prova, prova
mais, mai
tradicional, tradicion
do, do
automobilismo, automobilismo
e, e
sexta, sexta
etapa, etapa
da, da
Indy, indi
95, 95
,, ,
programada, programada
para, para
o, o
dia, dia
28, 28
., .

, 

Ontem, ontem
estava, estava
previsto, previsto
o, o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
que, que
define, defin
as, as
primeiras, primeira
colocações, colocaçõ
do, do
grid, grid
., .
Elas, ela
dificilmente, dificilment
se, se
alteram, alteram
até, até
a, a
corrida, corrida
,, ,
marcada, marcada
para, para
o, o
dia, dia
28, 28
de, de
maio, maio
., .
Mas, ma
a, a
chuva, chuva
que, que
caia, caia
ontem, ontem
no, no
circuito, circuito
poderia, poderia
adiar, adiar
o, o
`, `
`, `
pole, pole
day, day
'', ''
., .

, 

O, o
mecanismo, mecanismo
de, de
classificação, classificação
para, para
Indianápolis, indianápoli
é, é
complexo, complexo
e, e
o, o
regulamento, regulamento
difere, difer
do, do
das, da
demais, demai
provas, prova
do, do
campeonato, campeonato
da, da
Indy, indi
., .

, 

A, a
formação, formação
do, do
grid, grid
funciona, funciona
assim, assim
:, :
cada, cada
carro, carro
dá, dá
quatro, quatro
voltas, volta
rápidas, rápida
na, na
pista, pista
oval, oval
de, de
2,5, 2,5
milhas, milha
(, (
cerca, cerca
de, de
4, 4
km, km
), )
de, de
Indianápolis, indianápoli
., .

, 

A, a
velocidade, velocidad
média, média
dessas, dessa
quatro, quatro
voltas, volta
é, é
a, a
que, que
vale, vale
para, para
efeito, efeito
de, de
classificação, classificação
., .

, 

No, no
`, `
`, `
pole, pole
day, day
'', ''
,, ,
o, o
carro, carro
com, com
a, a
melhor, melhor
média, média
é, é
o, o
pole, pole
position, posit
,, ,
o, o
que, que
larga, larga
na, na
frente, frent
(, (
são, são
33, 33
carros, carro
que, que
largam, largam
nas, na
500, 500
Milhas, milha
), )
., .

, 

O, o
segundo, segundo
melhor, melhor
tempo, tempo
fica, fica
com, com
o, o
segundo, segundo
lugar, lugar
,, ,
o, o
terceiro, terceiro
tempo, tempo
com, com
a, a
terceira, terceira
colocação, colocação
e, e
assim, assim
sucessivamente, sucessivament
., .

, 

Muitas, muita
vezes, veze
,, ,
porém, porém
,, ,
ocorre, ocorr
de, de
não, não
se, se
completarem, completarem
todas, toda
as, as
33, 33
posições, posiçõ
do, do
grid, grid
., .

, 

Os, os
pilotos, piloto
que, que
consideram, consideram
seu, seu
tempo, tempo
no, no
`, `
`, `
pole, pole
day, day
'', ''
um, um
mau, mau
resultado, resultado
podem, podem
abortar, abortar
o, o
resultado, resultado
e, e
ir, ir
para, para
a, a
repescagem, repescagem
., .

, 

Na, na
primeira, primeira
repescagem, repescagem
,, ,
que, que
acontece, acontec
hoje, hoje
,, ,
o, o
carro, carro
com, com
a, a
melhor, melhor
média, média
horária, horária
ocupará, ocupará
o, o
lugar, lugar
