A, ﻿a
tarde, tard
esfriou, esfriou
e, e
o, o
jogo, jogo
esquentou, esquent
,, ,
mas, ma
os, os
invariáveis, invariávei
17, 17
graus, grau
do, do
termômetro, termômetro
do, do
placar, placar
do, do
Pacaembu, pacaembu
pareciam, pareciam
marcar, marcar
a, a
temperatura, temperatura
do, do
técnico, técnico
do, do
Corinthians, corinthian
,, ,
Eduardo, eduardo
Amorim, amorim
., .

, 

Em, em
seu, seu
conjunto, conjunto
esportivo, esportivo
e, e
tênis, têni
pretos, preto
,, ,
ele, ele
saiu, saiu
do, do
buraco, buraco
chamado, chamado
banco, banco
de, de
reservas, reserva
apenas, apena
dez, dez
vezes, veze
_, _
incluindo, incluindo
uma, uma
vez, vez
para, para
o, o
intervalo, intervalo
,, ,
uma, uma
para, para
o, o
tempo, tempo
técnico, técnico
e, e
uma, uma
no, no
fim, fim
do, do
jogo, jogo
., .

, 

Não, não
gritou, gritou
com, com
os, os
jogadores, jogador
,, ,
não, não
reclamou, reclam
,, ,
não, não
ficou, ficou
andando, andando
de, de
um, um
lado, lado
para, para
o, o
outro, outro
., .
Exatamente, exatament
o, o
contrário, contrário
do, do
que, que
fez, fez
seu, seu
adversário, adversário
,, ,
o, o
também, também
ex-jogador, ex-jogador
Márcio, márcio
Araújo, araújo
_, _
que, que
nem, nem
efetivado, efetivado
no, no
emprego, emprego
está, está
., .

, 

O, o
estilo, estilo
Amorim, amorim
é, é
o, o
mesmo, mesmo
do, do
ex-jogador, ex-jogador
que, que
a, a
torcida, torcida
conhecia, conhecia
como, como
Eduardo, eduardo
,, ,
bicampeão, bicampeão
paulista, paulista
em, em
1982-83, 1982-83
., .

, 

Enquanto, enquanto
a, a
torcida, torcida
comemorava, comemorava
a, a
marcação, marcação
do, do
pênalti, pênalti
sobre, sobr
André, andré
Santos, santo
,, ,
ele, ele
dava, dava
instruções, instruçõ
ao, ao
zagueiro, zagueiro
Henrique, henriqu
., .

, 

Mais, mai
tarde, tard
,, ,
o, o
meio-campista, meio-campista
Souza, souza
seria, seria
expulso, expulso
por, por
fazer, fazer
uma, uma
falta, falta
violenta, violenta
em, em
Amaral, amar
., .

, 

Amorim, amorim
definiu, definiu
diplomaticamente, diplomaticament
o, o
lance, lanc
:, :
`, `
`, `
Ele, ele
levou, levou
uma, uma
falta, falta
dura, dura
,, ,
mas, ma
jamais, jamai
poderia, poderia
revidar, revidar
'', ''
., .

, 

Segundo, segundo
tempo, tempo
., .
O, o
único, único
movimento, movimento
de, de
Eduardo, eduardo
foi, foi
o, o
dos, do
olhos, olho
,, ,
acompanhando, acompanhando
o, o
veloz, veloz
e, e
mortal, mortal
contra-ataque, contra-ataqu
do, do
Palmeiras, palmeira
:, :
3, 3
a, a
1, 1
., .

, 

O, o
juiz, juiz
anulou, anul
gol, gol
legítimo, legítimo
de, de
Bernardo, bernardo
., .
Jogadores, jogador
e, e
torcedores, torcedor
corintianos, corintiano
foram, foram
à, à
loucura, loucura
,, ,
Amorim, amorim
permaneceu, permaneceu
calmo, calmo
., .

, 

Nada, nada
o, o
abalou, abal
., .
Perto, perto
do, do
fim, fim
do, do
jogo, jogo
,, ,
as, as
organizadas, organizada
corintianas, corintiana
começaram, começaram
a, a
xingá-lo, xingá-lo
e, e
a, a
pedir, pedir
sua, sua
saída, saída
., .

, 

No, no
caminho, caminho
do, do
vestiário, vestiário
,, ,
todas, toda
as, as
entrevista, entrevista
foram, foram
sobre, sobr
sua, sua
permanência, permanência
no, no
cargo, cargo
., .
Repetiu, repetiu
um, um
dos, do
maiores, maior
chavões, chavõ
do, do
mundo, mundo
futebolístico, futebolístico
brasileiro, brasileiro
,, ,
mas, ma
que, que
parece, parec
ser, ser
sua, sua
filosofia, filosofia
de, de
trabalho, trabalho
:, :
`, `
`, `
Precisamos, precisamo
manter, manter
a, a
tranquilidade, tranquilidad
'', ''
., .

, 

