A, ﻿a
seleção, seleção
brasileira, brasileira
masculina, masculina
de, de
basquete, basquet
vai, vai
se, se
reunir, reunir
amanhã, amanhã
,, ,
em, em
Santa, santa
Cruz, cruz
do, do
Sul, sul
(, (
RS, rs
), )
,, ,
onde, ond
inicia, inicia
os, os
treinamentos, treinamento
para, para
o, o
Sul-Americano, sul-americano
de, de
Montevidéu, montevidéu
,, ,
Uruguai, uruguai
,, ,
que, que
começa, começa
no, no
dia, dia
27, 27
., .

, 

O, o
técnico, técnico
da, da
seleção, seleção
,, ,
Ary, ari
Vidal, vidal
,, ,
convocou, convoc
14, 14
jogadores, jogador
:, :
alas, ala
/, /
armadores, armador
-, -
Rogério, rogério
,, ,
Fernando, fernando
,, ,
Caio, caio
,, ,
Chuí, chuí
,, ,
Jamison, jamison
,, ,
Guerrinha, guerrinha
,, ,
Rato, rato
e, e
Márcio, márcio
;, ;
pivôs, pivô
-, -
Rolando, rolando
,, ,
Josuel, josuel
,, ,
Luizão, luizão
,, ,
Tonico, tonico
,, ,
Pipoca, pipoca
e, e
Olívia, olívia
., .

, 

O, o
Sul-Americano, sul-americano
apontará, apontará
três, trê
representantes, representant
da, da
área, área
,, ,
além, além
da, da
Argentina, argentina
,, ,
para, para
as, as
disputas, disputa
do, do
Torneio, torneio
Pré-Olímpico, pré-olímpico
das, da
Américas, américa
,, ,
em, em
agosto, agosto
,, ,
na, na
Argentina, argentina
., .
Os, os
argentinos, argentino
já, já
têm, têm
vaga, vaga
assegurada, assegurada
porque, porqu
promovem, promovem
o, o
torneio, torneio
., .

, 

Participam, participam
do, do
Sul-Americano, sul-americano
:, :
Brasil, brasil
,, ,
Argentina, argentina
,, ,
Uruguai, uruguai
,, ,
Venezuela, venezuela
,, ,
Paraguai, paraguai
e, e
Chile, chile
., .

, 

O, o
Pré-Olímpico, pré-olímpico
classificará, classificará
três, trê
times, time
para, para
a, a
Olimpíada-96, olimpíada-96
., .
Na, na
primeira, primeira
fase, fase
,, ,
divididos, dividido
em, em
dois, doi
grupos, grupo
,, ,
dez, dez
países, país
jogam, jogam
em, em
Tucumán, tucumán
(, (
norte, nort
da, da
Argentina, argentina
), )
., .

, 

Os, os
quatro, quatro
melhores, melhor
de, de
cada, cada
grupo, grupo
seguem, seguem
para, para
a, a
cidade, cidad
de, de
Neuquém, neuquém
,, ,
no, no
sul, sul
,, ,
para, para
nova, nova
disputa, disputa
,, ,
divididos, dividido
em, em
duas, dua
novas, nova
chaves, chave
., .

, 

Para, para
essa, essa
etapa, etapa
,, ,
os, os
times, time
carregam, carregam
os, os
resultados, resultado
da, da
fase, fase
de, de
Tucumán, tucumán
., .
Os, os
dois, doi
melhores, melhor
de, de
cada, cada
grupo, grupo
passam, passam
às, às
semifinais, semifinai
., .

, 

