O, ﻿o
futebol, futebol
paulista, paulista
está, está
perdendo, perdendo
a, a
graça, graça
., .
Ou, ou
,, ,
pelo, pelo
menos, meno
,, ,
parte, part
dela, dela
,, ,
com, com
as, as
despedidas, despedida
de, de
Edmundo, edmundo
e, e
Viola, viola
., .

, 

Edmundo, edmundo
,, ,
quando, quando
abre, abr
a, a
boca, boca
,, ,
não, não
tem, tem
graça, graça
nenhuma, nenhuma
., .
Provoca, provoca
lágrimas, lágrima
..., ...
de, de
ódio, ódio
ou, ou
de, de
desespero, desespero
quanto, quanto
ao, ao
futuro, futuro
da, da
raça, raça
humana, humana
., .
Mas, ma
,, ,
com, com
a, a
bola, bola
nos, no
pés, pé
,, ,
ilumina, ilumina
um, um
Morumbi, morumbi
mergulhado, mergulhado
em, em
trevas, treva
só, só
com, com
o, o
sorriso, sorriso
da, da
galera, galera
., .

, 

Ainda, ainda
ontem, ontem
,, ,
ouvi, ouvi
de, de
Cláudio, cláudio
Carsughi, carsughi
uma, uma
definição, definição
correta, correta
:, :
para, para
o, o
Palmeiras, palmeira
de, de
hoje, hoje
,, ,
Edmundo, edmundo
é, é
essencial, essenci
;, ;
mas, ma
,, ,
no, no
Santos, santo
de, de
Pelé, pelé
,, ,
seria, seria
reserva, reserva
., .
A, a
rigor, rigor
,, ,
Edmundo, edmundo
talvez, talvez
tenha, tenha
mais, mai
defeitos, defeito
que, que
virtudes, virtud
,, ,
dentro, dentro
das, da
quatro, quatro
linhas, linha
., .
Seu, seu
senso, senso
de, de
solidariedade, solidariedad
é, é
zero, zero
,, ,
e, e
ele, ele
próprio, próprio
me, me
confessou, confess
que, que
seu, seu
maior, maior
problema, problema
é, é
no, no
arremesso, arremesso
final, final
a, a
gol, gol
., .

, 

Na, na
verdade, verdad
,, ,
Edmundo, edmundo
pertence, pertenc
a, a
uma, uma
estirpe, estirp
de, de
jogadores, jogador
solitários, solitário
,, ,
que, que
só, só
conseguem, conseguem
ter, ter
afinidade, afinidad
íntima, íntima
,, ,
e, e
até, até
compulsiva, compulsiva
,, ,
com, com
a, a
bola, bola
., .
Ele, ele
e, e
a, a
bola, bola
,, ,
fim, fim
., .
Ou, ou
o, o
começo, começo
de, de
um, um
ato, ato
que, que
oscila, oscila
entre, entr
a, a
comédia, comédia
e, e
a, a
tragédia, tragédia
:, :
se, se
está, está
num, num
dia, dia
propício, propício
,, ,
desmonta, desmonta
qualquer, qualquer
retranca, retranca
,, ,
pois, poi
,, ,
com, com
seus, seu
dribles, dribl
desmoralizantes, desmoralizant
,, ,
extrai, extrai
de, de
cada, cada
adversário, adversário
a, a
alma, alma
de, de
vencedor, vencedor
,, ,
inoculando-lhes, inoculando-lh
o, o
pior, pior
de, de
todos, todo
os, os
sentimentos, sentimento
:, :
a, a
humilhação, humilhação
., .

, 

Nessas, nessa
ocasiões, ocasiõ
,, ,
faz-me, faz-m
lembrar, lembrar
um, um
pouco, pouco
de, de
Mané, mané
Garrincha, garrincha
,, ,
de, de
Luisinho, luisinho
Trujillo, trujillo
., .
Só, só
que, que
,, ,
ao, ao
contrário, contrário
dessas, dessa
doces, doce
personalidades, personalidad
,, ,
tem, tem
um, um
gênio, gênio
do, do
cão, cão
., .
E, e
é, é
isso, isso
que, que
transforma, transforma
a, a
comédia, comédia
em, em
tragédia, tragédia
,, ,
ou, ou
num, num
cinzento, cinzento
drama, drama
B., b.

, 

Já, já
Viola, viola
,, ,
não, não
., .
Viola, viola
costumava, costumava
ser, ser
um, um
sarro, sarro
,, ,
dentro, dentro
e, e
fora, fora
das, da
quatro, quatro
linhas, linha
,, ,
