Após, ﻿apó
fraturar, fraturar
um, um
osso, osso
da, da
base, base
do, do
pé, pé
esquerdo, esquerdo
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
André, andré
retorna, retorna
hoje, hoje
ao, ao
time, time
do, do
São, são
Paulo, paulo
., .

, 

Ele, ele
não, não
joga, joga
desde, desd
o, o
dia, dia
12, 12
de, de
março, março
., .

, 

", "
Apesar, apesar
da, da
falta, falta
de, de
ritmo, ritmo
,, ,
vou, vou
voltar, voltar
ainda, ainda
melhor, melhor
'', ''
,, ,
prometeu, prometeu
., .

, 

(, (
AR, ar
), )

, 

Folha, folha
-, -
Como, como
foi, foi
a, a
sua, sua
recuperação, recuperação
?, ?

, 

André, andré
-, -
Foi, foi
muito, muito
difícil, difícil
., .
Eu, eu
perdi, perdi
uns, un
sete, sete
quilos, quilo
e, e
,, ,
praticamente, praticament
,, ,
toda, toda
a, a
musculatura, musculatura
das, da
pernas, perna
., .
Passava, passava
de, de
seis, sei
a, a
sete, sete
horas, hora
por, por
dia, dia
fazendo, fazendo
fisioterapia, fisioterapia
no, no
São, são
Paulo, paulo
., .
Mas, ma
agora, agora
estou, estou
completamente, completament
recuperado, recuperado
., .

, 

Folha, folha
-, -
Você, você
espera, espera
voltar, voltar
rapidamente, rapidament
à, à
seleção, seleção
?, ?

, 

André, andré
-, -
Com, com
certeza, certeza
., .
Fiquei, fiquei
muito, muito
feliz, feliz
ao, ao
saber, saber
que, que
o, o
pessoal, pessoal
da, da
CBF, cbf
telefonou, telefon
para, para
saber, saber
como, como
estava, estava
me, me
recuperando, recuperando
., .
Devo, devo
disputar, disputar
a, a
vaga, vaga
de, de
titular, titular
na, na
seleção, seleção
com, com
o, o
Roberto, roberto
Carlos, carlo
e, e
tenho, tenho
que, que
estar, estar
muito, muito
bem, bem
para, para
ficar, ficar
com, com
ela, ela
., .

, 

Folha, folha
-, -
O, o
São, são
Paulo, paulo
tenta, tenta
contratar, contratar
um, um
novo, novo
lateral, later
e, e
o, o
Telê, telê
disse, diss
que, que
pode, pode
aproveitar, aproveitar
você, você
no, no
meio, meio
..., ...

, 

André, andré
-, -
Se, se
vier, vier
um, um
outro, outro
lateral, later
,, ,
será, será
para, para
ficar, ficar
na, na
reserva, reserva
., .
Eu, eu
comecei, comecei
a, a
carreira, carreira
como, como
meia, meia
,, ,
mas, ma
hoje, hoje
me, me
considero, considero
um, um
lateral, later
nato, nato
., .
Mudei, mudei
todo, todo
o, o
meu, meu
desempenho, desempenho
físico, físico
para, para
me, me
adaptar, adaptar
à, à
posição, posição
e, e
não, não
seria, seria
agora, agora
que, que
iria, iria
mudar, mudar
., .
Só, só
jogo, jogo
no, no
meio, meio
para, para
colaborar, colaborar
., .

, 

