O, ﻿o
tenista, tenista
Wayne, wayn
Ferreira, ferreira
,, ,
da, da
África, áfrica
do, do
Sul, sul
,, ,
ganhou, ganhou
ontem, ontem
a, a
final, final
do, do
Aberto, aberto
BMW, bmw
/, /
ATP, atp
Tour, tour
de, de
Munique, muniqu
,, ,
Alemanha, alemanha
., .

, 

Ele, ele
venceu, venceu
,, ,
na, na
decisão, decisão
do, do
Aberto, aberto
,, ,
o, o
alemão, alemão
Michael, michael
Stich, stich
,, ,
campeão, campeão
do, do
ano, ano
passado, passado
,, ,
por, por
2, 2
sets, set
a, a
0, 0
,, ,
parciais, parciai
de, de
7/5, 7/5
e, e
7/6, 7/6
(, (
8/6, 8/6
), )
., .

, 

A, a
final, final
,, ,
que, que
marcou, marcou
o, o
primeiro, primeiro
título, título
de, de
Ferreira, ferreira
em, em
quadras, quadra
de, de
saibro, saibro
,, ,
durou, durou
uma, uma
hora, hora
e, e
52, 52
minutos, minuto
., .

, 

Foi, foi
também, também
a, a
primeira, primeira
vitória, vitória
do, do
tenista, tenista
da, da
África, áfrica
do, do
Sul, sul
sobre, sobr
o, o
alemão, alemão
., .

, 

Nas, na
três, trê
partidas, partida
anteriores, anterior
,, ,
Stich, stich
havia, havia
vencido, vencido
., .
Duas, dua
foram, foram
válidas, válida
pelas, pela
finais, finai
de, de
torneios, torneio
,, ,
em, em
grama, grama
,, ,
na, na
Inglaterra, inglaterra
(, (
93, 93
), )
e, e
no, no
saibro, saibro
,, ,
na, na
Holanda, holanda
(, (
94, 94
), )
., .

, 

A, a
vitória, vitória
de, de
Ferreira, ferreira
,, ,
décimo, décimo
segundo, segundo
no, no
ranking, rank
da, da
ATP, atp
(, (
Associação, associação
dos, do
Tenistas, tenista
Profissionais, profissionai
), )
,, ,
descontentou, descontent
a, a
torcida, torcida
local, local
,, ,
favorável, favorável
a, a
Stich, stich
,, ,
oitavo, oitavo
no, no
ranking, rank
., .

, 

Boris, bori
Becker, becker
,, ,
outro, outro
tenista, tenista
alemão, alemão
,, ,
foi, foi
eliminado, eliminado
na, na
primeira, primeira
rodada, rodada
., .

, 

No, no
torneio, torneio
de, de
Atlanta, atlanta
,, ,
Estados, estado
Unidos, unido
,, ,
o, o
norte-americano, norte-americano
Michael, michael
Chang, chang
sagrou-se, sagrou-s
campeão, campeão
ao, ao
derrotar, derrotar
ontem, ontem
seu, seu
compatriota, compatriota
Andre, andr
Agassi, agassi
na, na
final, final
., .

, 

Agassi, agassi
,, ,
número, número
um, um
do, do
mundo, mundo
,, ,
perdeu, perdeu
por, por
2, 2
sets, set
a, a
1, 1
,, ,
parciais, parciai
de, de
6/2, 6/2
,, ,
6/7, 6/7
e, e
6/4, 6/4
., .

, 

Chang, chang
é, é
o, o
sexto, sexto
colocado, colocado
no, no
ranking, rank
mundial, mundial
., .

, 

Já, já
a, a
espanhola, espanhola
Conchita, conchita
Martinez, martinez
,, ,
atual, atual
campeã, campeã
de, de
Wimbledon, wimbledon
,, ,
venceu, venceu
a, a
Copa, copa
Citizen, citizen
/, /
Aberto, aberto
de, de
Hamburgo, hamburgo
., .

, 

Ela, ela
derrotou, derrot
na, na
final, final
a, a
suíça, suíça
Marina, marina
Hingins, hingin
,, ,
que, que
tem, tem
14, 14
anos, ano
,, ,
por, por
6/1, 6/1
a, a
6/0, 6/0
com, com
muita, muita
facilidade, facilidad
,, ,
em, em
apenas, apena
49, 49
minutos, minuto
., .

, 

Foi, foi
a, a
decisão, decisão
mais, mai
rápida, rápida
do, do
torneio, torneio
,, ,
que, que
é, é
disputado, disputado
há, há
12, 12
anos, ano
., .

, 

A, a
espanhola, espanhola
apresentou, apresent
um, um
bom, bom
jogo, jogo
de, de
fundo, fundo
de, de
quadra, quadra
., .

, 

Ela, ela
é, é
treinada, treinada
pelo, pelo
brasileiro, brasileiro
Carlos, carlo
Alberto, alberto
Kirmayr, kirmayr
há, há
dois, doi
anos, ano
., .

, 

`, `
`, `
Estou, estou
jogando, jogando
meu, meu
melhor, melhor
tênis, têni
'', ''
,, ,
afirmou, afirm
Conchita, conchita
., .
`, `
`, `
Kirmayr, kirmayr
está, está
me, me
ajudando, ajudando
a, a
manter, manter
a, a
atual, atual
forma, forma
., .
'', ''

, 

