Na, ﻿na
Blizzard, blizzard
Beach, beach
,, ,
o, o
terceiro, terceiro
e, e
mais, mai
completo, completo
parque, parqu
aquático, aquático
da, da
Disney, disney
World, world
,, ,
os, os
banhistas, banhista
que, que
buscam, buscam
emoções, emoçõ
fortes, fort
tem, tem
diversão, diversão
garantida, garantida
., .

, 

Do, do
alto, alto
da, da
montanha, montanha
no, no
`, `
`, `
Summit, summit
Plummet, plummet
'', ''
,, ,
deixe, deix
a, a
água, água
levar, levar
seu, seu
corpo, corpo
a, a
cerca, cerca
de, de
90, 90
km/h, km/h
até, até
o, o
nível, nível
do, do
solo, solo
,, ,
num, num
escorregador, escorregador
quase, quas
vertical, vertic
de, de
40, 40
metros, metro
de, de
altura, altura
., .
O, o
`, `
`, `
susto, susto
'', ''
demora, demora
menos, meno
de, de
seis, sei
segundos, segundo
,, ,
mas, ma
a, a
emoção, emoção
dura, dura
uns, un
dez, dez
minutos, minuto
_, _
tempo, tempo
que, que
leva, leva
para, para
`, `
`, `
baixar, baixar
a, a
adrenalina, adrenalina
'', ''
., .

, 

No, no
Magic, magic
Kingdom, kingdom
,, ,
o, o
parque, parqu
temático, temático
mais, mai
famoso, famoso
da, da
Disney, disney
World, world
,, ,
a, a
principal, princip
novidade, novidad
para, para
as, as
próximas, próxima
férias, féria
é, é
o, o
`, `
`, `
Alien, alien
Encounter, encount
'', ''
,, ,
o, o
novo, novo
brinquedo, brinquedo
da, da
Tomorrowland, tomorrowland
., .

, 

Os, os
visitantes, visitant
presenciam, presenciam
uma, uma
experiência, experiência
onde, ond
o, o
presidente, president
de, de
uma, uma
empresa, empresa
de, de
alta, alta
tecnologia, tecnologia
espacial, espaci
é, é
teletransportado, teletransportado
de, de
um, um
outro, outro
planeta, planeta
para, para
a, a
Terra, terra
., .
Só, só
que, que
uma, uma
falha, falha
no, no
sistema, sistema
traz, traz
ao, ao
auditório, auditório
um, um
ser, ser
alienígena, alienígena
que, que
escapa, escapa
e, e
aterroriza, aterroriza
a, a
platéia, platéia
., .
Os, os
efeitos, efeito
foram, foram
criados, criado
por, por
George, georg
Lucas, luca
,, ,
diretor, diretor
de, de
`, `
`, `
Guerra, guerra
nas, na
Estrelas, estrela
'', ''
., .

, 

No, no
Epcot, epcot
Center, center
,, ,
o, o
parque, parqu
da, da
Disney, disney
onde, ond
o, o
futuro, futuro
e, e
a, a
tecnologia, tecnologia
são, são
as, as
grandes, grand
atrações, atraçõ
,, ,
a, a
novidade, novidad
é, é
o, o
brinquedo, brinquedo
`, `
`, `
Honey, honey
,, ,
I, i
Shrunk, shrunk
The, the
Audience, audienc
'', ''
(, (
Querida, querida
,, ,
Encolhi, encolhi
a, a
Platéia, platéia
), )
., .

, 

Enquanto, enquanto
um, um
filme, film
em, em
três, trê
dimensões, dimensõ
é, é
apresentado, apresentado
em, em
um, um
auditório, auditório
para, para
574, 574
pessoas, pessoa
,, ,
o, o
chão, chão
se, se
move, move
em, em
sincronia, sincronia
com, com
o, o
que, que
acontece, acontec
na, na
tela, tela
., .

, 

Nos, no
estúdios, estúdio
MGM-Disney, mgm-disney
,, ,
a, a
grande, grand
atração, atração
continua, continua
sendo, sendo
o, o
Hollywood, hollywood
Tower, tower
Hotel, hotel
,, ,
onde, ond
os, os
visitantes, visitant
despencam, despencam
treze, treze
andares, andar
dentro, dentro
de, de
um, um
elevador, elevador
., .

, 

O, o
passe, pass
de, de
um, um
dia, dia
para, para
o, o
Magic, magic
Kingdom, kingdom
,, ,
Epcot, epcot
Center, center
ou, ou
MGM-Disney, mgm-disney
Studios, studio
custa, custa
US$, us$
37, 37
., .
O, o
Blizzard, blizzard
Beach, beach
,, ,
US$, us$
22,50, 22,50
., .

, 

Um, um
passe, pass
de, de
quatro, quatro
dias, dia
para, para
todos, todo
os, os
parques, parqu
custa, custa
124, 124
(, (
US$, us$
97, 97
para, para
crianças, criança
), )
., .
Quem, quem
estiver, estiv
em, em
um, um
dos, do
resorts, resort
da, da
Disney, disney
pode, pode
aproveitar, aproveitar
os, os
brinquedos, brinquedo
dos, do
parques, parqu
a, a
partir, partir
das, da
9h, 9h
., .
Os, os
parques, parqu
só, só
abrem, abrem
`, `
`, `
oficialmente, oficialment
'', ''
às, às
10h, 10h
,, ,
mas, ma
abre, abr
antes, ant
para, para
os, os
hóspedes, hóspede
., .

, 

(, (
Francisco, francisco
Martins, martin
da, da
Costa, costa
), )

, 

