Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
como, como
era, era
previsível, previsível
,, ,
o, o
Palmeiras, palmeira
_, _
com, com
o, o
Edmundo, edmundo
,, ,
que, que
mais, mai
perdeu, perdeu
gols, gol
do, do
que, que
fez, fez
outra, outra
coisa, coisa
_, _
pulou, pulou
para, para
a, a
próxima, próxima
fase, fase
da, da
Libertadores, libertador
da, da
América, américa
., .

, 

Sei, sei
que, que
estou, estou
insistindo, insistindo
na, na
tecla, tecla
_, _
mas, ma
,, ,
às, às
vezes, veze
,, ,
é, é
preciso, preciso
exagerar, exagerar
em, em
uma, uma
verdade, verdad
para, para
que, que
ele, ele
se, se
torne, torn
cristalina, cristalina
_, _
mas, ma
o, o
Rivaldo, rivaldo
,, ,
o, o
destemido, destemido
,, ,
é, é
o, o
principal, princip
jogador, jogador
deste, dest
time, time
., .

, 

Na, na
sua, sua
disposição, disposição
de, de
jogo, jogo
e, e
em, em
seu, seu
futebol, futebol
moderno, moderno
,, ,
reside, resid
o, o
futuro, futuro
do, do
Palmeiras, palmeira
nas, na
competições, competiçõ
internacionais, internacionai
., .
Mesmo, mesmo
assim, assim
,, ,
o, o
Válber, válber
,, ,
ontem, ontem
,, ,
também, também
mereceu, mereceu
o, o
seu, seu
`, `
`, `
salve, salv
,, ,
salve, salv
'', ''
., .

, 

Se, se
o, o
Palmeiras, palmeira
,, ,
com, com
o, o
patrocínio, patrocínio
da, da
Parmalat, parmalat
,, ,
está, está
atrasando, atrasando
o, o
pagamento, pagamento
dos, do
jogadores, jogador
,, ,
o, o
que, que
será, será
do, do
resto, resto
?, ?

, 

A, a
chave, chave
para, para
se, se
resolver, resolv
a, a
crônica, crônica
questão, questão
do, do
calendário, calendário
futebolístico, futebolístico
no, no
Brasil, brasil
está, está
,, ,
como, como
lembra, lembra
bem, bem
o, o
Juca, juca
Kfouri, kfouri
,, ,
nos, no
campeonatos, campeonato
regionalizados, regionalizado
., .

, 

Mas, ma
esta, esta
não, não
é, é
uma, uma
questão, questão
que, que
depende, depend
apenas, apena
dos, do
cartolas, cartola
_, _
embora, embora
estes, est
,, ,
como, como
se, se
sabe, sabe
,, ,
não, não
abrirão, abrirão
mão, mão
dos, do
seus, seu
feudos, feudo
de, de
maneira, maneira
muito, muito
dócil, dócil
., .

, 

Trata-se, trata-s
também, também
de, de
uma, uma
questão, questão
cultural, cultur
_, _
e, e
até, até
política, política
., .
De, de
uma, uma
certa, certa
maneira, maneira
,, ,
o, o
Brasil, brasil
é, é
mesmo, mesmo
federativo, federativo
., .
Veja-se, veja-s
,, ,
por, por
exemplo, exemplo
,, ,
o, o
peso, peso
que, que
os, os
governadores, governador
estaduais, estaduai
jogam, jogam
na, na
política, política
nacional, nacion
., .

, 

O, o
flamenguista, flamenguista
Francisco, francisco
Cabral, cabral
,, ,
de, de
Jataí, jataí
(, (
GO, go
), )
,, ,
em, em
bem, bem
fundamentada, fundamentada
análise, anális
do, do
calendário, calendário
,, ,
propõe, propõ
uma, uma
ênfase, ênfase
no, no
campeonato, campeonato
nacional, nacion
,, ,
sem, sem
perder, perder
a, a
tradição, tradição
dos, do
campeonatos, campeonato
regionais, regionai
., .

, 

Segundo, segundo
ele, ele
,, ,
a, a
história, história
do, do
futebol, futebol
brasileiro, brasileiro
_, _
incluindo, incluindo
aí, aí
também, também
as, as
paixões, paixõ
clubísticas, clubística
,, ,
a, a
motivação, motivação
das, da
torcidas, torcida
_, _
é, é
essencialmente, essencialment
regional, region
., .

, 

E, e
,, ,
embora, embora
a, a
racionalidade, racionalidad
peça, peça
um, um
grande, grand
torneio, torneio
nacional, nacion
,, ,
esta, esta
mesma, mesma
racionalidade, racionalidad
não, não
poderia, poderia
desprezar, desprezar
a, a
manutenção, manutenção
de, de
um, um
espaço, espaço
para, para
os, os
disputadíssimos, disputadíssimo
torneios, torneio
regionais, regionai
., .

, 

A, a
era, era
da, da
televisão, televisão
,, ,
com, com
o, o
seu, seu
poder, poder
de, de
globalização, globalização
dos, do
eventos, evento
esportivos, esportivo
,, ,
favoreceria, favoreceria
,, ,
em, em
tese, tese
,, ,
a, a
`, `
`, `
nacionalização, nacionalização
'', ''
do, do
futebol, futebol
no, no
Brasil, brasil
., .

, 

Mas, ma
,, ,
como, como
este, est
mundo, mundo
louco, louco
está, está
mostrando, mostrando
,, ,
a, a
globalização, globalização
não, não
é, é
incompatível, incompatível
com, com
o, o
processo, processo
de, de
`, `
`, `
volta, volta
às, às
tribos, tribo
'', ''
,, ,
como, como
diz, diz
o, o
escritor, escritor
e, e
boleiro, boleiro
hispano-peruano, hispano-peruano
Vargas, varga
Llosa, llosa
., .

, 

Portanto, portanto
,, ,
mesmo, mesmo
um, um
campeonato, campeonato
nacional, nacion
amplamente, amplament
difundido, difundido
pela, pela
televisão, televisão
talvez, talvez
não, não
eliminasse, eliminass
o, o
fogo, fogo
das, da
paixões, paixõ
regionais, regionai
_, _
que, que
já, já
é, é
muito, muito
forte, fort
no, no
tradicionalíssimo, tradicionalíssimo
futebol, futebol
brasileiro, brasileiro
., .

, 

Estamos, estamo
,, ,
pois, poi
,, ,
discutindo, discutindo
o, o
cerne, cern
da, da
questão, questão
:, :
como, como
racionalizar, racionalizar
e, e
nacionalizar, nacionalizar
o, o
calendário, calendário
futebolístico, futebolístico
brasileiro, brasileiro
sem, sem
quebrar, quebrar
uma, uma
bela, bela
e, e
sólida, sólida
tradição, tradição
?, ?

, 

O, o
debate, debat
está, está
aberto, aberto
., .

, 

De, de
Goiás, goiá
,, ,
vamos, vamo
rolar, rolar
a, a
bola, bola
para, para
Santa, santa
Catarina, catarina
., .
O, o
Mario, mario
Raul, raul
Zanella, zanella
sugere, suger
aos, ao
craques, craqu
Ruy, ruy
Castro, castro
(, (
que, que
está, está
terminando, terminando
o, o
seu, seu
Garrincha, garrincha
), )
e, e
Fernando, fernando
Morais, morai
a, a
biografia, biografia
do, do
Friedenreich, friedenreich
., .

, 

Ele, ele
lembra, lembra
suas, sua
lendas, lenda
:, :
potência, potência
no, no
chute, chute
,, ,
dribles, dribl
,, ,
número, número
de, de
gols, gol
(, (
2.000, 2.000
?, ?
), )
,, ,
infalibilidade, infalibilidad
nos, no
pênaltis, pênalti
(, (
300, 300
?, ?
), )
., .

, 

Peço, peço
licença, licença
ao, ao
Zanella, zanella
para, para
estender, estend
a, a
sugestão, sugestão
ao, ao
torcedor, torcedor
da, da
lusa, lusa
Jorge, jorg
Caldeira, caldeira
,, ,
que, que
também, também
marcou, marcou
o, o
seu, seu
golaço, golaço
com, com
a, a
biografia, biografia
do, do
Mauá, mauá
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado

, 

