Os, ﻿o
números, número
oficiais, oficiai
,, ,
tanto, tanto
de, de
Pelé, pelé
quanto, quanto
do, do
Santos, santo
Futebol, futebol
Clube, clube
,, ,
foram, foram
levantados, levantado
e, e
filtrados, filtrado
pelo, pelo
jornalista, jornalista
De, de
Vaney, vaney
,, ,
que, que
trabalhava, trabalhava
em, em
Santos, santo
., .

, 

De, de
Vaney, vaney
,, ,
já, já
morto, morto
,, ,
era, era
fanático, fanático
por, por
números, número
., .

, 

O, o
jornalista, jornalista
contou, contou
à, à
Folha, folha
,, ,
no, no
dia, dia
18, 18
de, de
outubro, outubro
de, de
1969, 1969
,, ,
que, que
os, os
jogos, jogo
da, da
carreira, carreira
de, de
Pelé, pelé
foram, foram
relacionados, relacionado
com, com
a, a
ajuda, ajuda
de, de
dois, doi
amigos, amigo
,, ,
com, com
quem, quem
cruzava, cruzava
as, as
dúvidas, dúvida
que, que
apareciam, apareciam
no, no
trabalho, trabalho
., .

, 

`, `
`, `
Acompanhei, acompanhei
Pelé, pelé
desde, desd
seu, seu
primeiro, primeiro
treino, treino
no, no
Santos, santo
'', ''
,, ,
disse, diss
., .

, 

Não, não
se, se
sabe, sabe
,, ,
ao, ao
certo, certo
,, ,
quais, quai
fontes, font
o, o
jornalista, jornalista
utilizou, utiliz
em, em
seus, seu
levantamentos, levantamento
., .
Só, só
são, são
conhecidos, conhecido
os, os
critérios, critério
que, que
adotou, adot
., .

, 

De, de
Vaney, vaney
não, não
computou, comput
23, 23
partidas, partida
que, que
a, a
seleção, seleção
brasileira, brasileira
fez, fez
contra, contra
clubes, clube
_, _
nesses, ness
jogos-treino, jogos-treino
,, ,
Pelé, pelé
anotou, anot
19, 19
gols, gol
de, de
um, um
total, total
de, de
88, 88
da, da
seleção, seleção
., .

, 

Mas, ma
incluiu, incluiu
os, os
15, 15
gols, gol
marcados, marcado
por, por
Pelé, pelé
em, em
jogos, jogo
do, do
Exército, exército
., .

, 

Seu, seu
levantamento, levantamento
conseguiu, conseguiu
evitar, evitar
falhas, falha
que, que
podem, podem
ser, ser
verificadas, verificada
em, em
jornais, jornai
da, da
época, época
_, _
os, os
textos, texto
eram, eram
escritos, escrito
com, com
base, base
em, em
precárias, precária
transmissões, transmissõ
de, de
rádio, rádio
,, ,
facilitando, facilitando
a, a
ocorrência, ocorrência
de, de
erros, erro
., .

, 

No, no
dia, dia
25, 25
de, de
julho, julho
de, de
1965, 1965
,, ,
por, por
exemplo, exemplo
,, ,
o, o
Santos, santo
enfrentou, enfrent
o, o
CRB, crb
,, ,
em, em
Maceió, maceió
., .
Jornais, jornai
de, de
São, são
Paulo, paulo
são, são
conflitantes, conflitant
quanto, quanto
aos, ao
gols, gol
marcados, marcado
por, por
Pelé, pelé
_, _
uns, un
disseram, disseram
três, trê
;, ;
outros, outro
,, ,
quatro, quatro
., .

, 

Um, um
jornal, jornal
descreve, descrev
três, trê
gols, gol
de, de
Pelé, pelé
e, e
outro, outro
de, de
Abel, abel
., .
Informa, informa
um, um
placar, placar
final, final
de, de
4, 4
x, x
0, 0
., .

, 

Nos, no
números, número
de, de
De, de
Vaney, vaney
,, ,
Pelé, pelé
fez, fez
apenas, apena
dois, doi
gols, gol
., .
A, a
Folha, folha
pôde, pôde
confirmar, confirmar
que, que
sua, sua
versão, versão
é, é
a, a
mesma, mesma
dos, do
jornais, jornai
`, `
`, `
Gazeta, gazeta
de, de
Alagoas, alagoa
'', ''
e, e
`, `
`, `
Jornal, jornal
de, de
Alagoas, alagoa
'', ''
., .

, 

Até, até
a, a
súmula, súmula
do, do
Santos, santo
estava, estava
errada, errada
., .
Citava, citava
originalmente, originalment
quatro, quatro
gols, gol
de, de
Pelé, pelé
., .
Posteriormente, posteriorment
,, ,
foi, foi
alterada, alterada
,, ,
a, a
lápis, lápi
,, ,
para, para
dois, doi
gols, gol
de, de
Pelé, pelé
e, e
dois, doi
de, de
Coutinho, coutinho
., .

, 

