A, ﻿a
média, média
de, de
público, público
do, do
último, último
Campeonato, campeonato
de, de
Futebol, futebol
do, do
Rio, rio
de, de
Janeiro, janeiro
não, não
chegou, chegou
a, a
5.000, 5.000
pagantes, pagant
,, ,
a, a
mais, mai
baixa, baixa
desde, desd
a, a
construção, construção
do, do
Maracanã, maracanã
., .
Apenas, apena
um, um
time, time
carioca, carioca
,, ,
o, o
Flamengo, flamengo
,, ,
se, se
incluiu, incluiu
entre, entr
os, os
oito, oito
primeiros, primeiro
colocados, colocado
do, do
Campeonato, campeonato
Brasileiro, brasileiro
., .
Da, da
lista, lista
original, origin
de, de
22, 22
convocados, convocado
por, por
Carlos, carlo
Alberto, alberto
Parreira, parreira
para, para
as, as
eliminatórias, eliminatória
da, da
Copa, copa
do, do
Mundo, mundo
,, ,
não, não
constava, constava
nem, nem
sequer, sequer
um, um
nome, nome
de, de
jogador, jogador
em, em
atividade, atividad
no, no
futebol, futebol
do, do
Rio, rio
,, ,
um, um
fato, fato
inédito, inédito
., .
Tais, tai
dados, dado
–, –
somados, somado
ao, ao
detalhe, detalh
de, de
que, que
três, trê
dos, do
maiores, maior
clubes, clube
da, da
cidade, cidad
(, (
Botafogo, botafogo
,, ,
Flamengo, flamengo
e, e
Fluminense, fluminens
), )
chegam, chegam
ao, ao
fim, fim
do, do
ano, ano
com, com
dívidas, dívida
,, ,
enquanto, enquanto
o, o
quarto, quarto
(, (
Vasco, vasco
), )
conseguiu, conseguiu
apenas, apena
equilibrar, equilibrar
suas, sua
finanças, finança
–, –
reforça, reforça
a, a
crença, crença
de, de
que, que
o, o
futebol, futebol
carioca, carioca
vive, vive
uma, uma
fase, fase
crítica, crítica
., .

, 

", "
Não, não
há, há
como, como
negar, negar
", "
,, ,
ratifica, ratifica
Arnaldo, arnaldo
Santiago, santiago
,, ,
presidente, president
do, do
Fluminense, fluminens
,, ,
outrora, outrora
o, o
clube, clube
modelo, modelo
de, de
organização, organização
,, ,
prestígio, prestígio
e, e
estabilidade, estabilidad
econômica, econômica
., .
", "
Mas, ma
não, não
se, se
pode, pode
negar, negar
,, ,
também, também
,, ,
que, que
ao, ao
lado, lado
da, da
crise, crise
há, há
caminhos, caminho
para, para
sair, sair
dela, dela
., .
", "

, 

O, o
principal, princip
desses, dess
caminhos, caminho
seria, seria
a, a
Liga, liga
Carioca, carioca
de, de
Futebol, futebol
fundada, fundada
no, no
último, último
dia, dia
15, 15
de, de
novembro, novembro
por, por
Botafogo, botafogo
,, ,
Flamengo, flamengo
e, e
Fluminense, fluminens
,, ,
com, com
base, base
na, na
Lei, lei
Zico, zico
,, ,
revista, revista
pelo, pelo
deputado, deputado
Arthur, arthur
da, da
Távola, távola
(, (
PSDB-RJ, psdb-rj
), )
., .
Com, com
ela, ela
,, ,
acreditam, acreditam
os, os
três, trê
clubes, clube
que, que
pelo, pelo
menos, meno
o, o
decadente, decadent
campeonato, campeonato
estadual, estadu
defendido, defendido
pela, pela
Federação, federação
de, de
Futebol, futebol
do, do
Rio, rio
de, de
Janeiro, janeiro
,, ,
mais, mai
precisamente, precisament
por, por
seu, seu
presidente, president
,, ,
Eduardo, eduardo
Viana, viana
,, ,
está, está
com, com
os, os
dias, dia
contados, contado
., .
Mesmo, mesmo
assim, assim
,, ,
os, os
integrantes, integrant
da, da
nova, nova
associação, associação
admitem, admitem
disputar, disputar
o, o
estadual, estadu
caso, caso
a, a
CBF, cbf
não, não
reconheça, reconheça
a, a
Liga, liga
até, até
31, 31
de, de
janeiro, janeiro
,, ,
data, data
do, do
início, início
do, do
estadual, estadu
., .

, 

", "
Acredito, acredito
que, que
um, um
Campeonato, campeonato
Carioca, carioca
em, em
novos, novo
moldes, mold
seja, seja
a, a
salvação, salvação
dos, do
grandes, grand
clubes, clube
", "
,, ,
diz, diz
o, o
presidente, president
do, do
Flamengo, flamengo
,, ,
Luís, luí
Augusto, augusto
Veloso, veloso
,, ,
mergulhado, mergulhado
em, em
dívidas, dívida
que, que
já, já
chegam, chegam
aos, ao
US$, us$
6, 6
milhões, milhõ
., .
", "
E, e
por, por
que, que
não, não
um, um
campeonato, campeonato
com, com
os, os
melhores, melhor
times, time
do, do
Rio, rio
e, e
Minas, mina
?, ?
Já, já
está, está
provado, provado
que, que
,, ,
para, para
os, os
clubes, clube
cariocas, carioca
,, ,
que, que
têm, têm
torcedores, torcedor
em, em
todo, todo
o, o
Brasil, brasil
,, ,
competições, competiçõ
de, de
caráter, caráter
nacional, nacion
são, são
mais, mai
interessantes, interessant
do, do
que, que
as, as
regionais, regionai
., .
", "
Em, em
contrapartida, contrapartida
,, ,
mineiros, mineiro
e, e
baianos, baiano
já, já
descartaram, descartaram
a, a
possibilidade, possibilidad
., .

, 

O, o
presidente, president
do, do
Botafogo, botafogo
,, ,
Mauro, mauro
Ney, ney
Palmeiro, palmeiro
,, ,
chega, chega
ao, ao
fim, fim
de, de
seu, seu
mandato, mandato
com, com
dívidas, dívida
,, ,
mas, ma
orgulhoso, orgulhoso
:, :
encontrou, encontr
seu, seu
clube, clube
em, em
situação, situação
dramática, dramática
e, e
passa-o, passa-o
ao, ao
seu, seu
sucessor, sucessor
de, de
forma, forma
ao, ao
menos, meno
administrável, administrável
., .
", "
Com, com
a, a
Liga, liga
,, ,
vamos, vamo
sair, sair
do, do
abismo, abismo
., .
", "

, 

Do, do
outro, outro
lado, lado
da, da
história, história
está, está
o, o
Vasco, vasco
da, da
Gama, gama
,, ,
cujos, cujo
dirigentes, dirigent
não, não
só, só
se, se
opõem, opõem
à, à
criação, criação
da, da
Liga, liga
como, como
estão, estão
dispostos, disposto
a, a
tudo, tudo
para, para
derrubá-la, derrubá-la
., .
Por, por
exemplo, exemplo
:, :
a, a
mais, mai
recente, recent
(, (
e, e
importante, important
), )
adesão, adesão
à, à
nova, nova
entidade, entidad
aconteceu, aconteceu
no, no
último, último
dia, dia
13, 13
,, ,
quando, quando
Carlos, carlo
Augusto, augusto
Montenegro, montenegro
,, ,
sucessor, sucessor
de, de
Palmeiro, palmeiro
,, ,
pôs, pô
fim, fim
às, às
especulações, especulaçõ
sobre, sobr
o, o
possível, possível
recuo, recuo
do, do
Botafogo, botafogo
:, :
", "
Quero, quero
deixar, deixar
claro, claro
,, ,
nesta, nesta
reunião, reunião
(, (
da, da
Liga, liga
), )
,, ,
que, que
o, o
Botafogo, botafogo
se, se
junta, junta
a, a
Flamengo, flamengo
e, e
Fluminense, fluminens
na, na
luta, luta
pela, pela
salvação, salvação
do, do
futebol, futebol
", "
., .

, 

Montenegro, montenegro
não, não
escondeu, escondeu
o, o
motivo, motivo
que, que
o, o
fizera, fizera
decidir-se, decidir-s
:, :
um, um
emissário, emissário
da, da
Federação, federação
o, o
teria, teria
procurara, procurara
com, com
três, trê
promessas, promessa
em, em
troca, troca
das, da
quais, quai
o, o
Botafogo, botafogo
teria, teria
de, de
romper, romper
com, com
a, a
Liga, liga
:, :
uma, uma
tabela, tabela
favorável, favorável
no, no
próximo, próximo
campeonato, campeonato
estadual, estadu
,, ,
o, o
lugar, lugar
do, do
Fluminense, fluminens
na, na
Copa, copa
do, do
Brasil, brasil
do, do
ano, ano
que, que
vem, vem
e, e
", "
arbitragens, arbitragen
camaradas, camarada
", "
daqui, daqui
por, por
diante, diant
., .
Indignado, indignado
,, ,
Montenegro, montenegro
aderiu, aderiu
à, à
Liga, liga
., .

, 

A, a
última, última
promessa, promessa
foi, foi
apenas, apena
o, o
estopim, estopim
do, do
escândalo, escândalo
que, que
acabou, acab
transformado, transformado
em, em
CPI, cpi
:, :
três, trê
árbitros, árbitro
denunciaram, denunciaram
um, um
esquema, esquema
bancado, bancado
pela, pela
própria, própria
Federação, federação
para, para
forjar, forjar
resultados, resultado
., .
Na, na
história, história
do, do
futebol, futebol
,, ,
uma, uma
triste, trist
novidade, novidad
., .

, 

