A, ﻿a
derrota, derrota
por, por
4, 4
a, a
3, 3
para, para
o, o
Fluminense, fluminens
anteontem, anteontem
aprofundou, aprofund
a, a
crise, crise
no, no
Flamengo, flamengo
., .

, 

O, o
presidente, president
do, do
clube, clube
,, ,
Kleber, kleber
Leite, leit
,, ,
quer, quer
que, que
o, o
técnico, técnico
Wanderley, wanderley
Luxemburgo, luxemburgo
escale, escal
jogadores, jogador
juniores, junior
(, (
até, até
19, 19
anos, ano
), )
para, para
melhorar, melhorar
a, a
equipe, equip
adulta, adulta
., .

, 

Com, com
11, 11
pontos, ponto
,, ,
o, o
Flamengo, flamengo
está, está
em, em
quarto, quarto
lugar, lugar
entre, entr
os, os
oito, oito
participantes, participant
da, da
fase, fase
final, final
do, do
Campeonato, campeonato
Estadual, estadu
., .

, 

Seu, seu
próximo, próximo
jogo, jogo
será, será
domingo, domingo
,, ,
contra, contra
o, o
Vasco, vasco
,, ,
no, no
Maracanã, maracanã
., .

, 

`, `
`, `
Wanderley, wanderley
tem, tem
que, que
fazer, fazer
isso, isso
,, ,
não, não
há, há
por, por
que, que
não, não
fazer, fazer
'', ''
,, ,
afirmou, afirm
Kleber, kleber
,, ,
ontem, ontem
à, à
Folha, folha
., .

, 

`, `
`, `
É, é
inaceitável, inaceitável
sofrermos, sofrermo
seis, sei
gols, gol
do, do
Volta, volta
Redonda, redonda
em, em
dois, doi
jogos, jogo
,, ,
quatro, quatro
do, do
Bangu, bangu
em, em
duas, dua
partidas, partida
e, e
quatro, quatro
do, do
Fluminense, fluminens
em, em
apenas, apena
uma, uma
., .
'', ''

, 

O, o
dirigente, dirigent
citou, citou
o, o
nome, nome
dos, do
juniores, junior
que, que
julga, julga
indicados, indicado
para, para
reforçar, reforçar
o, o
time, time
,, ,
na, na
defesa, defesa
e, e
no, no
meio-de-campo, meio-de-campo
:, :
Fabiano, fabiano
,, ,
Leonardo, leonardo
e, e
Hebert, hebert
_, _
os, os
dois, doi
primeiros, primeiro
,, ,
integrantes, integrant
da, da
seleção, seleção
brasileira, brasileira
de, de
juniores, junior
vice-campeã, vice-campeã
mundial, mundial
., .

, 

`, `
`, `
Já, já
que, que
o, o
regulamento, regulamento
não, não
permite, permit
novas, nova
inscrições, inscriçõ
de, de
jogadores, jogador
adultos, adulto
agora, agora
,, ,
temos, temo
que, que
ousar, ousar
e, e
ter, ter
criatividade, criatividad
com, com
os, os
juniores, junior
., .
'', ''

, 

Kleber, kleber
Leite, leit
acha, acha
que, que
a, a
sua, sua
opinião, opinião
não, não
interfere, interfer
na, na
esfera, esfera
de, de
poder, poder
do, do
treinador, treinador
., .

, 

`, `
`, `
Ele, ele
tem, tem
respaldo, respaldo
