O, ﻿o
processo, processo
do, do
Superior, superior
Tribunal, tribun
de, de
Justiça, justiça
Desportiva, desportiva
contra, contra
Edmundo, edmundo
,, ,
pelas, pela
ofensas, ofensa
do, do
jogador, jogador
,, ,
foi, foi
arquivado, arquivado
ontem, ontem
., .

, 

Isso, isso
aconteceu, aconteceu
depois, depoi
de, de
lido, lido
o, o
pedido, pedido
de, de
desculpas, desculpa
do, do
atacante, atacant
do, do
Palmeiras, palmeira
., .

, 

Nele, nele
,, ,
o, o
jogador, jogador
se, se
diz, diz
`, `
`, `
profundamente, profundament
arrependido, arrependido
'', ''
das, da
palavras, palavra
que, que
usou, usou
., .

, 

Ele, ele
pediu, pediu
desculpas, desculpa
`, `
`, `
do, do
fundo, fundo
do, do
coração, coração
'', ''
e, e
disse, diss
que, que
estava, estava
`, `
`, `
privado, privado
da, da
razão, razão
'', ''
quando, quando
pronunciou, pronunci
as, as
ofensas, ofensa
., .

, 

Edmundo, edmundo
havia, havia
chamado, chamado
o, o
presidente, president
do, do
STJD, stjd
,, ,
Luís, luí
Zveiter, zveiter
,, ,
de, de
`, `
`, `
incompetente, incompetent
'', ''
e, e
afirmado, afirmado
que, que
o, o
tribunal, tribun
manipulava, manipulava
resultados, resultado
., .

, 

A, a
ausência, ausência
de, de
um, um
juiz, juiz
adiou, adiou
para, para
a, a
próxima, próxima
quinta, quinta
a, a
votação, votação
da, da
revisão, revisão
da, da
pena, pena
de, de
um, um
dia, dia
e, e
quatro, quatro
jogos, jogo
de, de
Edmundo, edmundo
,, ,
a, a
parte, part
não, não
cumprida, cumprida
da, da
suspensão, suspensão
de, de
40, 40
dias, dia
e, e
4, 4
jogos, jogo
que, que
recebeu, recebeu
., .

, 

