Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
se, se
o, o
Milan, milan
,, ,
quarto, quarto
colocado, colocado
no, no
Campeonato, campeonato
Italiano, italiano
,, ,
vencer, vencer
amanhã, amanhã
o, o
campeão, campeão
holandês, holandê
Ajax, ajax
,, ,
de, de
Amsterdã, amsterdã
,, ,
pela, pela
Copa, copa
dos, do
Campeões, campeõ
da, da
Europa, europa
,, ,
a, a
festa, festa
do, do
futebol, futebol
da, da
Bota, bota
será, será
completa, completa
., .

, 

Ou, ou
seja, seja
,, ,
os, os
três, trê
mais, mai
importantes, important
times, time
da, da
atualidade, atualidad
na, na
Itália, itália
,, ,
a, a
Juventus, juventu
,, ,
de, de
Turim, turim
,, ,
o, o
Parma, parma
,, ,
de, de
Parma, parma
,, ,
e, e
o, o
Milan, milan
,, ,
de, de
Milão, milão
,, ,
contentarão, contentarão
sobejamente, sobejament
as, as
suas, sua
respectivas, respectiva
torcidas, torcida
., .

, 

(, (
Falo, falo
nos, no
três, trê
porque, porqu
a, a
Inter, inter
,, ,
de, de
Milão, milão
,, ,
que, que
ganhou, ganhou
a, a
Copa, copa
da, da
Uefa, uefa
no, no
ano, ano
passado, passado
,, ,
não, não
conseguiu, conseguiu
se, se
acertar, acertar
nesta, nesta
temporada, temporada
de, de
1994/95, 1994/95
), )
., .

, 

Três, trê
grandes, grand
títulos, título
democraticamente, democraticament
divididos, dividido
entre, entr
três, trê
cidades, cidad
diferentes, diferent
,, ,
alegrando, alegrando
três, trê
grandes, grand
torcidas, torcida
., .
Caso, caso
isto, isto
se, se
realize, realiz
,, ,
o, o
futebol, futebol
italiano, italiano
dará, dará
uma, uma
imensa, imensa
demonstração, demonstração
de, de
força, força
., .

, 

Agora, agora
,, ,
tudo, tudo
isto, isto
depende, depend
só, só
de, de
uma, uma
`, `
`, `
coisinha, coisinha
'', ''
:, :
do, do
Ajax, ajax
aceitar, aceitar
este, est
cenário, cenário
., .

, 

Com, com
a, a
decisão, decisão
da, da
Justiça, justiça
italiana, italiana
em, em
processar, processar
o, o
presidente, president
do, do
Milan, milan
,, ,
Silvio, silvio
Berlusconi, berlusconi
,, ,
o, o
time, time
partiu, partiu
de, de
cabeça, cabeça
baixa, baixa
para, para
Viena, viena
., .
Na, na
terra, terra
do, do
Freud, freud
,, ,
Capello, capello
terá, terá
que, que
trabalhar, trabalhar
bem, bem
a, a
alma, alma
do, do
time, time
., .

, 

Por, por
falar, falar
em, em
Berlusconi, berlusconi
,, ,
o, o
pensador, pensador
Noberto, noberto
Bobbio, bobbio
,, ,
na, na
Feira, feira
do, do
Livro, livro
de, de
Turim, turim
,, ,
insinuou, insinu
que, que
a, a
sua, sua
personalidade, personalidad
é, é
parecida, parecida
com, com
a, a
de, de
..., ...
Benito, benito
Mussolini, mussolini
., .

, 

Um, um
jogador, jogador
tinha, tinha
um, um
sorriso, sorriso
triste, trist
nas, na
comemorações, comemoraçõ
do, do
título, título
da, da
Juve, juve
,, ,
no, no
domingo, domingo
,, ,
aos, ao
pés, pé
dos, do
Alpes, alp
italianos, italiano
., .

, 

Roberto, roberto
Baggio, baggio
., .
A, a
imprensa, imprensa
foi, foi
unânime, unânim
em, em
destacar, destacar
a, a
sua, sua
quase, quas
melancolia, melancolia
diante, diant
do, do
`, `
`, `
scudetto, scudetto
'', ''
que, que
fazia, fazia
falta, falta
a, a
sua, sua
carreira, carreira
de, de
muita, muita
fama, fama
e, e
pouco, pouco
troféu, troféu
., .

, 

Toda, toda
a, a
mídia, mídia
italiana, italiana
está, está
interpretando, interpretando
os, os
olhos, olho
tristes, trist
de, de
Baggio, baggio
como, como
um, um
sinal, sinal
de, de
adeus, adeu
às, às
cores, core
alvinegras, alvinegra
., .

, 

Adivinhe, adivinh
qual, qual
é, é
o, o
maior, maior
salário, salário
do, do
time, time
campeão, campeão
da, da
Vecchia, vecchia
Signora, signora
?, ?
O, o
do, do
Robybaggio, robybaggio
?, ?
Negativo, negativo
., .
O, o
do, do
Vialli, vialli
., .

, 

A, a
direção, direção
da, da
Juventus, juventu
não, não
anuncia, anuncia
nenhuma, nenhuma
contratação, contratação
grandiosa, grandiosa
,, ,
como, como
a, a
feita, feita
pelo, pelo
rival, rival
Milan, milan
(, (
contratou, contrat
o, o
Weah, weah
), )
., .

, 

Os, os
Agnelli, agnelli
,, ,
donos, dono
do, do
time, time
,, ,
dizem, dizem
que, que
adotarão, adotarão
o, o
modelo, modelo
do, do
Super-Ajax, super-ajax
,, ,
como, como
está, está
sendo, sendo
chamado, chamado
na, na
Europa, europa
o, o
time, time
holandês, holandê
:, :
investimento, investimento
maior, maior
nos, no
jogadores, jogador
criados, criado
dentro, dentro
de, de
casa, casa
., .

, 

São, são
Paulo, paulo
e, e
Guarani, guarani
fazem, fazem
escola, escola
., .

, 

Pegou, pegou
mal, mal
novamente, novament
a, a
segunda, segunda
tentavia, tentavia
do, do
Vaticano, vaticano
em, em
condenar, condenar
o, o
futebol, futebol
aos, ao
domingos, domingo
na, na
Itália, itália
., .

, 

Com, com
este, est
marketing, market
,, ,
os, os
católicos, católico
não, não
irão, irão
muito, muito
longe, long
mesmo, mesmo
..., ...

, 

Antes, ant
do, do
jogo, jogo
de, de
domingo, domingo
,, ,
no, no
Delle, dell
Alpi, alpi
,, ,
o, o
locutor, locutor
do, do
estádio, estádio
avisou, avis
à, à
torcida, torcida
que, que
qualquer, qualquer
violência, violência
maior, maior
poderia, poderia
implicar, implicar
em, em
perda, perda
de, de
pontos, ponto
para, para
a, a
Juve, juve
., .

, 

Sábia, sábia
recomendação, recomendação
., .

, 

O, o
estádio, estádio
Delle, dell
Alpi, alpi
é, é
uma, uma
bela, bela
construção, construção
por, por
fora, fora
,, ,
mas, ma
péssimo, péssimo
para, para
se, se
ver, ver
o, o
jogo, jogo
., .
Esta, esta
é, é
a, a
conclusão, conclusão
do, do
taxista, taxista
que, que
levava, levava
o, o
Rogério, rogério
Fasano, fasano
e, e
eu, eu
ao, ao
jogo, jogo
., .

, 

Ele, ele
arrematou, arremat
:, :
quando, quando
eu, eu
quero, quero
ver, ver
belas, bela
construções, construçõ
eu, eu
vou, vou
à, à
praça, praça
de, de
San, san
Carlo, carlo
,, ,
não, não
a, a
um, um
campo, campo
de, de
futebol, futebol
., .

, 

A, a
Itália, itália
é, é
uma, uma
alegria, alegria
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
viaja, viaja
a, a
convite, convit
da, da
Alfa, alfa
Romeo, romeo

, 

