A, ﻿a
diretoria, diretoria
do, do
Palmeiras, palmeira
prometeu, prometeu
,, ,
mas, ma
ainda, ainda
não, não
pagou, pagou
os, os
prêmios, prêmio
atrasados, atrasado
aos, ao
jogadores, jogador
da, da
equipe, equip
., .
O, o
resultado, resultado
é, é
uma, uma
revolta, revolta
generalizada, generalizada
no, no
elenco, elenco
., .

, 

Apenas, apena
as, as
`, `
`, `
luvas, luva
'', ''
(, (
gratificação, gratificação
recebida, recebida
pelo, pelo
jogador, jogador
quando, quando
este, est
renova, renova
seu, seu
contrato, contrato
), )
do, do
lateral, later
Roberto, roberto
Carlos, carlo
foram, foram
pagas, paga
ontem, ontem
,, ,
cerca, cerca
de, de
R$, r$
21, 21
mil, mil
., .

, 

`, `
`, `
Ainda, ainda
faltam, faltam
os, os
bichos, bicho
(, (
prêmios, prêmio
por, por
resultado, resultado
), )
referentes, referent
ao, ao
final, final
de, de
março, março
e, e
abril, abril
e, e
o, o
prêmio, prêmio
pela, pela
classificação, classificação
na, na
primeira, primeira
fase, fase
da, da
Libertadores, libertador
'', ''
,, ,
disse, diss
o, o
zagueiro, zagueiro
Antônio, antônio
Carlos, carlo
,, ,
capitão, capitão
do, do
time, time
,, ,
e, e
representante, representant
dos, do
jogadores, jogador
nas, na
negociações, negociaçõ
com, com
a, a
diretoria, diretoria
., .

, 

O, o
prêmio, prêmio
da, da
vitória, vitória
sobre, sobr
o, o
Bolívar, bolívar
e, e
a, a
consequente, consequent
classificação, classificação
para, para
as, as
quartas-de-final, quartas-de-fin
da, da
Taça, taça
Libertadores, libertador
também, também
não, não
foi, foi
pago, pago
., .

, 

`, `
`, `
Não, não
foi, foi
pago, pago
e, e
nem, nem
discutido, discutido
., .
Nós, nó
não, não
aceitamos, aceitamo
a, a
proposta, proposta
feita, feita
pelo, pelo
clube, clube
., .
É, é
muito, muito
baixa, baixa
'', ''
,, ,
justificou, justific
Antônio, antônio
Carlos, carlo
., .

, 

O, o
vice-presidente, vice-president
de, de
futebol, futebol
do, do
Palmeiras, palmeira
,, ,
Seraphim, seraphim
del, del
Grande, grand
,, ,
reconheceu, reconheceu
anteontem, anteontem
que, que
o, o
clube, clube
enfrenta, enfrenta
problemas, problema
financeiros, financeiro
., .

, 

Segundo, segundo
ele, ele
,, ,
as, as
arrecadações, arrecadaçõ
no, no
Paulista, paulista
são, são
baixas, baixa
e, e
o, o
clube, clube
é, é
obrigado, obrigado
a, a
recorrer, recorr
a, a
empréstimos, empréstimo
bancários, bancário
para, para
saldar, saldar
suas, sua
dívidas, dívida
., .

, 

`, `
`, `
Não, não
concordo, concordo
com, com
essa, essa
justificativa, justificativa
porque, porqu
os, os
próprios, próprio
dirigentes, dirigent
são, são
responsáveis, responsávei
por, por
isso, isso
., .
Foram, foram
eles, ele
que, que
planejaram, planejaram
o, o
campeonato, campeonato
'', ''
,, ,
disse, diss
Antônio, antônio
Carlos, carlo
., .

, 

`, `
`, `
O, o
Palmeiras, palmeira
tem, tem
muito, muito
dinheiro, dinheiro
,, ,
mas, ma
os, os
jogadores, jogador
estão, estão
em, em
último, último
plano, plano
'', ''
,, ,
disse, diss
Roberto, roberto
Carlos, carlo
., .

, 

Ontem, ontem
,, ,
os, os
dirigentes, dirigent
não, não
se, se
pronunciaram, pronunciaram
., .
Procurados, procurado
pela, pela
Folha, folha
,, ,
não, não
foram, foram
encontrados, encontrado
., .

, 

O, o
presidente, president
Mustafá, mustafá
Contursi, contursi
disse, diss
que, que
o, o
problema, problema
é, é
exclusivo, exclusivo
da, da
diretoria, diretoria
de, de
futebol, futebol
., .

, 

`, `
`, `
Minha, minha
posição, posição
é, é
desgastante, desgastant
., .
Os, os
colegas, colega
vivem, vivem
reclamando, reclamando
comigo, comigo
e, e
os, os
dirigentes, dirigent
não, não
me, me
respondem, respondem
., .
Esse, ess
atraso, atraso
atrapalha, atrapalha
nosso, nosso
desempenho, desempenho
e, e
gera, gera
um, um
clima, clima
ruim, ruim
'', ''
,, ,
afirmou, afirm
Antônio, antônio
Carlos, carlo
., .

, 

O, o
representante, representant
dos, do
jogadores, jogador
espera, espera
que, que
as, as
dívidas, dívida
`, `
`, `
sejam, sejam
sanadas, sanada
logo, logo
e, e
não, não
se, se
repitam, repitam
'', ''
., .

, 

