Os, ﻿o
principais, principai
nomes, nome
do, do
atletismo, atletismo
brasileiro, brasileiro
irão, irão
participar, participar
do, do
Meeting, meet
de, de
Atletismo, atletismo
,, ,
que, que
acontece, acontec
domingo, domingo
,, ,
na, na
pista, pista
do, do
Ibirapuera, ibirapuera
,, ,
em, em
São, são
Paulo, paulo
., .

, 

A, a
competição, competição
é, é
válida, válida
para, para
a, a
temporada, temporada
de, de
Grand, grand
Prix, prix
da, da
Federação, federação
Internacional, internacion
de, de
Atletismo, atletismo
Amador, amador
(, (
Iaaf, iaaf
), )
., .

, 

Nas, na
provas, prova
de, de
velocidade, velocidad
,, ,
Róbson, róbson
Caetano, caetano
,, ,
medalha, medalha
de, de
bronze, bronz
na, na
Olimpíada, olimpíada
de, de
Seul, seul
,, ,
em, em
88, 88
,, ,
é, é
um, um
dos, do
destaques, destaqu
., .

, 

Ele, ele
disputa, disputa
os, os
100, 100
e, e
200, 200
m., m.
Michael, michael
Johnson, johnson
,, ,
dos, do
EUA, eua
,, ,
é, é
seu, seu
principal, princip
adversário, adversário
nos, no
200, 200
m., m.

, 

Nos, no
400, 400
m, m
,, ,
Inaldo, inaldo
Sena, sena
,, ,
décimo, décimo
primeiro, primeiro
colocado, colocado
no, no
ranking, rank
mundial, mundial
em, em
94, 94
,, ,
corre, corr
pelo, pelo
Brasil, brasil
., .

, 

Eronildes, eronild
Araújo, araújo
,, ,
medalha, medalha
de, de
ouro, ouro
nos, no
Jogos, jogo
Pan-Americanos, pan-americano
de, de
Mar, mar
del, del
Plata, plata
,, ,
Argentina, argentina
,, ,
em, em
março, março
,, ,
disputa, disputa
os, os
400, 400
m, m
com, com
barreiras, barreira
., .

, 

Nos, no
800, 800
m, m
,, ,
os, os
favoritos, favorito
são, são
o, o
brasileiro, brasileiro
Zequinha, zequinha
Barbosa, barbosa
e, e
o, o
queniano, queniano
William, william
Tanui, tanui
., .

, 

Joaquim, joaquim
Cruz, cruz
,, ,
campeão, campeão
dos, do
800, 800
m, m
na, na
Olimpíada, olimpíada
de, de
Los, lo
Angeles-84, angeles-84
e, e
ouro, ouro
no, no
Pan, pan
de, de
Mar, mar
del, del
Plata, plata
nos, no
1.500, 1.500
m, m
,, ,
volta, volta
a, a
disputar, disputar
esta, esta
última, última
prova, prova
domingo, domingo
., .

, 

Ronaldo, ronaldo
Costa, costa
,, ,
vencedor, vencedor
da, da
última, última
São, são
Silvestre, silvestr
,, ,
confirmou, confirm
presença, presença
no, no
Meeting, meet
,, ,
na, na
corrida, corrida
de, de
3.000, 3.000
m., m.

, 

