Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
enquanto, enquanto
falta, falta
`, `
`, `
calcio, calcio
'', ''
financeiro, financeiro
ao, ao
`, `
`, `
calcio, calcio
'', ''
(, (
futebol, futebol
), )
italiano, italiano
,, ,
a, a
Juventus, juventu
,, ,
de, de
Turim, turim
,, ,
e, e
o, o
Parma, parma
,, ,
da, da
cidade, cidad
do, do
mesmo, mesmo
nome, nome
,, ,
polarizam, polarizam
as, as
atenções, atençõ
da, da
temporada, temporada
., .

, 

Os, os
dois, doi
times, time
têm, têm
uma, uma
série, série
de, de
cinco, cinco
confrontos, confronto
que, que
mais, mai
parece, parec
uma, uma
disputa, disputa
de, de
playoff, playoff
na, na
NBA, nba
., .

, 

Senão, senão
,, ,
vejamos, vejamo
_, _
como, como
diria, diria
aquele, aquel
cantor, cantor
negro, negro
americano, americano
., .
Amanhã, amanhã
,, ,
aqui, aqui
na, na
escala, escala
desta, desta
Milão, milão
cheia, cheia
de, de
gerânios, gerânio
e, e
papoulas, papoula
da, da
primavera, primavera
,, ,
Juve, juve
e, e
Parma, parma
jogam, jogam
a, a
partida, partida
de, de
volta, volta
da, da
Copa, copa
da, da
Uefa, uefa
., .

, 

Trata-se, trata-s
do, do
segundo, segundo
mais, mai
importante, important
título, título
europeu, europeu
interclubes, interclub
., .
No, no
primeiro, primeiro
jogo, jogo
,, ,
o, o
Parma, parma
venceu, venceu
por, por
1, 1
a, a
0, 0
., .
Leva, leva
vantagem, vantagem
neste, nest
confronto, confronto
que, que
será, será
realizado, realizado
no, no
estádio, estádio
de, de
San, san
Siro, siro
., .

, 

Os, os
ingressos, ingresso
já, já
se, se
esgotaram, esgotaram
antecipadamente, antecipadament
., .
A, a
previsão, previsão
é, é
de, de
um, um
maior, maior
número, número
de, de
torcedores, torcedor
alvinegros, alvinegro
porque, porqu
,, ,
mesmo, mesmo
jogando, jogando
em, em
Milão, milão
,, ,
a, a
Juventus, juventu
tem, tem
o, o
mando, mando
do, do
jogo, jogo
., .

, 

No, no
domingo, domingo
,, ,
os, os
dois, doi
times, time
voltam, voltam
a, a
se, se
enfrentar, enfrentar
em, em
mais, mai
uma, uma
partida, partida
decisiva, decisiva
no, no
Campeonato, campeonato
Italiano, italiano
de, de
94/95, 94/95
., .
Desta, desta
feita, feita
,, ,
será, será
na, na
casa, casa
da, da
Juve, juve
,, ,
em, em
Turim, turim
,, ,
e, e
a, a
Velha, velha
Senhora, senhora
leva, leva
a, a
vantagem, vantagem
., .

, 

Com, com
um, um
empate, empat
ela, ela
fica, fica
matematicamente, matematicament
com, com
o, o
título, título
., .
Mas, ma
,, ,
mesmo, mesmo
que, que
o, o
Parma, parma
ganhe, ganh
,, ,
a, a
diferença, diferença
de, de
pontos, ponto
é, é
tão, tão
grande, grand
a, a
favor, favor
da, da
Juve, juve
que, que
dificilmente, dificilment
o, o
`, `
`, `
scudetto, scudetto
'', ''
escapará, escapará
de, de
seus, seu
pés, pé
., .

, 

Depois, depoi
,, ,
nos, no
dias, dia
7, 7
e, e
11, 11
de, de
junho, junho
,, ,
os, os
dois, doi
times, time
voltam, voltam
a, a
se, se
enfrentar, enfrentar
em, em
partidas, partida
decisivas, decisiva
_, _
desta, desta
vez, vez
,, ,
para, para
escolher, escolh
qual, qual
deles, dele
ficará, ficará
com, com
a, a
Copa, copa
da, da
Itália, itália
., .

, 

E, e
,, ,
ufa, ufa
!, !
,, ,
no, no
dia, dia
23, 23
de, de
agosto, agosto
,, ,
entram, entram
em, em
campo, campo
novamente, novament
para, para
definir, definir
o, o
novo, novo
patrão, patrão
da, da
chamada, chamada
Supercopa, supercopa
Italiana, italiana
., .
Está, está
criada, criada
mais, mai
uma, uma
rivalidade, rivalidad
para, para
sempre, sempr
no, no
futebol, futebol
italiano, italiano
., .

, 

O, o
grande, grand
personagem, personagem
na, na
reta, reta
final, final
da, da
temporada, temporada
do, do
futebol, futebol
italiano, italiano
,, ,
além, além
da, da
crise, crise
financeira, financeira
,, ,
não, não
é, é
nenhuma, nenhuma
das, da
estrelas, estrela
dos, do
milionários, milionário
elencos, elenco
., .

, 

Ele, ele
chama-se, chama-s
Marcello, marcello
Lippi, lippi
,, ,
tem, tem
47, 47
anos, ano
e, e
é, é
um, um
típico, típico
homem, homem
de, de
Gênova, gênova
_, _
onde, ond
foi, foi
jogador, jogador
da, da
Sampdoria, sampdoria
., .

, 

Lippi, lippi
é, é
o, o
técnico, técnico
da, da
Juventus, juventu
e, e
apontado, apontado
como, como
o, o
principal, princip
responsável, responsável
pela, pela
volta, volta
do, do
`, `
`, `
scudetto, scudetto
'', ''
a, a
Turim, turim
,, ,
depois, depoi
de, de
uma, uma
longa, longa
hegemonia, hegemonia
milanesa, milanesa
., .

, 

Ele, ele
é, é
considerado, considerado
como, como
um, um
excelente, excelent
montador, montador
de, de
time, time
,, ,
isto, isto
é, é
,, ,
como, como
um, um
formatador, formatador
de, de
padrão, padrão
tático, tático
de, de
jogo, jogo
., .

, 

Alguns, algun
mais, mai
afoitos, afoito
já, já
comparam, comparam
a, a
Juve, juve
de, de
Lippi, lippi
ao, ao
glorioso, glorioso
Milan, milan
dos, do
tempos, tempo
de, de
Arrigo, arrigo
Sacchi, sacchi
(, (
taí, taí
um, um
bom, bom
paralelismo, paralelismo
para, para
o, o
Silvio, silvio
Lancellotti, lancellotti
estabelecer, estabelec
), )
., .

, 

O, o
próprio, próprio
Sacchi, sacchi
anda, anda
elogiando, elogiando
diplomaticamente, diplomaticament
o, o
trabalho, trabalho
de, de
Lippi, lippi
., .
Mas, ma
,, ,
mesmo, mesmo
na, na
Itália, itália
,, ,
é, é
bom, bom
ir, ir
devagar, devagar
com, com
o, o
andor, andor
porque, porqu
o, o
santo, santo
pode, pode
não, não
ser, ser
do, do
metal, metal
precioso, precioso
que, que
se, se
imagina, imagina
., .

, 

Lippi, lippi
,, ,
com, com
boa, boa
formação, formação
,, ,
genro, genro
de, de
um, um
ator, ator
muito, muito
conhecido, conhecido
em, em
Gênova, gênova
(, (
Gianni, gianni
Barabino, barabino
), )
,, ,
não, não
cai, cai
na, na
onda, onda
., .

, 

Diz, diz
que, que
,, ,
ainda, ainda
sem, sem
um, um
título, título
na, na
mão, mão
,, ,
não, não
se, se
pode, pode
celebrar, celebrar
nada, nada
., .

, 

Na, na
escala, escala
em, em
Londres, londr
,, ,
deu, deu
para, para
ver, ver
a, a
loucura, loucura
no, no
futebol, futebol
inglês, inglê
,, ,
com, com
o, o
Blackburn, blackburn
conquistando, conquistando
um, um
título, título
depois, depoi
de, de
80, 80
anos, ano
., .
Como, como
se, se
vê, vê
,, ,
a, a
Lusinha, lusinha
também, também
tem, tem
chances, chanc
este, est
ano, ano
., .
Ciao, ciao
., .

, 

PS, ps
:, :
a, a
Yoko, yoko
Ono, ono
está, está
aqui, aqui
no, no
hotel, hotel
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
visita, visita
a, a
Itália, itália
a, a
convite, convit
da, da
Alfa, alfa
Romeo, romeo

, 

