Rubens, ﻿ruben
Barrichello, barrichello
abandonou, abandon
o, o
GP, gp
de, de
Mônaco, mônaco
após, apó
60, 60
voltas, volta
com, com
problemas, problema
no, no
acelerador, acelerador
de, de
seu, seu
carro, carro
., .

, 

Ao, ao
contrário, contrário
do, do
que, que
havia, havia
acontecido, acontecido
há, há
duas, dua
semanas, semana
,, ,
em, em
Barcelona, barcelona
,, ,
desta, desta
vez, vez
o, o
dispositivo, dispositivo
estava, estava
acelerando, acelerando
o, o
carro, carro
., .

, 

`, `
`, `
Tive, tive
que, que
parar, parar
,, ,
pois, poi
não, não
conseguia, conseguia
mais, mai
manter, manter
o, o
controle, control
sobre, sobr
o, o
carro, carro
., .
Ficou, ficou
perigoso, perigoso
., .
'', ''

, 

Seu, seu
companheiro, companheiro
,, ,
Eddie, eddi
Irvine, irvin
,, ,
deixou, deixou
a, a
prova, prova
antes, ant
,, ,
no, no
22º, 22º
giro, giro
., .
Uma, uma
de, de
suas, sua
rodas, roda
quebrou, quebrou
,, ,
problema, problema
que, que
não, não
afetou, afet
o, o
brasileiro, brasileiro
por, por
pouco, pouco
,, ,
segundo, segundo
ele, ele
mesmo, mesmo
., .

, 

`, `
`, `
Se, se
fizesse, fizess
minha, minha
primeira, primeira
parada, parada
duas, dua
voltas, volta
depois, depoi
,, ,
acho, acho
que, que
ficava, ficava
sem, sem
as, as
rodas, roda
'', ''
,, ,
afirmou, afirm
., .

, 

Tantos, tanto
problemas, problema
levaram, levaram
Barrichello, barrichello
a, a
revelar, revelar
que, que
a, a
Jordan, jordan
passa, passa
por, por
um, um
momento, momento
delicado, delicado
., .
Eddie, eddi
Jordan, jordan
,, ,
proprietário, proprietário
do, do
time, time
,, ,
e, e
a, a
Peugeot, peugeot
vivem, vivem
um, um
conflito, conflito
., .

, 

`, `
`, `
A, a
falta, falta
de, de
resultados, resultado
está, está
fazendo, fazendo
que, que
um, um
lado, lado
pressione, pression
o, o
outro, outro
., .
Eddie, eddi
reclama, reclama
dos, do
motores, motor
e, e
os, os
franceses, frances
do, do
carro, carro
,, ,
que, que
também, também
não, não
é, é
bom, bom
'', ''
,, ,
disse, diss
., .

, 

O, o
exemplo, exemplo
mais, mai
gritante, gritant
da, da
falta, falta
de, de
sintonia, sintonia
dentro, dentro
da, da
equipe, equip
foi, foi
dado, dado
pelo, pelo
próprio, próprio
piloto, piloto
., .

, 

`, `
`, `
O, o
motor, motor
que, que
eu, eu
usei, usei
no, no
warm, warm
up, up
era, era
mais, mai
rápido, rápido
que, que
o, o
que, que
me, me
deram, deram
na, na
classificação, classificação
., .
E, e
eles, ele
não, não
sabiam, sabiam
o, o
por, por
quê, quê
'', ''
,, ,
contou, contou
., .

, 

Quanto, quanto
ao, ao
seu, seu
relacionamento, relacionamento
com, com
o, o
time, time
,, ,
o, o
piloto, piloto
negou, negou
estar, estar
tendo, tendo
problemas, problema
., .

, 

(, (
JHM, jhm
), )

, 

