Considerado, ﻿considerado
favorito, favorito
,, ,
o, o
Vasco, vasco
fez, fez
as, as
principais, principai
contratações, contrataçõ
do, do
ano, ano
para, para
obter, obter
uma, uma
conquista, conquista
inédita, inédita
em, em
sua, sua
história, história
,, ,
o, o
tricampeonato, tricampeonato
estadual, estadu
., .
Por, por
empréstimo, empréstimo
de, de
sete, sete
meses, mese
,, ,
pagou, pagou
US$, us$
500, 500
mil, mil
pelo, pelo
zagueiro, zagueiro
Ricardo, ricardo
Rocha, rocha
(, (
incluindo, incluindo
salários, salário
), )
,, ,
US$, us$
600, 600
mil, mil
pelo, pelo
meia, meia
Dener, dener
e, e
US$, us$
200, 200
mil, mil
pelo, pelo
volante, volant
Luisinho, luisinho
., .

, 

O, o
título, título
enfraqueceria, enfraqueceria
a, a
oposição, oposição
ao, ao
presidente, president
Antônio, antônio
Soares, soar
Calçada, calçada
,, ,
fortalecendo, fortalecendo
a, a
candidatura, candidatura
do, do
vice, vice
de, de
futebol, futebol
Eurico, eurico
Miranda, miranda
a, a
deputado, deputado
federal, feder
., .
O, o
time, time
empatou, empat
duas, dua
vezes, veze
este, est
ano, ano
com, com
a, a
equipe, equip
de, de
Maradona, maradona
,, ,
o, o
Newell, newel
's, 's
Old, old
Boys, boy
,, ,
na, na
Argentina, argentina
., .
(, (
MM, mm
), )

, 

