Rubens, ﻿ruben
Barrichello, barrichello
parece, parec
ter, ter
chegado, chegado
ao, ao
ápice, ápice
da, da
crise, crise
pessoal, pessoal
que, que
enfrenta, enfrenta
na, na
temporada, temporada
deste, dest
ano, ano
., .
E, e
,, ,
como, como
nunca, nunca
,, ,
espera, espera
uma, uma
boa, boa
participação, participação
no, no
GP, gp
da, da
Espanha, espanha
,, ,
hoje, hoje
,, ,
em, em
Barcelona, barcelona
., .

, 

O, o
piloto, piloto
vive, vive
situação, situação
singular, singular
na, na
equipe, equip
Jordan, jordan
., .
Foi, foi
6º, 6º
colocado, colocado
em, em
94, 94
e, e
deixou, deixou
a, a
de, de
ser, ser
obrigado, obrigado
a, a
trazer, trazer
patrocinadores, patrocinador
para, para
o, o
time, time
., .

, 

E, e
foi, foi
alçado, alçado
à, à
condição, condição
de, de
`, `
`, `
sucessor, sucessor
'', ''
de, de
Ayrton, ayrton
Senna, senna
,, ,
tricampeão, tricampeão
mundial, mundial
morto, morto
há, há
um, um
ano, ano
,, ,
tendo, tendo
apenas, apena
dois, doi
anos, ano
de, de
F-1, f-1
., .

, 

Com, com
a, a
abertura, abertura
da, da
temporada, temporada
,, ,
em, em
março, março
no, no
Brasil, brasil
,, ,
surgiu, surgiu
a, a
outra, outra
realidade, realidad
desse, dess
contexto, contexto
:, :
a, a
cobrança, cobrança
do, do
público, público
e, e
da, da
mídia, mídia
., .

, 

Parte, part
da, da
culpa, culpa
cabe, cabe
ao, ao
próprio, próprio
Barrichello, barrichello
que, que
,, ,
talvez, talvez
por, por
inexperiência, inexperiência
(, (
fará, fará
23, 23
anos, ano
dia, dia
23, 23
), )
,, ,
cultivou, cultiv
e, e
propagou, propag
demais, demai
a, a
esperança, esperança
na, na
parceria, parceria
entre, entr
a, a
Jordan, jordan
e, e
a, a
fábrica, fábrica
francesa, francesa
Peugeot, peugeot
., .

, 

Anteontem, anteontem
,, ,
depois, depoi
de, de
reclamar, reclamar
publicamente, publicament
do, do
desempenho, desempenho
de, de
seu, seu
carro, carro
,, ,
o, o
que, que
acabou, acab
gerando, gerando
uma, uma
crise, crise
no, no
time, time
irlandês, irlandê
,, ,
Barrichello, barrichello
falou, falou
sobre, sobr
o, o
assunto, assunto
., .

, 

`, `
`, `
Em, em
Imola, imola
,, ,
baixei, baixei
a, a
bola, bola
., .
Reconheço, reconheço
que, que
até, até
então, então
ela, ela
estava, estava
muito, muito
cheia, cheia
'', ''
,, ,
disse, diss
o, o
piloto, piloto
,, ,
para, para
justificar, justificar
,, ,
que, que
agora, agora
,, ,
o, o
problema, problema
está, está
mesmo, mesmo
no, no
carro, carro
., .

, 

(, (
JHM, jhm
), )

, 

LIGUE, ligu

, 

Ligue, ligu
a, a
partir, partir
das, da
13h, 13h
para, para
o, o
Folha, folha
Informações, informaçõ
Esporte, esport
,, ,
900-0316, 900-0316
,, ,
para, para
saber, saber
o, o
resultado, resultado
do, do
GP, gp
da, da
Espanha, espanha
de, de
Fórmula, fórmula
1, 1
., .
A, a
ligação, ligação
custa, custa
R$, r$
1,17, 1,17
por, por
minuto, minuto
e, e
o, o
serviço, serviço
funciona, funciona
em, em
todo, todo
o, o
Estado, estado
de, de
São, são
Paulo, paulo
., .

, 

