A, ﻿a
Copa, copa
Hopman, hopman
é, é
sempre, sempr
interessante, interessant
., .
É, é
um, um
torneio, torneio
festivo, festivo
,, ,
disputado, disputado
com, com
muita, muita
descontração, descontração
., .
Na, na
edição, edição
do, do
ano, ano
passado, passado
,, ,
a, a
Alemanha, alemanha
deu, deu
um, um
passeio, passeio
,, ,
vencendo, vencendo
fácil, fácil
com, com
a, a
charmosa, charmosa
dupla, dupla
Steffi, steffi
Graf, graf
e, e
Michael, michael
Stich, stich
., .

, 

Neste, nest
ano, ano
,, ,
a, a
principal, princip
atração, atração
passa, passa
a, a
ser, ser
uma, uma
inovação, inovação
tecnológica, tecnológica
,, ,
o, o
", "
juiz, juiz
eletrônico, eletrônico
", "
em, em
todas, toda
as, as
linhas, linha
da, da
quadra, quadra
., .
É, é
um, um
grande, grand
passo, passo
adiante, adiant
do, do
", "
sensor, sensor
de, de
solo, solo
", "
,, ,
um, um
sistema, sistema
eletrônico, eletrônico
mais, mai
simplório, simplório
usado, usado
desde, desd
1987, 1987
nas, na
quadras, quadra
centrais, centrai
de, de
alguns, algun
templos, templo
do, do
tênis, têni
mundial, mundial
,, ,
mas, ma
restrito, restrito
às, às
linhas, linha
de, de
serviço, serviço
–, –
o, o
que, que
ajuda, ajuda
muito, muito
em, em
saques, saqu
a, a
200, 200
km/h, km/h
., .

, 

O, o
novo, novo
sistema, sistema
tem, tem
dois, doi
desafios, desafio
., .
Um, um
deles, dele
,, ,
exclusivamente, exclusivament
técnico, técnico
,, ,
é, é
demonstrar, demonstrar
eficiência, eficiência
nos, no
testes, test
de, de
campo, campo
., .
O, o
outro, outro
desafio, desafio
é, é
mais, mai
complicado, complicado
:, :
a, a
desconfiança, desconfiança
de, de
jogadores, jogador
e, e
público, público
., .

, 

É, é
pena, pena
que, que
John, john
McEnroe, mcenro
desistiu, desistiu
de, de
participar, participar
do, do
torneio, torneio
., .
Seria, seria
o, o
piloto-de-testes, piloto-de-test
perfeito, perfeito
para, para
o, o
novo, novo
sistema, sistema
., .
", "
Big, big
Mac, mac
", "
foi, foi
o, o
primeiro, primeiro
a, a
testar, testar
o, o
", "
sensor, sensor
de, de
solo, solo
", "
em, em
1987, 1987
,, ,
proporcionando, proporcionando
uma, uma
das, da
cenas, cena
mais, mai
hilariantes, hilariant
do, do
esporte, esport
., .
Revoltado, revoltado
,, ,
ficou, ficou
xingando, xingando
as, as
linhas, linha
da, da
área, área
de, de
saque, saqu
como, como
se, se
fossem, fossem
pessoas, pessoa
,, ,
enquanto, enquanto
a, a
platéia, platéia
estourava, estourava
de, de
tanto, tanto
rir, rir
., .

, 

Palhaçadas, palhaçada
à, à
parte, part
,, ,
a, a
cena, cena
protagonizada, protagonizada
por, por
McEnroe, mcenro
é, é
simbólica, simbólica
., .
Quem, quem
acompanha, acompanha
os, os
bastidores, bastidor
do, do
circuito, circuito
sabe, sabe
que, que
todos, todo
os, os
jogadores, jogador
odeiam, odeiam
o, o
sensor, sensor
., .
É, é
lógico, lógico
,, ,
já, já
que, que
um, um
juiz, juiz
humano, humano
pode, pode
ser, ser
intimidado, intimidado
por, por
reclamações, reclamaçõ
., .
E, e
o, o
público, público
?, ?
Numa, numa
pesquisa, pesquisa
no, no
US, us
Open, open
91, 91
,, ,
75, 75
%, %
dos, do
entrevistados, entrevistado
votou, votou
contra, contra
o, o
sensor, sensor
., .
Afinal, afin
,, ,
todo, todo
mundo, mundo
gosta, gosta
de, de
vaiar, vaiar
numa, numa
bola, bola
duvidosa, duvidosa
., .
Para, para
os, os
tradicionalistas, tradicionalista
,, ,
só, só
resta, resta
torcer, torcer
para, para
muitas, muita
falhas, falha
no, no
sistema, sistema
., .

, 

