Depois, ﻿depoi
de, de
definir, definir
a, a
venda, venda
de, de
Edmundo, edmundo
e, e
a, a
contratação, contratação
do, do
novo, novo
treinador, treinador
,, ,
o, o
Palmeiras, palmeira
parte, part
agora, agora
em, em
busca, busca
de, de
reforços, reforço
., .

, 

Um, um
atacante, atacant
,, ,
pelo, pelo
menos, meno
,, ,
será, será
contratado, contratado
nos, no
próximos, próximo
dias, dia
., .
O, o
primeiro, primeiro
nome, nome
da, da
lista, lista
é, é
Muller, muller
,, ,
do, do
Kashiwa, kashiwa
Reysol, reysol
,, ,
do, do
Japão, japão
., .

, 

`, `
`, `
Os, os
japoneses, japones
querem, querem
negociá-lo, negociá-lo
em, em
definitivo, definitivo
., .
Para, para
nós, nó
,, ,
só, só
interessa, interessa
o, o
empréstimo, empréstimo
., .
Se, se
eles, ele
concordarem, concordarem
,, ,
pode, pode
haver, haver
negócio, negócio
'', ''
,, ,
disse, diss
o, o
vice-presidente, vice-president
do, do
Palmeiras, palmeira
,, ,
Seraphim, seraphim
del, del
Grande, grand
., .

, 

Se, se
Muller, muller
não, não
vir, vir
,, ,
as, as
opções, opçõ
passam, passam
a, a
ser, ser
Caniggia, caniggia
,, ,
da, da
Roma, roma
(, (
da, da
Itália, itália
), )
,, ,
e, e
Renato, renato
Gaúcho, gaúcho
,, ,
do, do
Fluminense, fluminens
., .

, 

Caniggia, caniggia
também, também
só, só
interessa, interessa
por, por
empréstimo, empréstimo
., .

, 

A, a
Parmalat, parmalat
praticamente, praticament
garantiu, garantiu
a, a
prioridade, prioridad
para, para
contratar, contratar
Cafu, cafu
,, ,
do, do
Zaragoza, zaragoza
(, (
da, da
Espanha, espanha
), )
., .

, 

O, o
Palmeiras, palmeira
tenta, tenta
também, também
antecipar, antecipar
os, os
retornos, retorno
dos, do
meias, meia
Edílson, edílson
,, ,
do, do
Benfica, benfica
(, (
de, de
Portugal, portug
), )
,, ,
e, e
Rincón, rincón
,, ,
do, do
Napoli, napoli
(, (
da, da
Itália, itália
), )
,, ,
previstos, previsto
para, para
agosto, agosto
., .

, 

Segundo, segundo
o, o
vice-presidente, vice-president
Seraphim, seraphim
del, del
Grande, grand
,, ,
a, a
intenção, intenção
é, é
contar, contar
com, com
Edílson, edílson
e, e
Rincón, rincón
ainda, ainda
na, na
fase, fase
final, final
do, do
Paulista, paulista
., .

, 

O, o
técnico, técnico
Carlos, carlo
Alberto, alberto
Silva, silva
disse, diss
que, que
Márcio, márcio
Araújo, araújo
será, será
mantido, mantido
como, como
auxiliar, auxiliar
., .

, 

Silva, silva
exige, exig
trabalhar, trabalhar
com, com
as, as
categorias, categoria
inferiores, inferior
do, do
clube, clube
., .
Valdir, valdir
Espinosa, espinosa
e, e
Wanderley, wanderley
Luxemburgo, luxemburgo
não, não
conseguiram, conseguiram
isso, isso
., .

, 

(, (
AR, ar
), )

, 

