A, ﻿a
seleção, seleção
olímpica, olímpica
brasileira, brasileira
tem, tem
sido, sido
prejudicada, prejudicada
devido, devido
à, à
vontade, vontad
da, da
CBF, cbf
de, de
faturar, faturar
alto, alto
com, com
os, os
jogos, jogo
da, da
seleção, seleção
principal, princip
., .

, 

O, o
técnico, técnico
Mario, mario
Jorge, jorg
Zagallo, zagallo
ainda, ainda
não, não
realizou, realiz
nenhuma, nenhuma
partida, partida
com, com
a, a
seleção, seleção
olímpica, olímpica
em, em
95, 95
., .

, 

Para, para
pagar, pagar
o, o
cachê, cachê
integral, integr
_, _
cerca, cerca
de, de
US$, us$
500, 500
mil, mil
_, _
,, ,
os, os
promotores, promotor
dos, do
jogos, jogo
exigem, exigem
a, a
presença, presença
da, da
seleção, seleção
com, com
jogadores, jogador
que, que
conquistaram, conquistaram
a, a
Copa, copa
de, de
94, 94
., .

, 

`, `
`, `
O, o
pessoal, pessoal
quer, quer
ver, ver
os, os
tetracampeões, tetracampeõ
;, ;
não, não
podemos, podemo
levar, levar
o, o
time, time
olímpico, olímpico
'', ''
,, ,
afirma, afirma
Zagallo, zagallo
., .

, 

Ao, ao
tornar-se, tornar-s
treinador, treinador
das, da
seleções, seleçõ
adulta, adulta
e, e
olímpica, olímpica
,, ,
no, no
ano, ano
passado, passado
,, ,
Zagallo, zagallo
afirmou, afirm
que, que
seu, seu
maior, maior
objetivo, objetivo
nos, no
dois, doi
primeiros, primeiro
anos, ano
seria, seria
a, a
conquista, conquista
do, do
torneio, torneio
de, de
futebol, futebol
da, da
Olimpíada-96, olimpíada-96
., .

, 

As, as
datas, data
disponíveis, disponívei
no, no
calendário, calendário
brasileiro, brasileiro
são, são
utilizadas, utilizada
pela, pela
CBF, cbf
para, para
promover, promov
amistosos, amistoso
., .
Se, se
o, o
time, time
olímpico, olímpico
ocupasse, ocupass
qualquer, qualquer
dessas, dessa
datas, data
,, ,
a, a
cada, cada
partida, partida
a, a
CBF, cbf
perderia, perderia
mais, mai
de, de
US$, us$
1, 1
milhão, milhão
., .

, 

Há, há
jogadores, jogador
que, que
integram, integram
as, as
duas, dua
seleções, seleçõ
,, ,
como, como
Zé, zé
Elias, elia
e, e
Sávio, sávio
., .
Mas, ma
,, ,
convocando, convocando
os, os
adultos, adulto
por, por
obrigação, obrigação
,, ,
Zagallo, zagallo
não, não
consegue, consegu
treinar, treinar
os, os
olímpicos, olímpico
., .

, 

Só, só
atletas, atleta
nascidos, nascido
a, a
partir, partir
de, de
1º, 1º
de, de
janeiro, janeiro
de, de
73, 73
podem, podem
disputar, disputar
,, ,
em, em
março, março
de, de
96, 96
,, ,
o, o
torneio, torneio
classificatório, classificatório
para, para
os, os
Jogos, jogo
Olímpicos, olímpico
., .
Quem, quem
se, se
classificar, classificar
tem, tem
direito, direito
a, a
inscrever, inscrev
na, na
Olimpíada, olimpíada
três, trê
jogadores, jogador
com, com
idade, idad
livre, livr
., .
(, (
MM, mm
), )

, 

