A, ﻿a
transferência, transferência
do, do
atacante, atacant
palmeirense, palmeirens
Edmundo, edmundo
para, para
o, o
Flamengo, flamengo
deve, deve
ser, ser
anunciada, anunciada
hoje, hoje
., .

, 

Segundo, segundo
a, a
assessoria, assessoria
de, de
imprensa, imprensa
da, da
Parmalat, parmalat
_, _
patrocinadora, patrocinadora
do, do
Palmeiras, palmeira
e, e
dona, dona
de, de
85, 85
%, %
do, do
passe, pass
do, do
jogador, jogador
_, _
faltam, faltam
apenas, apena
alguns, algun
detalhes, detalh
para, para
a, a
negociação, negociação
ser, ser
fechada, fechada
., .

, 

O, o
presidente, president
do, do
Flamengo, flamengo
,, ,
Kleber, kleber
Leite, leit
,, ,
e, e
o, o
vice, vice
,, ,
Plínio, plínio
Serpa, serpa
Filho, filho
,, ,
estiveram, estiveram
reunidos, reunido
ontem, ontem
em, em
São, são
Paulo, paulo
com, com
o, o
presidente, president
da, da
Parmalat, parmalat
,, ,
Gianni, gianni
Grisendi, grisendi
,, ,
o, o
diretor, diretor
de, de
esportes, esport
da, da
empresa, empresa
multinacional, multinacion
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
e, e
dirigentes, dirigent
do, do
Palmeiras, palmeira
., .

, 

Leite, leit
e, e
Serpa, serpa
Filho, filho
saíram, saíram
da, da
reunião, reunião
em, em
São, são
Paulo, paulo
convencidos, convencido
da, da
vitória, vitória
na, na
disputa, disputa
com, com
o, o
Botafogo, botafogo
., .
Para, para
eles, ele
,, ,
Edmundo, edmundo
já, já
é, é
jogador, jogador
do, do
Flamengo, flamengo
., .

, 

No, no
Rio, rio
de, de
Janeiro, janeiro
,, ,
a, a
contratação, contratação
do, do
atacante, atacant
já, já
foi, foi
anunciada, anunciada
., .

, 

O, o
Flamengo, flamengo
estaria, estaria
preparando, preparando
uma, uma
grande, grand
festa, festa
para, para
recepcionar, recepcionar
Edmundo, edmundo
., .
Seria, seria
mais, mai
uma, uma
no, no
ano, ano
 ,  
do, do
centenário, centenário
do, do
clube, clube
., .

, 

Os, os
jogadores, jogador
do, do
Flamengo, flamengo
comemoraram, comemoraram
a, a
provável, provável
chegada, chegada
de, de
Edmundo, edmundo
., .

, 

`, `
`, `
Ele, ele
é, é
inteligente, inteligent
,, ,
rápido, rápido
e, e
,, ,
quando, quando
é, é
ferido, ferido
,, ,
vira, vira
fera, fera
e, e
arrebenta, arrebenta
em, em
campo, campo
'', ''
,, ,
disse, diss
o, o
lateral-esquerdo, lateral-esquerdo
Branco, branco
,, ,
numa, numa
alusão, alusão
ao, ao
apelido, apelido
de, de
Edmundo, edmundo
no, no
Palmeiras, palmeira
:, :
`, `
`, `
animal, anim
'', ''
., .

, 

O, o
Flamengo, flamengo
teria, teria
concordado, concordado
em, em
pagar, pagar
cerca, cerca
de, de
US$, us$
6, 6
milhões, milhõ
pelo, pelo
passe, pass
de, de
Edmundo, edmundo
:, :
US$, us$
4,5, 4,5
milhões, milhõ
para, para
a, a
Parmalat, parmalat
,, ,
US$, us$
230, 230
mil, mil
para, para
o, o
Palmeiras, palmeira
,, ,
US$, us$
750, 750
mil, mil
para, para
Edmundo, edmundo
e, e
US$, us$
500, 500
mil, mil
para, para
Pedrinho, pedrinho
Vicençote, vicençot
,, ,
procurador, procurador
do, do
atleta, atleta
., .

, 

Segundo, segundo
a, a
Parmalat, parmalat
,, ,
essa, essa
é, é
a, a
proposta, proposta
que, que
mais, mai
se, se
aproxima, aproxima
das, da
exigências, exigência
da, da
empresa, empresa
e, e
do, do
Palmeiras, palmeira
., .

, 

Edmundo, edmundo
só, só
fez, fez
duas, dua
exigências, exigência
:, :
manter, manter
seu, seu
salário, salário
e, e
receber, receb
os, os
15, 15
%, %
do, do
passe, pass
a, a
que, que
tem, tem
direito, direito
., .

, 

*, *
Colaborou, colabor
a, a
Sucursal, sucurs
do, do
Rio, rio

, 

