Uma, ﻿uma
névoa, névoa
vermelha, vermelha
paira, paira
sobre, sobr
a, a
sede, sede
da, da
Williams, william
,, ,
em, em
Didcot, didcot
., .
Pelos, pelo
corredores, corredor
da, da
fábrica, fábrica
dos, do
melhores, melhor
carros, carro
de, de
Fórmula, fórmula
1, 1
do, do
mundo, mundo
o, o
ar, ar
é, é
de, de
apreensão, apreensão
., .
Não, não
vai, vai
ser, ser
tão, tão
fácil, fácil
assim, assim
,, ,
cochicha-se, cochicha-s
., .
A, a
cada, cada
notícia, notícia
que, que
chega, chega
da, da
Itália, itália
,, ,
a, a
tensão, tensão
aumenta, aumenta
., .
Se, se
alguém, alguém
ousa, ousa
ameaçar, ameaçar
a, a
equipe, equip
de, de
Ayrton, ayrton
Senna, senna
,, ,
é, é
a, a
Ferrari, ferrari
., .
E, e
vem, vem
armada, armada
até, até
os, os
dentes, dent
., .

, 

Os, os
rubros, rubro
montaram, montaram
uma, uma
seleção, seleção
fora, fora
da, da
pista, pista
de, de
causar, causar
inveja, inveja
., .
Objetivo, objetivo
duplo, duplo
:, :
encerrar, encerrar
o, o
jejum, jejum
de, de
50, 50
corridas, corrida
sem, sem
vitórias, vitória
e, e
não, não
completar, completar
o, o
15.º, 15.º
ano, ano
da, da
fila, fila
de, de
títulos, título
mundiais, mundiai
., .
Tarefa, tarefa
complicada, complicada
,, ,
mas, ma
a, a
constelação, constelação
que, que
ocupa, ocupa
os, os
escritórios, escritório
de, de
Maranello, maranello
em, em
94, 94
não, não
está, está
acostumada, acostumada
a, a
perder, perder
., .

, 

A, a
Ferrari, ferrari
já, já
se, se
considera, considera
a, a
única, única
rival, rival
à, à
altura, altura
do, do
trio, trio
Senna-Williams-Renault, senna-williams-renault
porque, porqu
não, não
acredita, acredita
numa, numa
explosão, explosão
precoce, precoc
da, da
McLaren-Peugeot, mclaren-peugeot
e, e
nem, nem
no, no
motorzinho, motorzinho
Ford, ford
da, da
Benetton, benetton
., .
As, as
principais, principai
razões, razõ
do, do
otimismo, otimismo
ferrarista, ferrarista
,, ,
porém, porém
,, ,
estão, estão
dentro, dentro
da, da
própria, própria
escuderia, escuderia
., .
No, no
fim, fim
de, de
92, 92
veio, veio
John, john
Barnard, barnard
,, ,
o, o
melhor, melhor
projetista, projetista
do, do
planeta, planeta
., .
Na, na
metade, metad
de, de
93, 93
a, a
equipe, equip
contratou, contrat
um, um
francês, francê
baixinho, baixinho
e, e
gordinho, gordinho
com, com
um, um
apetite, apetit
enorme, enorm
por, por
vitórias, vitória
:, :
Jean, jean
Todt, todt
,, ,
ex-Peugeot, ex-peugeot
,, ,
encarregado, encarregado
de, de
arrumar, arrumar
uma, uma
casa, casa
que, que
sempre, sempr
teve, teve
muito, muito
cacique, caciqu
e, e
pouco, pouco
índio, índio
., .
A, a
eles, ele
se, se
juntaram, juntaram
o, o
competente, competent
engenheiro, engenheiro
Gustav, gustav
Brunner, brunner
e, e
o, o
japonês, japonê
Osamu, osamu
Goto, goto
., .

, 

Funcionário, funcionário
da, da
Honda, honda
de, de
69, 69
a, a
90, 90
,, ,
Goto, goto
foi, foi
a, a
contratação, contratação
de, de
maior, maior
impacto, impacto
no, no
mercado, mercado
da, da
F-1, f-1
no, no
início, início
de, de
94, 94
., .
", "
Pai, pai
", "
dos, do
motores, motor
que, que
deram, deram
os, os
títulos, título
de, de
89, 89
a, a
91, 91
para, para
a, a
McLaren, mclaren
,, ,
Goto, goto
foi, foi
chamado, chamado
para, para
aprimorar, aprimorar
o, o
que, que
o, o
presidente, president
da, da
Ferrari, ferrari
,, ,
Luca, luca
di, di
Montezemolo, montezemolo
,, ,
chama, chama
de, de
", "
órgão, órgão
sexual, sexual
", "
dos, do
carros, carro
vermelhos, vermelho
., .
", "
Será, será
a, a
adversária, adversária
mais, mai
difícil, difícil
de, de
derrotar, derrotar
., .
Seus, seu
motores, motor
andaram, andaram
muito, muito
bem, bem
no, no
fim, fim
de, de
93, 93
e, e
,, ,
em, em
94, 94
a, a
tecnologia, tecnologia
mais, mai
simples, simpl
os, os
favorece, favorec
", "
,, ,
alerta, alerta
Frank, frank
Williams, william
., .

, 

De, de
fato, fato
,, ,
a, a
Ferrari, ferrari
nunca, nunca
entendeu, entendeu
direito, direito
como, como
funciona, funciona
uma, uma
suspensão, suspensão
ativa, ativa
e, e
por, por
isso, isso
foi, foi
quem, quem
mais, mai
comemorou, comemor
sua, sua
extinção, extinção
., .
Com, com
carros, carro
convencionais, convencionai
,, ,
a, a
", "
Rossa, rossa
", "
espera, espera
recuperar, recuperar
o, o
terreno, terreno
perdido, perdido
a, a
partir, partir
de, de
91, 91
,, ,
quando, quando
a, a
Williams, william
introduziu, introduziu
sensores, sensor
no, no
lugar, lugar
de, de
amortecedores, amortecedor
., .
A, a
redenção, redenção
só, só
corre, corr
um, um
risco, risco
,, ,
e, e
está, está
dentro, dentro
de, de
casa, casa
:, :
é, é
Berger, berger
,, ,
um, um
piloto, piloto
atabalhoado, atabalhoado
e, e
irregular, irregular
,, ,
especialista, especialista
em, em
pôr, pôr
tudo, tudo
a, a
perder, perder
., .

, 

