"A, ﻿"a
idéia, idéia
é, é
que, que
os, os
contratos, contrato
sejam, sejam
coletivos, coletivo
., .
Na, na
assinatura, assinatura
dos, do
contratos, contrato
,, ,
ambas, amba
as, as
partes, part
–, –
jogador, jogador
e, e
clube, clube
–, –
apresentarão, apresentarão
suas, sua
propostas, proposta
,, ,
chegando-se, chegando-s
a, a
um, um
acordo, acordo
., .
Nos, no
contratos, contrato
atuais, atuai
o, o
jogador, jogador
chega, chega
desprotegido, desprotegido
diante, diant
do, do
clube, clube
", "
,, ,
disse, diss
o, o
ministro, ministro
,, ,
que, que
acredita, acredita
poder, poder
diminuir, diminuir
os, os
casos, caso
de, de
injustiça, injustiça
ocorridos, ocorrido
no, no
futebol, futebol
., .
", "
A, a
história, história
mostra, mostra
que, que
muitos, muito
jogadores, jogador
passaram, passaram
por, por
problemas, problema
em, em
suas, sua
carreiras, carreira
,, ,
devido, devido
a, a
discussão, discussão
de, de
contratos, contrato
", "
,, ,
afirmou, afirm
Barelli, barelli
., .

, 

Nesta, nesta
conferência, conferência
também, também
deverá, deverá
ser, ser
discutido, discutido
o, o
artigo, artigo
26, 26
da, da
Lei, lei
Zico, zico
,, ,
que, que
incumbe, incumb
o, o
Conselho, conselho
Superior, superior
de, de
Desportos, desporto
a, a
", "
fixar, fixar
o, o
valor, valor
,, ,
critérios, critério
e, e
condições, condiçõ
para, para
pagamento, pagamento
da, da
importância, importância
denominada, denominada
passe, pass
", "
., .
No, no
caso, caso
de, de
Dener, dener
,, ,
o, o
Conselho, conselho
de, de
Orientação, orientação
e, e
Fiscalização, fiscalização
da, da
Portuguesa, portuguesa
estipulou, estipul
o, o
passe, pass
em, em
US$, us$
3, 3
milhões, milhõ
., .

, 

