Os, ﻿o
jogadores, jogador
do, do
São, são
Paulo, paulo
seguiram, seguiram
orientação, orientação
do, do
técnico, técnico
Telê, telê
Santana, santana
e, e
conseguiram, conseguiram
se, se
livrar, livrar
do, do
problema, problema
das, da
suspensões, suspensõ
para, para
o, o
jogo, jogo
da, da
próxima, próxima
quarta-feira, quarta-feira
,, ,
contra, contra
o, o
Juventus, juventu
,, ,
no, no
Morumbi, morumbi
., .

, 

O, o
treinador, treinador
havia, havia
se, se
reunido, reunido
com, com
o, o
time, time
antes, ant
do, do
jogo, jogo
de, de
anteontem, anteontem
para, para
pedir, pedir
aos, ao
jogadores, jogador
que, que
evitassem, evitassem
cartões, cartõ
amarelos, amarelo
., .

, 

O, o
atacante, atacant
Bentinho, bentinho
foi, foi
apresentado, apresentado
como, como
exemplo, exemplo
a, a
ser, ser
evitado, evitado
., .
Na, na
partida, partida
anterior, anterior
,, ,
o, o
artilheiro, artilheiro
do, do
Paulista, paulista
(, (
17, 17
gols, gol
), )
levou, levou
um, um
cartão, cartão
amarelo, amarelo
por, por
uma, uma
discussão, discussão
com, com
o, o
juiz, juiz
., .

, 

A, a
conversa, conversa
foi, foi
levada, levada
a, a
sério, sério
e, e
o, o
São, são
Paulo, paulo
conseguiu, conseguiu
sair, sair
de, de
campo, campo
sem, sem
nenhum, nenhum
cartão, cartão
., .

, 

Bentinho, bentinho
retorna, retorna
ao, ao
time, time
titular, titular
contra, contra
o, o
Juventus, juventu
depois, depoi
de, de
cumprir, cumprir
suspensão, suspensão
., .

, 

O, o
centroavante, centroavant
Caio, caio
,, ,
substituído, substituído
por, por
Dodô, dodô
anteontem, anteontem
,, ,
após, apó
levar, levar
uma, uma
pancada, pancada
na, na
coxa, coxa
esquerda, esquerda
,, ,
vai, vai
ficar, ficar
em, em
tratamento, tratamento
e, e
é, é
dúvida, dúvida
na, na
equipe, equip
., .

, 

Sobre, sobr
possíveis, possívei
contratações, contrataçõ
,, ,
Telê, telê
disse, diss
ser, ser
necessária, necessária
uma, uma
análise, anális
`, `
`, `
muito, muito
longa, longa
'', ''
antes, ant
de, de
o, o
São, são
Paulo, paulo
decidir, decidir
se, se
vai, vai
trazer, trazer
de, de
volta, volta
o, o
atacante, atacant
Muller, muller
,, ,
vendido, vendido
no, no
início, início
do, do
ano, ano
ao, ao
clube, clube
japonês, japonê
Kashiwa, kashiwa
Reysol, reysol
por, por
US$, us$
1,7, 1,7
milhão, milhão
., .

, 

`, `
`, `
Temos, temo
que, que
estudar, estudar
muito, muito
para, para
ver, ver
o, o
que, que
é, é
preciso, preciso
ou, ou
não, não
no, no
São, são
Paulo, paulo
,, ,
se, se
o, o
jogador, jogador
interessa, interessa
., .
Temos, temo
que, que
ver, ver
se, se
ele, ele
mudou, mudou
o, o
seu, seu
comportamento, comportamento
'', ''
,, ,
afirmou, afirm
Telê, telê
., .

, 

Ele, ele
negou, negou
qualquer, qualquer
interesse, interess
do, do
clube, clube
pelo, pelo
jogador, jogador
argentino, argentino
Maradona, maradona
,, ,
que, que
estaria, estaria
sendo, sendo
disputado, disputado
por, por
Santos, santo
e, e
Corinthians, corinthian
., .

, 

Negou, negou
também, também
o, o
interesse, interess
de, de
trazer, trazer
de, de
volta, volta
o, o
zagueiro, zagueiro
Válber, válber
,, ,
que, que
está, está
no, no
Flamengo, flamengo
., .
`, `
`, `
Ele, ele
é, é
um, um
grande, grand
jogador, jogador
., .
Só, só
foi, foi
embora, embora
porque, porqu
se, se
mostrou, mostrou
irresponsável, irresponsável
dentro, dentro
do, do
São, são
Paulo, paulo
., .
'', ''

, 

Telê, telê
desmentiu, desmentiu
ter, ter
sido, sido
procurado, procurado
por, por
dirigentes, dirigent
do, do
Palmeiras, palmeira
para, para
assumir, assumir
o, o
comando, comando
do, do
time, time
., .

, 

