Uma, ﻿uma
bateria, bateria
e, e
uma, uma
míni-escola, míni-escola
de, de
samba, samba
vão, vão
animar, animar
a, a
torcida, torcida
brasileira, brasileira
hoje, hoje
no, no
amistoso, amistoso
Israel, israel
x, x
Brasil, brasil
., .
O, o
detalhe, detalh
é, é
que, que
a, a
bateria, bateria
é, é
composta, composta
quase, quas
só, só
de, de
israelenses, israelens
., .

, 

A, a
Batucada, batucada
Tel, tel
Aviv, aviv
e, e
a, a
escola, escola
de, de
samba, samba
Coco, coco
Loco, loco
foram, foram
anteontem, anteontem
à, à
noite, noit
receber, receb
a, a
seleção, seleção
brasileira, brasileira
no, no
aeroporto, aeroporto
Ben, ben
Gurion, gurion
,, ,
numa, numa
cidade, cidad
próxima, próxima
a, a
Tel, tel
Aviv, aviv
., .
A, a
bateria, bateria
tinha, tinha
27, 27
pessoas, pessoa
e, e
a, a
escola, escola
,, ,
8, 8
passistas, passista
fantasiados, fantasiado
., .

, 

O, o
maestro, maestro
da, da
bateria, bateria
é, é
o, o
israelense, israelens
Yaron, yaron
Gelman, gelman
., .
Ele, ele
contou, contou
,, ,
em, em
português, portuguê
,, ,
que, que
esteve, estev
no, no
Brasil, brasil
duas, dua
vezes, veze
., .

, 

Em, em
1987, 1987
,, ,
morou, morou
sete, sete
meses, mese
em, em
São, são
Paulo, paulo
., .
Em, em
1991, 1991
,, ,
passou, passou
o, o
Carnaval, carnav
no, no
Rio, rio
e, e
desfilou, desfil
pela, pela
escola, escola
de, de
samba, samba
Beija-Flor, beija-flor
., .

, 

Gostou, gostou
tanto, tanto
que, que
passou, passou
a, a
estudar, estudar
samba, samba
e, e
formou, formou
a, a
bateria, bateria
., .

, 

Seus, seu
integrantes, integrant
são, são
todos, todo
de, de
Israel, israel
e, e
trabalham, trabalham
em, em
vários, vário
setores, setor
., .
Na, na
recepção, recepção
à, à
seleção, seleção
,, ,
a, a
maioria, maioria
deles, dele
vestia, vestia
camisas, camisa
coloridas, colorida
,, ,
muitas, muita
delas, dela
floridas, florida
_, _
um, um
dos, do
estereótipos, estereótipo
que, que
o, o
Brasil, brasil
tem, tem
no, no
exterior, exterior
., .

, 

A, a
escola, escola
de, de
samba, samba
também, também
é, é
formada, formada
por, por
pessoas, pessoa
que, que
moram, moram
em, em
Israel, israel
., .
A, a
maioria, maioria
é, é
de, de
brasileiros, brasileiro
que, que
fazem, fazem
shows, show
em, em
Tel, tel
Aviv, aviv
., .

, 

(, (
MD, md
), )

, 

