Após, ﻿apó
conseguir, conseguir
,, ,
anteontem, anteontem
,, ,
a, a
sua, sua
classificação, classificação
para, para
as, as
semifinais, semifinai
da, da
Copa, copa
do, do
Brasil, brasil
,, ,
o, o
Corinthians, corinthian
joga, joga
com, com
um, um
time, time
`, `
`, `
misto, misto
'', ''
contra, contra
o, o
Novorizontino, novorizontino
,, ,
hoje, hoje
,, ,
às, às
21h10, 21h10
,, ,
no, no
Pacaembu, pacaembu
., .

, 

O, o
técnico, técnico
Eduardo, eduardo
Amorim, amorim
decidiu, decidiu
poupar, poupar
seis, sei
titulares, titular
pensando, pensando
no, no
clássico, clássico
de, de
domingo, domingo
,, ,
diante, diant
do, do
Palmeiras, palmeira
., .

, 

André, andré
Santos, santo
,, ,
Henrique, henriqu
,, ,
Marcelinho, marcelinho
Souza, souza
,, ,
Souza, souza
,, ,
Fabinho, fabinho
e, e
Viola, viola
não, não
jogam, jogam
esta, esta
noite, noit
., .
O, o
lateral, later
esquerdo, esquerdo
Silvinho, silvinho
,, ,
suspenso, suspenso
,, ,
também, também
está, está
fora, fora
., .

, 

`, `
`, `
O, o
time, time
fez, fez
três, trê
partidas, partida
em, em
seis, sei
dias, dia
., .
Os, os
jogadores, jogador
estão, estão
desgastados, desgastado
., .
Seria, seria
um, um
risco, risco
colocar, colocar
alguns, algun
deles, dele
nesse, ness
jogo, jogo
,, ,
que, que
representa, representa
o, o
pico, pico
da, da
ameaça, ameaça
das, da
contusões, contusõ
musculares, muscular
'', ''
,, ,
disse, diss
o, o
preparador, preparador
físico, físico
Toninho, toninho
Oliveira, oliveira
., .

, 

Eduardo, eduardo
Amorim, amorim
concordou, concord
e, e
decidiu, decidiu
preservar, preservar
mais, mai
da, da
metade, metad
do, do
time, time
para, para
o, o
jogo, jogo
contra, contra
o, o
Palmeiras, palmeira
,, ,
no, no
fim-de-semana, fim-de-semana
., .

, 

Segundo, segundo
Amorim, amorim
,, ,
o, o
Corinthians, corinthian
tem, tem
a, a
obrigação, obrigação
de, de
fazer, fazer
uma, uma
grande, grand
exibição, exibição
hoje, hoje
,, ,
mesmo, mesmo
desfalcado, desfalcado
., .

, 

`, `
`, `
Vamos, vamo
enfrentar, enfrentar
um, um
time, time
ameaçado, ameaçado
pelo, pelo
rebaixamento, rebaixamento
e, e
que, que
deve, deve
vir, vir
com, com
tudo, tudo
para, para
cima, cima
,, ,
já, já
que, que
o, o
empate, empat
não, não
interessa, interessa
a, a
eles, ele
., .
Vamos, vamo
ter, ter
espaço, espaço
para, para
explorar, explorar
os, os
contra-ataques, contra-ataqu
'', ''
,, ,
disse, diss
Amorim, amorim
., .

, 

Outro, outro
desfalque, desfalqu
do, do
Corinthians, corinthian
hoje, hoje
será, será
o, o
volante, volant
Zé, zé
Elias, elia
,, ,
contundido, contundido
no, no
joelho, joelho
esquerdo, esquerdo
., .
Ele, ele
também, também
não, não
enfrenta, enfrenta
o, o
Palmeiras, palmeira
domingo, domingo
e, e
só, só
será, será
liberado, liberado
para, para
os, os
treinos, treino
físicos, físico
na, na
semana, semana
que, que
vem, vem
., .

, 

O, o
volante, volant
Ezequiel, ezequiel
foi, foi
reintegrado, reintegrado
ao, ao
elenco, elenco
., .
Ele, ele
havia, havia
sido, sido
suspenso, suspenso
e, e
multado, multado
em, em
R$, r$
300,00, 300,00
por, por
chegar, chegar
atrasado, atrasado
a, a
um, um
treino, treino
., .

, 

Na, na
Copa, copa
do, do
Brasil, brasil
,, ,
após, apó
vencer, vencer
o, o
Paraná, paraná
por, por
2, 2
a, a
1, 1
anteontem, anteontem
,, ,
o, o
Corinthians, corinthian
volta, volta
a, a
jogar, jogar
pelas, pela
semifinais, semifinai
na, na
próxima, próxima
quarta-feira, quarta-feira
., .

, 

No, no
dia, dia
30, 30
,, ,
o, o
time, time
decide, decid
uma, uma
vaga, vaga
na, na
final, final
,, ,
fazendo, fazendo
o, o
jogo, jogo
da, da
volta, volta
no, no
Pacaembu, pacaembu
., .

, 

A, a
contratação, contratação
do, do
atacante, atacant
Muller, muller
,, ,
do, do
Kashiwa, kashiwa
Reysol, reysol
(, (
do, do
Japão, japão
), )
,, ,
continua, continua
indefinida, indefinida
., .

, 

`, `
`, `
A, a
negociação, negociação
está, está
na, na
estaca, estaca
zero, zero
., .
Continuamos, continuamo
esperando, esperando
,, ,
através, atravé
do, do
procurador, procurador
do, do
Muller, muller
,, ,
uma, uma
resposta, resposta
do, do
clube, clube
japonês, japonê
., .
Se, se
eles, ele
concordarem, concordarem
em, em
emprestar, emprestar
o, o
jogador, jogador
,, ,
o, o
negócio, negócio
pode, pode
sair, sair
., .
Caso, caso
contrário, contrário
,, ,
será, será
difícil, difícil
'', ''
,, ,
disse, diss
o, o
diretor, diretor
de, de
futebol, futebol
,, ,
José, josé
Mansur, mansur
., .

, 

O, o
Kashiwa, kashiwa
pede, pede
US$, us$
2, 2
milhões, milhõ
pelo, pelo
passe, pass
de, de
Muller, muller
., .

, 

NA, na
TV, tv

, 

Globosat, globosat
/, /
SporTV, sportv
,, ,
ao, ao
vivo, vivo

, 

