A, ﻿a
velocidade, velocidad
é, é
a, a
arma, arma
do, do
Corinthians, corinthian
contra, contra
o, o
franco-atirador, franco-atirador
Internacional, internacion
,, ,
esta, esta
tarde, tard
no, no
Canindé, canindé
,, ,
pela, pela
quartas-de-final, quartas-de-fin
da, da
Copa, copa
São, são
Paulo, paulo
., .
Contra, contra
um, um
adversário, adversário
que, que
se, se
caracteriza, caracteriza
pela, pela
marcação, marcação
,, ,
o, o
atacante, atacant
Marques, marqu
diz, diz
que, que
a, a
solução, solução
é, é
manter, manter
a, a
bola, bola
em, em
movimento, movimento
., .

, 

O, o
Corinthians, corinthian
é, é
o, o
time, time
mais, mai
baixo, baixo
dos, do
que, que
estão, estão
nas, na
quarta-de-final, quarta-de-fin
., .
No, no
Internacional, internacion
,, ,
os, os
únicos, único
baixinhos, baixinho
são, são
o, o
lateral, later
Armindo, armindo
e, e
o, o
meia-atacante, meia-atacant
Dirceu, dirceu
., .
O, o
volante, volant
corintiano, corintiano
Hermes, herm
,, ,
1,68, 1,68
m, m
,, ,
o, o
menor, menor
em, em
campo, campo
nesta, nesta
tarde, tard
,, ,
afirma, afirma
que, que
a, a
tradição, tradição
dos, do
juniores, junior
do, do
Corinthians, corinthian
é, é
sempre, sempr
formar, formar
equipes, equip
baixas, baixa
e, e
velozes, veloz
., .

, 

Hermes, herm
se, se
destacou, destac
nos, no
últimos, último
jogos, jogo
,, ,
com, com
a, a
entrada, entrada
de, de
Gino, gino
no, no
meio-campo, meio-campo
., .
Com, com
a, a
mudança, mudança
,, ,
Hermes, herm
passou, passou
a, a
jogar, jogar
mais, mai
à, à
frente, frent
e, e
o, o
Corinthians, corinthian
evoluiu, evoluiu
., .
De, de
vulnerável, vulnerável
na, na
defesa, defesa
e, e
precipitada, precipitada
no, no
ataque, ataqu
,, ,
o, o
Corinthians, corinthian
tornou-se, tornou-s
uma, uma
equipe, equip
compacto, compacto
., .
Em, em
três, trê
jogos, jogo
,, ,
venceu, venceu
dois, doi
e, e
empatou, empat
um, um
., .

, 

O, o
técnico, técnico
do, do
Internacional, internacion
,, ,
Celso, celso
Roth, roth
,, ,
diz, diz
que, que
não, não
conhece, conhec
a, a
equipe, equip
do, do
Corinthians, corinthian
., .
Ele, ele
não, não
vai, vai
determinar, determinar
marcação, marcação
individual, individu
em, em
Marques, marqu
e, e
Fabinho, fabinho
., .

, 

O, o
preparador-físico, preparador-físico
do, do
time, time
,, ,
André, andré
Baratz, baratz
,, ,
diz, diz
que, que
a, a
equipe, equip
não, não
esperava, esperava
sequer, sequer
chegar, chegar
às, às
quartas-de-final, quartas-de-fin
., .
Roth, roth
dirige, dirig
a, a
equipe, equip
há, há
cerca, cerca
de, de
um, um
mês, mê
e, e
na, na
última, última
competição, competição
que, que
o, o
Inter, inter
participou, particip
,, ,
a, a
Taça, taça
Cidade, cidad
de, de
Londrina, londrina
,, ,
foi, foi
eliminado, eliminado
na, na
primeira, primeira
fase, fase
., .

, 

CORINTHIANS, corinthian

, 

Edílson, edílson
;, ;
Marcos, marco
Paulo, paulo
(, (
Tupã, tupã
), )
,, ,
Hélio, hélio
,, ,
Otacílio, otacílio
e, e
Aguinaldo, aguinaldo
;, ;
Gino, gino
,, ,
Hermes, herm
,, ,
Pedro, pedro
e, e
Nenê, nenê
;, ;
Fabinho, fabinho
e, e
Marques, marqu
., .
Técnico, técnico
-, -
Márcio, márcio
Araújo, araújo

, 

INTERNACIONAL, internacion

, 

Luciano, luciano
,, ,
Armindo, armindo
,, ,
Jairo, jairo
(, (
João, joão
Miguel, miguel
), )
,, ,
Alex, alex
e, e
Celso, celso
(, (
Rogério, rogério
), )
;, ;
Luís, luí
Fernando, fernando
,, ,
Anderson, anderson
e, e
Lico, lico
;, ;
Dirceu, dirceu
,, ,
Itamar, itamar
(, (
Leandro, leandro
), )
e, e
Jorge, jorg
., .
Técnico, técnico
-, -
Celso, celso
Roth, roth

, 

Local, local
:, :
Estádio, estádio
do, do
Canindé, canindé

, 

Horário:14h, horário:14h

, 

Juiz, juiz
:, :
João, joão
Paulo, paulo
Araújo, araújo

, 

NA, na
TV, tv
:, :
TV, tv
Gazeta, gazeta
,, ,
ao, ao
vivo, vivo

, 

