A, ﻿a
torcida, torcida
organizada, organizada
Gaviões, gaviõ
da, da
Fiel, fiel
decidiu, decidiu
agir, agir
contra, contra
os, os
arrastões, arrastõ
nos, no
estádios, estádio
de, de
futebol, futebol
., .
", "
Sócio, sócio
da, da
Gaviões, gaviõ
que, que
for, for
pego, pego
participando, participando
de, de
saques, saqu
terá, terá
sua, sua
camisa, camisa
e, e
carteirinha, carteirinha
confiscada, confiscada
", "
,, ,
disse, diss
José, josé
Claudio, claudio
de, de
Almeida, almeida
Moraes, mora
,, ,
o, o
Dentinho, dentinho
,, ,
presidente, president
da, da
Gaviões, gaviõ
., .
O, o
confisco, confisco
da, da
carteirinha, carteirinha
significa, significa
,, ,
na, na
prática, prática
,, ,
a, a
desfiliação, desfiliação
., .

, 

Dentinho, dentinho
,, ,
34, 34
,, ,
disse, diss
que, que
é, é
impossível, impossível
para, para
a, a
Gaviões, gaviõ
impedir, impedir
os, os
arrastões, arrastõ
em, em
jogos, jogo
do, do
Corinthians, corinthian
,, ,
mas, ma
afirmou, afirm
que, que
na, na
área, área
da, da
sua, sua
torcida, torcida
haverá, haverá
segurança, segurança
., .
Ambulantes, ambulant
apontam, apontam
a, a
Gaviões, gaviõ
como, como
uma, uma
das, da
torcidas, torcida
em, em
que, que
há, há
mais, mai
arrastões, arrastõ
., .

, 

", "
Os, os
arrastões, arrastõ
criam, criam
uma, uma
imagem, imagem
negativa, negativa
para, para
nós, nó
., .
É, é
preciso, preciso
acabar, acabar
com, com
eles, ele
", "
,, ,
disse, diss
Renato, renato
Rocha, rocha
Viana, viana
,, ,
26, 26
,, ,
o, o
Renato, renato
Branco, branco
,, ,
tesoureiro, tesoureiro
da, da
Gaviões, gaviõ
., .
Dentinho, dentinho
acrescenta, acrescenta
que, que
o, o
público, público
da, da
Copa, copa
SP, sp
não, não
é, é
o, o
do, do
futebol, futebol
., .
", "
Tem, tem
muito, muito
adolescente, adolescent
,, ,
desempregado, desempregado
,, ,
galerinha, galerinha
de, de
bairro, bairro
,, ,
gente, gent
que, que
só, só
vai, vai
porque, porqu
a, a
entrada, entrada
é, é
grátis, gráti
., .
", "
Para, para
ele, ele
,, ,
a, a
solução, solução
é, é
cobrar, cobrar
ingresso, ingresso
nos, no
jogos, jogo
da, da
Copa, copa
., .
Ele, ele
admitiu, admitiu
,, ,
porém, porém
,, ,
que, que
não, não
tem, tem
controle, control
sobre, sobr
os, os
seus, seu
associados, associado
., .
", "
32, 32
mil, mil
pessoas, pessoa
é, é
muita, muita
gente, gent
., .
", "

, 

O, o
secretário, secretário
da, da
torcida, torcida
,, ,
Renato, renato
Luís, luí
de, de
Souza, souza
,, ,
o, o
Renato, renato
Preto, preto
,, ,
20, 20
,, ,
diz, diz
que, que
a, a
Gaviões, gaviõ
está, está
muitas, muita
vezes, veze
levando, levando
uma, uma
culpa, culpa
que, que
não, não
merece, merec
., .
Segundo, segundo
eles, ele
,, ,
muitas, muita
das, da
pessoas, pessoa
envolvidas, envolvida
usam, usam
camisas, camisa
", "
falsificadas, falsificada
", "
da, da
Gaviões, gaviõ
., .
", "
Só, só
na, na
partida, partida
contra, contra
o, o
Cruzeiro, cruzeiro
tomamos, tomamo
,, ,
mas, ma
sem, sem
violência, violência
,, ,
30, 30
camisas, camisa
falsas, falsa
", "
,, ,
conta, conta
., .
Essas, essa
camisas, camisa
são, são
protegidas, protegida
por, por
patente, patent
e, e
só, só
podem, podem
ser, ser
vendidas, vendida
a, a
associados, associado
e, e
ainda, ainda
assim, assim
sob, sob
certas, certa
restrições, restriçõ
., .
Uma, uma
delas, dela
é, é
que, que
ela, ela
não, não
pode, pode
ser, ser
usada, usada
fora, fora
de, de
dia, dia
de, de
jogos, jogo
., .
", "
Já, já
fizemos, fizemo
uma, uma
denúncia, denúncia
à, à
fiscalização, fiscalização
das, da
regionais, regionai
,, ,
mas, ma
ainda, ainda
tem, tem
muita, muita
camisa, camisa
à, à
venda, venda
em, em
ambulantes, ambulant
na, na
porta, porta
dos, do
estádios, estádio
e, e
no, no
centro, centro
", "
,, ,
completou, complet
Dentinho, dentinho
., .
(, (
MD, md
), )

, 

